Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2012,22.0,CHI,NBA,SG,42.0,359.0,12.5,0.526,0.139,0.709,7.3,10.1,8.7,5.7,1.6,1.0,11.9,14.9,,0.5,0.6,1.1,0.144,,-1.8,0.5,-1.3,0.1
2013,23.0,CHI,NBA,SF,82.0,2134.0,15.2,0.574,0.205,0.455,7.2,10.4,8.8,8.6,2.0,1.1,9.2,14.6,,4.4,2.6,7.0,0.158,,1.0,1.0,2.0,2.1
2014,24.0,CHI,NBA,SG,67.0,2591.0,13.5,0.522,0.346,0.488,3.9,10.5,7.2,11.1,2.6,1.1,10.8,16.8,,2.4,4.6,7.1,0.131,,-0.9,2.0,1.1,2.0
2015,25.0,CHI,NBA,SG,65.0,2513.0,21.3,0.583,0.212,0.508,5.1,11.2,8.2,14.4,2.3,1.0,7.7,21.6,,8.2,3.0,11.2,0.214,,3.4,1.2,4.6,4.2
2016,26.0,CHI,NBA,SG,67.0,2474.0,21.3,0.562,0.198,0.459,3.4,11.6,7.6,21.4,2.2,1.3,9.6,24.4,,6.5,2.7,9.1,0.177,,3.2,1.2,4.4,3.9
2017,27.0,CHI,NBA,SF,76.0,2809.0,25.1,0.586,0.198,0.54,4.9,13.2,9.0,24.8,2.6,0.9,9.3,26.5,,10.1,3.8,13.8,0.236,,5.6,1.7,7.3,6.6
2018,28.0,MIN,NBA,SG,59.0,2164.0,23.7,0.59,0.217,0.461,4.2,12.7,8.4,20.6,2.7,1.0,8.9,24.9,,7.1,1.8,8.9,0.198,,5.0,0.7,5.8,4.2
2019,29.0,TOT,NBA,"SF,SG",65.0,2185.0,20.2,0.571,0.213,0.404,6.0,10.5,8.3,18.0,2.7,1.4,8.2,22.3,,5.4,2.5,7.9,0.173,,2.8,0.9,3.7,3.2
2019,29.0,MIN,NBA,SG,10.0,361.0,22.3,0.579,0.287,0.389,4.7,10.8,7.7,18.2,3.2,2.4,7.1,23.0,,1.0,0.4,1.3,0.176,,4.7,2.2,6.9,0.8
2019,29.0,PHI,NBA,SF,55.0,1824.0,19.8,0.569,0.198,0.407,6.3,10.4,8.4,18.0,2.6,1.2,8.4,22.1,,4.4,2.1,6.6,0.172,,2.4,0.7,3.1,2.4
2020,30.0,MIA,NBA,SF,58.0,1959.0,23.6,0.585,0.157,0.693,6.3,15.4,11.0,28.1,2.6,1.6,11.4,25.1,,6.3,2.7,9.0,0.221,,4.0,1.5,5.4,3.7
2021,31.0,MIA,NBA,SF,6.0,174.0,21.8,0.529,0.091,0.377,6.8,13.4,10.3,29.2,3.5,2.2,10.9,25.2,,0.3,0.3,0.6,0.164,,0.9,2.7,3.5,0.2
