Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002,10.0,104,GSW,Golden State Warriors,Gilbert Arenas,1982-01-06,20.0,NBA,PG,47,30,24.6,3.7,8.2,0.453,0.8,2.4,0.345,2.9,5.8,0.498,0.504,2.6,3.4,0.775,0.9,1.9,2.8,3.7,1.5,0.2,2.1,2.4,10.9
2003,10.0,104,GSW,Golden State Warriors,Gilbert Arenas,1982-01-06,21.0,NBA,PG,82,82,35.0,6.2,14.4,0.431,1.3,3.8,0.348,4.9,10.6,0.461,0.478,4.5,5.7,0.791,1.2,3.5,4.7,6.3,1.5,0.2,3.5,3.2,18.3
2004,30.0,104,WAS,Washington Wizards,Gilbert Arenas,1982-01-06,22.0,NBA,PG,55,52,37.6,6.5,16.6,0.392,2.3,6.1,0.375,4.2,10.6,0.401,0.46,4.3,5.8,0.748,1.0,3.6,4.6,5.0,1.9,0.2,4.1,3.2,19.6
2005,30.0,104,WAS,Washington Wizards,Gilbert Arenas,1982-01-06,23.0,NBA,PG,80,80,40.9,8.2,19.0,0.431,2.6,7.0,0.365,5.6,12.0,0.469,0.498,6.5,8.0,0.814,1.0,3.7,4.7,5.1,1.7,0.3,3.0,3.1,25.5
2006,30.0,104,WAS,Washington Wizards,Gilbert Arenas,1982-01-06,24.0,NBA,PG,80,80,42.3,9.3,20.9,0.447,2.5,6.8,0.369,6.8,14.1,0.485,0.507,8.2,10.0,0.82,0.7,2.8,3.5,6.1,2.0,0.3,3.7,3.6,29.3
2007,30.0,104,WAS,Washington Wizards,Gilbert Arenas,1982-01-06,25.0,NBA,PG,74,73,39.8,8.7,20.9,0.418,2.8,7.9,0.351,6.0,13.0,0.459,0.484,8.2,9.7,0.844,0.8,3.7,4.6,6.0,1.9,0.2,3.2,3.4,28.4
2008,30.0,104,WAS,Washington Wizards,Gilbert Arenas,1982-01-06,26.0,NBA,PG,13,8,32.7,6.0,15.1,0.398,1.7,6.0,0.282,4.3,9.1,0.475,0.454,5.7,7.4,0.771,0.5,3.5,3.9,5.1,1.8,0.1,3.8,2.3,19.4
2009,30.0,104,WAS,Washington Wizards,Gilbert Arenas,1982-01-06,27.0,NBA,PG,2,2,31.5,3.0,11.5,0.261,1.0,3.5,0.286,2.0,8.0,0.25,0.304,6.0,8.0,0.75,0.5,4.0,4.5,10.0,0.0,0.5,0.5,2.0,13.0
2010,30.0,104,WAS,Washington Wizards,Gilbert Arenas,1982-01-06,28.0,NBA,PG,32,32,36.5,7.9,19.3,0.411,2.0,5.7,0.348,5.9,13.6,0.437,0.462,4.8,6.5,0.739,0.5,3.6,4.2,7.2,1.3,0.3,3.7,3.0,22.6
2011,31.0,104,TOT,Total After Trade,Gilbert Arenas,1982-01-06,29.0,NBA,PG,70,16,25.7,3.8,10.5,0.366,1.4,4.7,0.297,2.5,5.8,0.423,0.433,1.7,2.2,0.784,0.3,2.4,2.7,3.9,1.1,0.3,2.5,2.7,10.8
2011,30.0,104,WAS,Washington Wizards,Gilbert Arenas,1982-01-06,29.0,NBA,PG,21,14,34.6,6.2,15.7,0.394,2.2,6.9,0.324,4.0,8.8,0.449,0.465,2.7,3.2,0.836,0.3,3.0,3.3,5.6,1.4,0.6,3.4,3.6,17.3
2011,22.0,104,ORL,Orlando Magic,Gilbert Arenas,1982-01-06,29.0,NBA,PG,49,2,21.8,2.8,8.2,0.344,1.0,3.7,0.275,1.8,4.5,0.401,0.406,1.3,1.8,0.744,0.3,2.1,2.4,3.2,0.9,0.2,2.2,2.3,8.0
2012,15.0,104,MEM,Memphis Grizzlies,Gilbert Arenas,1982-01-06,30.0,NBA,PG,17,0,12.4,1.5,3.8,0.406,0.8,2.3,0.333,0.8,1.5,0.52,0.508,0.4,0.6,0.7,0.1,0.9,1.1,1.1,0.6,0.1,0.7,2.1,4.2
