Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991.0,2.0,2608,BOS,Boston Celtics,Brian Shaw,24.0,11.0,11.0,316.0,5.4,11.4,0.47,0.1,0.3,0.33,5.2,11.1,0.47,3.0,3.4,0.87,0.9,3.4,4.3,5.8,1.1,0.1,2.8,3.9,13.8
1991.0,2.0,375,BOS,Boston Celtics,Dee Brown,22.0,11.0,0.0,284.0,6.7,13.7,0.49,0.0,0.6,0.0,6.7,13.1,0.52,3.5,4.3,0.82,1.1,4.6,5.7,5.2,1.4,0.8,2.8,4.1,17.0
1991.0,2.0,2674,BOS,Boston Celtics,Derek Smith,29.0,10.0,0.0,86.0,3.8,8.8,0.43,0.0,0.4,0.0,3.8,8.4,0.45,4.6,5.9,0.79,0.8,2.9,3.8,2.1,1.3,0.4,3.3,8.4,12.1
1991.0,2.0,2308,BOS,Boston Celtics,Ed Pinckney,27.0,11.0,0.0,170.0,3.4,4.4,0.76,0.0,0.0,,3.4,4.4,0.76,3.6,4.4,0.81,4.9,3.6,8.5,0.4,1.3,0.4,0.4,3.6,10.4
1991.0,2.0,1632,BOS,Boston Celtics,Joe Kleine,29.0,5.0,1.0,31.0,4.6,10.5,0.44,0.0,0.0,,4.6,10.5,0.44,0.0,0.0,,5.8,7.0,12.8,1.2,0.0,0.0,2.3,8.1,9.3
1991.0,2.0,985,BOS,Boston Celtics,Kevin Gamble,25.0,11.0,11.0,238.0,4.4,9.1,0.48,0.0,0.0,,4.4,9.1,0.48,1.2,1.8,0.67,0.5,1.5,2.0,2.9,0.6,0.3,1.1,3.6,10.0
1991.0,2.0,1936,BOS,Boston Celtics,Kevin McHale,33.0,11.0,1.0,376.0,7.5,14.2,0.53,0.6,1.1,0.55,6.9,13.1,0.53,6.3,7.7,0.82,1.7,5.2,6.9,1.9,0.5,1.3,1.3,4.0,21.8
1991.0,2.0,246,BOS,Boston Celtics,Larry Bird,34.0,10.0,10.0,396.0,5.6,13.8,0.41,0.3,1.9,0.14,5.4,11.9,0.45,4.0,4.6,0.86,0.7,5.8,6.5,5.9,1.2,0.3,1.7,2.5,15.5
1991.0,2.0,2693,BOS,Boston Celtics,Michael Smith,25.0,2.0,0.0,6.0,6.0,12.0,0.5,0.0,6.0,0.0,6.0,6.0,1.0,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,12.0
1991.0,2.0,1748,BOS,Boston Celtics,Reggie Lewis,25.0,11.0,11.0,462.0,7.4,15.2,0.49,0.0,0.3,0.0,7.4,14.9,0.5,4.4,5.3,0.82,1.4,3.9,5.3,2.5,0.9,0.5,1.6,2.6,19.2
1991.0,2.0,2243,BOS,Boston Celtics,Robert Parish,37.0,10.0,10.0,296.0,7.1,11.8,0.6,0.0,0.0,,7.1,11.8,0.6,5.1,7.4,0.69,4.0,7.2,11.2,0.7,1.0,0.9,1.9,4.1,19.2
1991.0,2.0,2982,BOS,Boston Celtics,Stojko Vrankovic,27.0,1.0,0.0,4.0,9.0,9.0,1.0,0.0,0.0,,9.0,9.0,1.0,0.0,9.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,9.0,18.0,18.0
