SEASON,TEAM ID,TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,DRB%,ARENA,ATTENDANCE,ATTENDANCE/G
1984,2,BOS,28.0,62.0,20.0,57,25,6.56,-0.14,6.42,110.9,104.4,6.5,99.7,0.33,0.03,0.55,0.5,14.6,34.2,0.26,69.7,Boston Garden,606857,14890.0
1984,17,MIL,28.4,50.0,32.0,52,30,4.16,-0.12,4.04,107.8,103.6,4.2,96.9,0.34,0.03,0.54,0.5,15.0,33.7,0.25,65.6,MECCA Arena,393301,
1984,20,NYK,27.2,47.0,35.0,51,31,3.84,-0.05,3.79,107.0,103.1,3.9,99.0,0.37,0.02,0.55,0.5,16.7,33.4,0.28,68.1,Madison Square Garden (IV),487649,13998.0
1984,9,DET,25.4,49.0,33.0,50,32,3.59,-0.06,3.52,111.5,108.1,3.4,103.8,0.32,0.02,0.53,0.48,12.7,36.7,0.25,67.7,Pontiac Silverdome,652865,14673.0
1984,14,LAL,27.5,54.0,28.0,50,32,3.76,-0.44,3.32,110.9,107.3,3.6,103.7,0.31,0.03,0.57,0.54,16.1,33.7,0.24,66.6,The Forum,622401,
1984,25,POR,25.8,48.0,34.0,50,32,3.55,-0.42,3.13,111.2,107.7,3.5,101.1,0.37,0.02,0.56,0.51,15.1,36.4,0.28,67.4,Memorial Coliseum,518306,
1984,23,PHI,27.7,52.0,30.0,47,35,2.2,0.2,2.39,106.8,104.6,2.2,99.6,0.4,0.02,0.55,0.5,16.9,34.6,0.3,65.9,The Spectrum,588139,16773.0
1984,3,NJN,25.5,45.0,37.0,44,38,1.1,0.17,1.27,106.1,105.0,1.1,103.0,0.34,0.03,0.54,0.5,16.1,34.6,0.24,67.8,Brendan Byrne Arena,499496,18364.0
1984,29,UTA,26.8,45.0,37.0,44,38,1.13,-0.32,0.81,109.0,108.0,1.0,104.9,0.37,0.04,0.56,0.5,15.2,30.8,0.29,63.4,Salt Palace,400065,
1984,24,PHO,27.2,41.0,41.0,43,39,0.89,-0.24,0.65,108.9,108.0,0.9,101.4,0.3,0.04,0.56,0.51,15.1,31.4,0.23,68.3,Arizona Veterans Memorial Coliseum,445788,
1984,7,DAL,24.7,43.0,39.0,42,40,0.43,-0.27,0.15,110.0,109.6,0.4,99.0,0.32,0.02,0.55,0.5,13.6,31.7,0.24,65.7,Reunion Arena,538162,
1984,21,SEA,27.1,42.0,40.0,41,41,-0.17,-0.17,-0.34,107.9,108.1,-0.2,99.7,0.35,0.02,0.54,0.49,14.3,30.7,0.27,66.6,King County Domed Stadium,425307,
1984,27,SAS,27.4,37.0,45.0,40,42,-0.27,-0.23,-0.5,111.2,111.4,-0.2,106.5,0.34,0.03,0.56,0.51,14.0,33.4,0.26,66.2,HemisFair Arena,375900,
1984,1,ALT,26.6,40.0,42.0,37,45,-1.29,0.22,-1.08,105.5,106.9,-1.4,95.3,0.36,0.02,0.53,0.48,14.4,31.6,0.27,65.2,Omni Coliseum,286049,
1984,8,DEN,27.0,38.0,44.0,38,44,-1.1,-0.17,-1.27,111.3,112.3,-1.0,110.5,0.34,0.03,0.55,0.5,12.8,29.3,0.28,66.6,McNichols Sports Arena,462407,
1984,26,KCK,26.2,38.0,44.0,37,45,-1.48,-0.15,-1.62,106.5,108.0,-1.5,102.9,0.34,0.03,0.54,0.49,15.3,32.4,0.27,66.9,Kemper Arena,370270,
1984,30,WAB,26.2,35.0,47.0,33,49,-2.89,0.53,-2.36,104.2,107.2,-3.0,97.4,0.32,0.04,0.54,0.49,15.5,30.1,0.24,69.7,Capital Centre,317447,7373.0
1984,11,HOU,26.8,29.0,53.0,33,49,-3.09,-0.04,-3.12,105.3,108.2,-2.9,104.7,0.28,0.02,0.54,0.5,15.6,32.8,0.21,67.5,The Summit,425755,
1984,13,SDC,25.5,30.0,52.0,33,49,-3.26,0.04,-3.21,109.2,112.4,-3.2,101.1,0.33,0.02,0.54,0.5,15.3,37.7,0.24,68.2,San Diego Sports Arena,218534,
1984,10,GSW,25.6,37.0,45.0,32,50,-3.4,0.05,-3.35,105.5,108.8,-3.3,103.3,0.34,0.03,0.52,0.47,14.9,35.6,0.25,64.2,Oakland-Alameda County Coliseum Arena,316844,
1984,6,CLE,25.4,28.0,54.0,30,52,-4.26,0.55,-3.71,104.1,108.5,-4.4,97.4,0.3,0.02,0.51,0.47,14.0,33.5,0.22,70.8,Coliseum at Richfield,208094,
1984,12,IND,24.4,26.0,56.0,28,54,-4.82,0.57,-4.25,101.8,106.5,-4.7,102.1,0.3,0.03,0.53,0.49,15.9,28.1,0.23,66.8,Market Square Arena,410626,
1984,5,CHI,24.4,27.0,55.0,28,54,-5.18,0.5,-4.69,102.4,107.5,-5.1,99.8,0.36,0.02,0.53,0.48,16.3,32.3,0.27,67.2,Chicago Stadium,256430,
