Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1986,22.0,SEA,NBA,SF,82.0,2706.0,16.3,0.525,0.009,0.31,13.1,15.6,14.3,11.4,1.8,0.8,15.7,24.5,,1.8,3.3,5.1,0.091,,0.3,-0.6,-0.3,1.2
1987,23.0,SEA,NBA,SF,82.0,3031.0,18.7,0.538,0.009,0.25,12.1,13.2,12.7,10.7,1.8,1.0,11.8,25.8,,5.0,2.4,7.4,0.117,,2.1,-1.3,0.8,2.1
1988,24.0,SEA,NBA,SF,78.0,2703.0,18.2,0.528,0.036,0.279,8.4,13.3,10.8,15.2,1.7,1.2,12.4,26.8,,3.6,2.6,6.2,0.11,,2.2,-0.8,1.4,2.3
1989,25.0,SEA,NBA,SF,82.0,2385.0,18.6,0.533,0.026,0.308,8.0,12.4,10.2,9.1,1.7,1.0,11.8,29.8,,3.5,1.8,5.3,0.107,,1.2,-1.8,-0.6,0.8
1990,26.0,SEA,NBA,SF,69.0,2432.0,17.9,0.533,0.014,0.27,7.7,14.2,10.8,11.4,1.5,1.0,11.9,26.9,,3.6,1.8,5.4,0.106,,1.7,-1.1,0.6,1.6
1991,27.0,TOT,NBA,SF,81.0,2634.0,15.2,0.527,0.007,0.225,7.6,15.5,11.7,10.5,1.4,1.0,12.4,23.2,,2.2,3.0,5.1,0.094,,-0.1,-0.4,-0.5,1.0
1991,27.0,SEA,NBA,SF,15.0,529.0,17.3,0.51,0.01,0.238,8.0,10.3,9.2,11.6,2.5,0.5,11.1,28.6,,0.4,0.5,0.9,0.082,,1.6,-0.8,0.8,0.4
1991,27.0,PHO,NBA,SF,66.0,2105.0,14.7,0.532,0.006,0.221,7.5,16.8,12.4,10.2,1.1,1.1,12.8,21.8,,1.7,2.5,4.2,0.096,,-0.5,-0.3,-0.9,0.6
1992,28.0,NYK,NBA,SF,82.0,2344.0,13.9,0.509,0.038,0.188,8.7,13.7,11.2,10.2,1.3,0.7,11.7,23.3,,1.4,3.2,4.6,0.093,,-1.0,-0.4,-1.3,0.4
1993,29.0,BOS,NBA,PF,82.0,2215.0,16.3,0.539,0.024,0.261,8.7,16.2,12.5,11.0,1.6,1.4,14.2,23.6,,1.9,2.5,4.4,0.096,,-0.1,0.0,-0.1,1.1
1994,30.0,BOS,NBA,SF,82.0,1971.0,14.5,0.497,0.049,0.254,8.1,14.8,11.5,10.0,1.2,1.2,11.1,23.1,,1.0,1.3,2.3,0.055,,-0.5,-1.3,-1.8,0.1
1995,31.0,BOS,NBA,SF,68.0,1430.0,12.8,0.488,0.038,0.229,7.5,16.9,12.1,12.0,1.1,1.0,12.9,20.9,,0.3,1.0,1.4,0.046,,-1.3,-1.0,-2.3,-0.1
1997,33.0,NJN,NBA,PF,62.0,1170.0,10.8,0.439,0.07,0.251,10.8,19.1,14.7,8.7,1.6,1.1,15.1,16.9,,-0.2,0.9,0.7,0.03,,-3.3,-1.1,-4.3,-0.7
1998,34.0,NJN,NBA,SF,20.0,180.0,4.3,0.373,0.0,0.267,7.2,13.1,10.0,7.0,0.9,0.8,19.3,10.0,,-0.1,0.1,0.0,-0.007,,-5.5,-0.4,-5.9,-0.2
