Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981,9,784,DET,Detroit Pistons,Larry Drew,"April 2, 1958",22.0,NBA,PG,76.0,,1581.0,4.5,11.0,0.41,0.1,0.4,0.24,4.4,10.6,0.41,2.4,3.0,0.8,0.5,2.2,2.7,5.7,2.0,0.2,3.8,2.8,11.5
1982,26,784,KCK,Kansas City Kings,Larry Drew,"April 2, 1958",23.0,NBA,PG,81.0,19.0,1973.0,6.5,13.8,0.47,0.1,0.5,0.3,6.4,13.3,0.48,2.7,3.4,0.79,0.5,2.2,2.7,7.6,2.0,0.0,3.2,2.7,15.9
1983,26,784,KCK,Kansas City Kings,Larry Drew,"April 2, 1958",24.0,NBA,PG,75.0,74.0,2690.0,8.0,16.3,0.49,0.0,0.2,0.12,8.0,16.1,0.5,4.1,5.1,0.82,0.6,2.2,2.8,8.2,1.7,0.1,3.6,2.8,20.2
1984,26,784,KCK,Kansas City Kings,Larry Drew,"April 2, 1958",25.0,NBA,PG,73.0,73.0,2363.0,7.2,15.6,0.46,0.0,0.2,0.3,7.2,15.5,0.46,3.7,4.8,0.78,0.5,1.7,2.2,8.5,1.8,0.2,3.0,2.6,18.2
1985,26,784,KCK,Kansas City Kings,Larry Drew,"April 2, 1958",26.0,NBA,PG,72.0,66.0,2373.0,6.9,13.9,0.5,0.1,0.4,0.25,6.8,13.4,0.51,2.3,2.9,0.79,0.6,1.9,2.5,7.3,1.4,0.1,2.7,2.2,16.3
1986,26,784,SAC,Sacramento Kings,Larry Drew,"April 2, 1958",27.0,NBA,PG,75.0,31.0,1971.0,6.9,14.2,0.48,0.2,0.6,0.32,6.7,13.6,0.49,2.3,2.9,0.8,0.5,1.8,2.3,6.2,1.2,0.0,2.4,2.4,16.3
1987,13,784,LAC,Los Angeles Clippers,Larry Drew,"April 2, 1958",28.0,NBA,PG,60.0,22.0,1566.0,6.8,15.7,0.43,0.3,1.7,0.17,6.5,14.0,0.46,3.2,3.8,0.84,0.6,1.8,2.4,7.5,1.4,0.0,3.5,2.5,17.0
1988,13,784,LAC,Los Angeles Clippers,Larry Drew,"April 2, 1958",29.0,NBA,PG,74.0,51.0,2024.0,5.8,12.8,0.46,0.5,1.6,0.29,5.4,11.2,0.48,1.5,1.9,0.77,0.4,1.7,2.1,6.8,1.2,0.0,2.7,2.0,13.6
1990,14,784,LAL,Los Angeles Lakers,Larry Drew,"April 2, 1958",31.0,NBA,PG,80.0,3.0,1333.0,4.6,10.3,0.44,0.9,2.2,0.4,3.7,8.2,0.46,1.2,1.6,0.77,0.3,2.3,2.6,5.9,1.3,0.1,2.6,2.5,11.3
1991,14,784,LAL,Los Angeles Lakers,Larry Drew,"April 2, 1958",32.0,NBA,PG,48.0,2.0,496.0,3.9,9.1,0.43,1.0,2.4,0.42,2.9,6.7,0.44,1.2,1.6,0.77,0.4,2.1,2.5,8.6,1.1,0.1,3.6,2.9,10.1
