Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1985.0,9.0,1678,DET,Detroit Pistons,Bill Laimbeer,27.0,9.0,325.0,14.0,0.51,0.02,0.48,11.3,20.3,15.6,5.8,1.0,1.2,11.0,17.5,0.3,0.2,0.6,0.08,0.1,-1.0,-0.9,0.1
1985.0,9.0,2747,DET,Detroit Pistons,Brook Steppe,25.0,4.0,20.0,4.7,0.42,0.14,0.86,5.1,11.0,7.9,11.8,0.0,0.0,17.2,22.7,0.0,0.0,0.0,-0.09,-5.9,-3.2,-9.0,0.0
1985.0,9.0,2513,DET,Detroit Pistons,Dan Roundfield,31.0,9.0,215.0,13.5,0.54,0.0,0.25,9.0,21.0,14.8,8.8,0.9,1.5,16.6,16.4,0.1,0.2,0.3,0.07,-0.3,0.3,0.0,0.1
1985.0,9.0,650,DET,Detroit Pistons,Earl Cureton,27.0,9.0,133.0,12.0,0.49,0.03,0.26,7.6,25.7,16.3,3.6,3.1,0.8,9.5,12.3,0.1,0.2,0.2,0.09,-1.9,2.1,0.2,0.1
1985.0,9.0,2847,DET,Detroit Pistons,Isiah Thomas,23.0,9.0,355.0,22.7,0.57,0.09,0.37,3.1,11.2,7.0,40.0,2.5,0.6,13.4,24.6,1.0,0.3,1.2,0.16,5.5,1.8,7.3,0.8
1985.0,9.0,1770,DET,Detroit Pistons,John Long,28.0,9.0,255.0,11.7,0.5,0.04,0.14,4.0,3.0,3.5,6.7,2.6,0.4,9.0,18.8,0.1,0.1,0.3,0.05,-1.3,0.2,-1.1,0.1
1985.0,9.0,2910,DET,Detroit Pistons,Kelly Tripucka,25.0,9.0,288.0,12.1,0.49,0.01,0.34,6.7,7.7,7.2,13.0,0.6,0.6,12.3,21.0,0.1,0.1,0.2,0.03,-0.1,-1.8,-2.0,0.0
1985.0,9.0,227,DET,Detroit Pistons,Kent Benson,30.0,9.0,142.0,15.2,0.6,0.0,0.33,6.4,21.0,13.4,3.7,2.6,0.8,10.2,16.1,0.3,0.2,0.4,0.14,-0.9,2.1,1.2,0.1
1985.0,9.0,1551,DET,Detroit Pistons,Major Jones,31.0,1.0,4.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.18,4.7,-0.2,4.4,0.0
1985.0,9.0,2934,DET,Detroit Pistons,Terry Tyler,28.0,9.0,179.0,18.9,0.54,0.01,0.27,8.5,15.4,11.8,2.5,1.6,1.2,7.4,26.4,0.3,0.1,0.4,0.11,1.5,-0.4,1.1,0.1
1985.0,9.0,464,DET,Detroit Pistons,Tony Campbell,22.0,2.0,9.0,6.0,0.33,0.0,0.0,0.0,24.5,11.8,13.3,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-0.01,-4.5,-0.7,-5.1,0.0
1985.0,9.0,1516,DET,Detroit Pistons,Vinnie Johnson,28.0,9.0,235.0,16.0,0.56,0.03,0.27,6.5,5.6,6.1,17.2,1.2,0.2,11.5,21.7,0.4,0.1,0.5,0.09,1.9,-0.3,1.6,0.2
