PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Michael Jordan,33,82,82,3106,15.8,32.5,0.486,1.9,5.1,0.374,13.9,27.4,0.507,8.2,9.9,0.833,1.9,6.3,8.3,6.0,2.4,0.8,2.9,2.7,41.8,,121,102
Scottie Pippen,31,82,82,3095,11.2,23.5,0.474,2.7,7.3,0.368,8.5,16.2,0.522,3.5,5.0,0.701,2.8,6.4,9.2,8.0,2.7,0.8,3.7,3.7,28.5,,115,101
Dennis Rodman,35,55,54,1947,3.5,7.8,0.44799999999999995,0.1,0.5,0.263,3.4,7.3,0.461,1.4,2.4,0.568,8.8,15.4,24.2,4.7,0.9,0.5,3.0,4.7,8.5,,111,98
Steve Kerr,31,82,0,1861,7.1,13.4,0.5329999999999999,3.2,6.8,0.46399999999999997,4.0,6.6,0.604,1.5,1.9,0.8059999999999999,0.8,2.9,3.7,5.0,1.9,0.1,1.2,2.8,19.0,,137,106
Ron Harper,33,76,74,1740,5.4,12.4,0.436,2.1,5.8,0.36200000000000004,3.3,6.7,0.5,1.8,2.5,0.7070000000000001,1.4,4.5,5.9,5.9,2.6,1.2,1.5,4.2,14.7,,120,102
Toni Kukoč,28,57,15,1610,9.4,20.0,0.47100000000000003,1.7,5.0,0.331,7.8,15.0,0.518,4.4,5.8,0.77,3.1,5.5,8.6,8.5,2.0,1.0,3.0,3.2,25.0,,119,103
Luc Longley,28,59,59,1472,8.0,17.6,0.456,0.0,0.1,0.0,8.0,17.5,0.45799999999999996,3.4,4.3,0.792,4.4,7.6,12.0,5.1,0.8,2.4,4.0,6.9,19.5,,103,102
Jason Caffey,23,75,19,1405,7.8,14.6,0.532,0.0,0.0,0.0,7.8,14.6,0.534,5.3,8.0,0.659,5.1,6.3,11.4,3.4,0.9,0.3,3.7,5.7,20.8,,112,105
Randy Brown,28,72,3,1057,7.1,16.8,0.42,0.2,1.1,0.182,6.9,15.7,0.43700000000000006,2.9,4.2,0.679,1.7,3.9,5.6,6.7,4.1,0.9,2.9,5.9,17.2,,102,100
Bill Wennington,33,61,19,783,8.0,16.1,0.498,0.0,0.1,0.0,8.0,16.0,0.502,3.0,3.6,0.83,3.1,5.7,8.8,2.8,0.7,0.7,2.1,9.0,19.1,,113,106
Jud Buechler,28,76,0,703,4.4,12.0,0.36700000000000005,1.4,4.1,0.33299999999999996,3.0,7.9,0.385,0.4,1.1,0.35700000000000004,3.4,6.1,9.6,4.6,1.7,1.6,2.0,3.8,10.5,,101,103
Robert Parish,43,43,3,406,9.2,18.8,0.49,0.0,0.0,,9.2,18.8,0.49,2.8,4.1,0.677,5.5,6.2,11.7,2.9,0.8,2.5,3.7,5.3,21.2,,104,104
Dickey Simpkins,24,48,0,395,4.2,12.6,0.33299999999999996,0.1,0.5,0.25,4.1,12.0,0.337,3.8,5.4,0.7,4.9,7.6,12.4,4.2,0.7,0.7,4.7,5.9,12.3,,87,105
Bison Dele,27,9,0,138,10.1,24.4,0.413,0.0,0.0,,10.1,24.4,0.413,4.3,5.8,0.733,5.4,7.3,12.8,4.6,1.2,1.9,4.3,7.7,24.4,,98,102
Matt Steigenga,26,2,0,12,4.4,17.8,0.25,0.0,8.9,0.0,4.4,8.9,0.5,4.4,8.9,0.5,0.0,13.3,13.3,8.9,4.4,4.4,8.9,4.4,13.3,,62,89
