Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993,4,2071,CHO,Charlotte Hornets,Alonzo Mourning,"February 8, 1970",22.0,NBA,C,9.0,9.0,367.0,71.0,148.0,0.48,0.0,2.0,0.0,71.0,146.0,0.49,0.48,72.0,93.0,0.77,28.0,61.0,89.0,13.0,6.0,31.0,37.0,37.0,214.0
1995,4,2071,CHO,Charlotte Hornets,Alonzo Mourning,"February 8, 1970",24.0,NBA,C,4.0,4.0,174.0,24.0,57.0,0.42,4.0,8.0,0.5,20.0,49.0,0.41,0.46,36.0,43.0,0.84,14.0,39.0,53.0,11.0,3.0,13.0,14.0,17.0,88.0
1996,16,2071,MIA,Miami Heat,Alonzo Mourning,"February 8, 1970",25.0,NBA,C,3.0,3.0,92.0,17.0,35.0,0.49,0.0,0.0,,17.0,35.0,0.49,0.49,20.0,28.0,0.71,3.0,15.0,18.0,4.0,2.0,3.0,16.0,13.0,54.0
1997,16,2071,MIA,Miami Heat,Alonzo Mourning,"February 8, 1970",26.0,NBA,C,17.0,17.0,630.0,107.0,218.0,0.49,3.0,8.0,0.38,104.0,210.0,0.5,0.5,86.0,155.0,0.56,44.0,129.0,173.0,18.0,11.0,46.0,70.0,73.0,303.0
1998,16,2071,MIA,Miami Heat,Alonzo Mourning,"February 8, 1970",27.0,NBA,C,4.0,4.0,138.0,29.0,56.0,0.52,0.0,0.0,,29.0,56.0,0.52,0.52,19.0,29.0,0.66,10.0,24.0,34.0,5.0,3.0,10.0,8.0,18.0,77.0
1999,16,2071,MIA,Miami Heat,Alonzo Mourning,"February 8, 1970",28.0,NBA,C,5.0,5.0,194.0,38.0,73.0,0.52,0.0,0.0,,38.0,73.0,0.52,0.52,32.0,49.0,0.65,7.0,34.0,41.0,4.0,8.0,14.0,12.0,19.0,108.0
2000,16,2071,MIA,Miami Heat,Alonzo Mourning,"February 8, 1970",29.0,NBA,C,10.0,10.0,376.0,76.0,157.0,0.48,0.0,1.0,0.0,76.0,156.0,0.49,0.48,64.0,96.0,0.67,31.0,69.0,100.0,14.0,2.0,33.0,24.0,40.0,216.0
2001,16,2071,MIA,Miami Heat,Alonzo Mourning,"February 8, 1970",30.0,NBA,C,3.0,3.0,91.0,12.0,25.0,0.48,0.0,0.0,,12.0,25.0,0.48,0.48,11.0,19.0,0.58,3.0,13.0,16.0,3.0,0.0,5.0,5.0,9.0,35.0
2005,16,2071,MIA,Miami Heat,Alonzo Mourning,"February 8, 1970",34.0,NBA,C,15.0,2.0,254.0,31.0,44.0,0.7,0.0,0.0,,31.0,44.0,0.7,0.7,29.0,52.0,0.56,21.0,51.0,72.0,5.0,5.0,33.0,22.0,49.0,91.0
2006,16,2071,MIA,Miami Heat,Alonzo Mourning,"February 8, 1970",35.0,NBA,C,21.0,0.0,226.0,26.0,37.0,0.7,0.0,0.0,,26.0,37.0,0.7,0.7,28.0,42.0,0.67,17.0,44.0,61.0,3.0,5.0,24.0,17.0,49.0,80.0
2007,16,2071,MIA,Miami Heat,Alonzo Mourning,"February 8, 1970",36.0,NBA,C,4.0,0.0,55.0,10.0,11.0,0.91,0.0,0.0,,10.0,11.0,0.91,0.91,5.0,13.0,0.38,1.0,7.0,8.0,1.0,0.0,3.0,1.0,6.0,25.0
