NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
3,OG Anunoby,SF,6-7,232,1997-07-17,GB,R,Indiana
4,Lorenzo Brown,PG,6-5,189,1990-08-26,US,3,NC State
5,Bruno Caboclo,SF,6-9,218,1995-09-21,BR,3,
10,DeMar DeRozan,SG,6-6,220,1989-08-07,US,8,USC
2,Nigel Hayes,SF,6-8,254,1994-12-16,US,R,Wisconsin
9,Serge Ibaka,PF,7-0,235,1989-09-18,CG,8,
7,Kyle Lowry,PG,6-0,196,1986-03-25,US,11,Villanova
34,Alfonzo McKinnie,SF,6-7,215,1992-09-17,US,R,Green Bay
0,C.J. Miles,SF,6-6,220,1987-03-18,US,12,
13,Malcolm Miller,SF,6-7,210,1993-03-06,US,R,Holy Cross
92,Lucas Nogueira,C,7-0,241,1992-07-26,BR,3,
42,Jakob Poeltl,C,7-1,245,1995-10-15,AT,1,Utah
24,Norman Powell,SG,6-3,215,1993-05-25,US,2,UCLA
22,Malachi Richardson,SG,6-6,205,1996-01-05,US,1,Syracuse
43,Pascal Siakam,PF,6-9,230,1994-04-02,CM,1,New Mexico State
17,Jonas Valančiūnas,C,6-11,265,1992-05-06,LT,5,
23,Fred VanVleet,PG,6-1,197,1994-02-25,US,1,Wichita State
55,Delon Wright,PG,6-5,185,1992-04-26,US,2,Utah
