Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2004,19.0,CLE,NBA,SG,79.0,79.0,3122.0,622.0,1492.0,0.417,63.0,217.0,0.29,559.0,1275.0,0.438,0.438,347.0,460.0,0.754,99.0,333.0,432.0,465.0,130.0,58.0,273.0,149.0,1654.0,,0.0
2005,20.0,CLE,NBA,SF,80.0,80.0,3388.0,795.0,1684.0,0.472,108.0,308.0,0.351,687.0,1376.0,0.499,0.504,477.0,636.0,0.75,111.0,477.0,588.0,577.0,177.0,52.0,262.0,146.0,2175.0,,4.0
2006,21.0,CLE,NBA,SF,79.0,79.0,3361.0,875.0,1823.0,0.48,127.0,379.0,0.335,748.0,1444.0,0.518,0.515,601.0,814.0,0.738,75.0,481.0,556.0,521.0,123.0,66.0,260.0,181.0,2478.0,,5.0
2007,22.0,CLE,NBA,SF,78.0,78.0,3190.0,772.0,1621.0,0.476,99.0,310.0,0.319,673.0,1311.0,0.513,0.507,489.0,701.0,0.698,83.0,443.0,526.0,470.0,125.0,55.0,250.0,171.0,2132.0,,1.0
2008,23.0,CLE,NBA,SF,75.0,74.0,3027.0,794.0,1642.0,0.484,113.0,359.0,0.315,681.0,1283.0,0.531,0.518,549.0,771.0,0.712,133.0,459.0,592.0,539.0,138.0,81.0,255.0,165.0,2250.0,,7.0
2009,24.0,CLE,NBA,SF,81.0,81.0,3054.0,789.0,1613.0,0.489,132.0,384.0,0.344,657.0,1229.0,0.535,0.53,594.0,762.0,0.78,106.0,507.0,613.0,587.0,137.0,93.0,241.0,139.0,2304.0,,7.0
2010,25.0,CLE,NBA,SF,76.0,76.0,2966.0,768.0,1528.0,0.503,129.0,387.0,0.333,639.0,1141.0,0.56,0.545,593.0,773.0,0.767,71.0,483.0,554.0,651.0,125.0,77.0,261.0,119.0,2258.0,,4.0
2011,26.0,MIA,NBA,SF,79.0,79.0,3063.0,758.0,1485.0,0.51,92.0,279.0,0.33,666.0,1206.0,0.552,0.541,503.0,663.0,0.759,80.0,510.0,590.0,554.0,124.0,50.0,284.0,163.0,2111.0,,4.0
2012,27.0,MIA,NBA,SF,62.0,62.0,2326.0,621.0,1169.0,0.531,54.0,149.0,0.362,567.0,1020.0,0.556,0.554,387.0,502.0,0.771,94.0,398.0,492.0,387.0,115.0,50.0,213.0,96.0,1683.0,,0.0
2013,28.0,MIA,NBA,PF,76.0,76.0,2877.0,765.0,1354.0,0.565,103.0,254.0,0.406,662.0,1100.0,0.602,0.603,403.0,535.0,0.753,97.0,513.0,610.0,551.0,129.0,67.0,226.0,110.0,2036.0,,4.0
2014,29.0,MIA,NBA,PF,77.0,77.0,2902.0,767.0,1353.0,0.567,116.0,306.0,0.379,651.0,1047.0,0.622,0.61,439.0,585.0,0.75,81.0,452.0,533.0,488.0,121.0,26.0,270.0,126.0,2089.0,,1.0
2015,30.0,CLE,NBA,SF,69.0,69.0,2493.0,624.0,1279.0,0.488,120.0,339.0,0.354,504.0,940.0,0.536,0.535,375.0,528.0,0.71,51.0,365.0,416.0,511.0,109.0,49.0,272.0,135.0,1743.0,,2.0
2016,31.0,CLE,NBA,SF,76.0,76.0,2709.0,737.0,1416.0,0.52,87.0,282.0,0.309,650.0,1134.0,0.573,0.551,359.0,491.0,0.731,111.0,454.0,565.0,514.0,104.0,49.0,249.0,143.0,1920.0,,3.0
2017,32.0,CLE,NBA,SF,74.0,74.0,2794.0,736.0,1344.0,0.548,124.0,342.0,0.363,612.0,1002.0,0.611,0.594,358.0,531.0,0.674,97.0,542.0,639.0,646.0,92.0,44.0,303.0,134.0,1954.0,,13.0
2018,33.0,CLE,NBA,PF,82.0,82.0,3026.0,857.0,1580.0,0.542,149.0,406.0,0.367,708.0,1174.0,0.603,0.59,388.0,531.0,0.731,97.0,612.0,709.0,747.0,116.0,71.0,347.0,136.0,2251.0,,18.0
2019,34.0,LAL,NBA,SF,55.0,55.0,1937.0,558.0,1095.0,0.51,111.0,327.0,0.339,447.0,768.0,0.582,0.56,278.0,418.0,0.665,57.0,408.0,465.0,454.0,72.0,33.0,197.0,94.0,1505.0,,8.0
2020,35.0,LAL,NBA,PG,67.0,67.0,2316.0,643.0,1303.0,0.493,148.0,425.0,0.348,495.0,878.0,0.564,0.55,264.0,381.0,0.693,66.0,459.0,525.0,684.0,78.0,36.0,261.0,118.0,1698.0,,13.0
2021,36.0,LAL,NBA,PG,13.0,13.0,415.0,116.0,240.0,0.483,32.0,83.0,0.386,84.0,157.0,0.535,0.55,52.0,74.0,0.703,10.0,95.0,105.0,97.0,10.0,5.0,46.0,16.0,316.0,,1.0
