SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1997,14,LAL,Eddie Jones,25,80,80,2998,8.3,19.0,0.44,2.7,6.8,0.39,5.6,12.2,0.46,4.8,5.9,0.82,1.6,4.1,5.7,4.7,3.3,0.9,3.0,4.0,24.1,,113,103
1997,14,LAL,Nick Van Exel,25,79,79,2937,7.7,19.3,0.4,3.2,8.4,0.38,4.6,10.9,0.42,3.0,3.6,0.82,0.8,3.3,4.1,12.1,1.3,0.2,3.8,2.0,21.6,,111,109
1997,14,LAL,Elden Campbell,28,77,77,2516,9.3,19.7,0.47,0.0,0.1,0.25,9.2,19.6,0.47,5.5,7.7,0.71,4.3,8.5,12.9,2.6,1.0,2.4,2.7,5.8,24.0,,108,103
1997,14,LAL,Shaquille O'Neal,24,51,51,1941,15.0,26.9,0.56,0.0,0.1,0.0,15.0,26.8,0.56,6.3,13.0,0.48,5.3,12.1,17.4,4.3,1.2,4.0,4.0,4.9,36.3,,110,99
1997,14,LAL,Jerome Kersey,34,70,44,1766,5.8,13.4,0.43,0.5,1.9,0.26,5.3,11.5,0.46,2.1,3.5,0.6,3.3,7.5,10.8,2.7,3.5,1.5,2.2,6.5,14.2,,101,99
1997,14,LAL,Byron Scott,35,79,8,1440,6.0,13.9,0.43,2.7,6.9,0.39,3.3,7.0,0.47,4.6,5.5,0.84,0.8,3.5,4.3,3.6,1.7,0.6,1.9,2.6,19.2,,120,108
1997,14,LAL,Travis Knight,22,71,14,1156,6.4,12.5,0.51,0.0,0.0,,6.4,12.5,0.51,2.8,4.6,0.62,5.9,8.6,14.5,1.8,1.4,2.6,2.2,7.7,15.6,,112,102
1997,14,LAL,Kobe Bryant,18,71,6,1103,8.4,20.2,0.42,2.4,6.5,0.38,6.0,13.7,0.44,6.5,7.9,0.82,2.2,4.1,6.3,4.3,2.3,1.1,5.3,4.9,25.7,,101,105
1997,14,LAL,Corie Blount,28,58,18,1009,4.8,9.3,0.51,0.1,0.2,0.33,4.7,9.2,0.52,2.9,4.3,0.68,5.9,8.5,14.4,1.8,1.1,1.4,2.6,6.3,12.6,,112,104
1997,14,LAL,Derek Fisher,22,80,3,921,5.9,15.0,0.4,1.3,4.2,0.3,4.7,10.8,0.43,4.5,6.9,0.66,1.4,4.1,5.5,6.8,2.3,0.3,4.1,5.0,17.7,,98,106
1997,14,LAL,Sean Rooks,27,69,3,735,6.2,13.3,0.47,0.0,0.1,0.0,6.2,13.2,0.47,6.5,9.3,0.7,4.0,7.7,11.7,3.0,1.2,2.7,3.7,8.8,19.0,,106,103
1997,14,LAL,Robert Horry,26,22,14,676,5.8,12.9,0.46,1.9,5.9,0.33,3.9,6.9,0.56,2.2,3.1,0.7,2.2,7.0,9.2,4.4,3.0,2.3,2.0,5.6,15.8,,115,100
1997,14,LAL,George McCloud,29,23,2,286,6.3,17.7,0.35,3.9,9.0,0.43,2.4,8.7,0.28,1.1,1.7,0.67,1.3,5.3,6.6,3.1,1.7,0.0,1.7,3.7,17.5,,102,107
1997,14,LAL,Cedric Ceballos,27,8,8,279,6.4,15.7,0.41,0.9,4.0,0.24,5.5,11.7,0.47,2.5,2.8,0.87,2.1,7.9,10.0,2.8,0.9,1.1,3.2,3.6,16.2,,95,105
1997,14,LAL,Rumeal Robinson,30,15,3,126,7.1,20.1,0.35,2.5,9.6,0.26,4.6,10.4,0.44,2.1,3.3,0.62,0.8,3.3,4.2,5.4,2.1,0.8,4.6,5.0,18.8,,86,106
1997,14,LAL,Joe Kleine,35,8,0,30,3.5,14.0,0.25,0.0,0.0,,3.5,14.0,0.25,3.5,3.5,1.0,3.5,12.3,15.8,0.0,0.0,0.0,0.0,10.5,10.5,,92,104
1997,14,LAL,Larry Krystkowiak,32,3,0,11,4.8,9.6,0.5,0.0,0.0,,4.8,9.6,0.5,4.8,9.6,0.5,9.6,14.4,23.9,14.4,9.6,0.0,4.8,14.4,14.4,,118,82
