Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2004,19.0,CLE,NBA,SG,79.0,3122.0,18.3,0.488,0.145,0.308,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2,,2.4,2.6,5.1,0.078,,2.3,-0.6,1.7,2.9
2005,20.0,CLE,NBA,SF,80.0,3388.0,25.7,0.554,0.183,0.378,3.8,17.0,10.2,32.9,2.8,1.1,11.8,29.7,,9.7,4.6,14.3,0.203,,7.0,1.7,8.6,9.1
2006,21.0,CLE,NBA,SF,79.0,3361.0,28.1,0.568,0.208,0.447,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,,12.0,4.3,16.3,0.232,,7.5,1.6,9.1,9.4
2007,22.0,CLE,NBA,SF,78.0,3190.0,24.5,0.552,0.191,0.432,3.0,16.6,9.6,29.1,2.1,1.3,11.5,31.0,,8.0,5.7,13.7,0.206,,5.9,2.2,8.1,8.1
2008,23.0,CLE,NBA,SF,75.0,3027.0,29.1,0.568,0.219,0.47,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,,10.7,4.6,15.2,0.242,,8.2,2.6,10.9,9.8
2009,24.0,CLE,NBA,SF,81.0,3054.0,31.7,0.591,0.238,0.472,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,,13.7,6.5,20.3,0.318,,9.5,3.7,13.2,11.8
2010,25.0,CLE,NBA,SF,76.0,2966.0,31.1,0.604,0.253,0.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,,13.3,5.2,18.5,0.299,,9.1,2.8,11.8,10.3
2011,26.0,MIA,NBA,SF,79.0,3063.0,27.3,0.594,0.188,0.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,,10.3,5.3,15.6,0.244,,6.3,1.8,8.1,7.8
2012,27.0,MIA,NBA,SF,62.0,2326.0,30.7,0.605,0.127,0.429,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,,10.0,4.5,14.5,0.298,,8.2,2.7,10.9,7.6
2013,28.0,MIA,NBA,PF,76.0,2877.0,31.6,0.64,0.188,0.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,,14.6,4.7,19.3,0.322,,9.3,2.4,11.7,9.9
2014,29.0,MIA,NBA,PF,77.0,2902.0,29.3,0.649,0.226,0.432,3.6,18.9,11.5,32.0,2.2,0.8,14.4,31.0,,12.3,3.7,15.9,0.264,,7.8,1.1,8.8,7.9
2015,30.0,CLE,NBA,SF,69.0,2493.0,25.9,0.577,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,,7.4,2.9,10.4,0.199,,6.1,1.0,7.1,5.7
2016,31.0,CLE,NBA,SF,76.0,2709.0,27.5,0.588,0.199,0.347,4.7,18.8,11.8,36.0,2.0,1.5,13.2,31.4,,9.6,4.0,13.6,0.242,,7.0,2.0,9.0,7.5
2017,32.0,CLE,NBA,SF,74.0,2794.0,27.0,0.619,0.254,0.395,4.0,20.7,12.6,41.3,1.6,1.3,16.1,30.0,,9.8,3.0,12.9,0.221,,6.4,1.2,7.6,6.7
2018,33.0,CLE,NBA,PF,82.0,3026.0,28.6,0.621,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2.0,16.1,31.6,,11.0,3.0,14.0,0.221,,7.3,1.4,8.7,8.2
2019,34.0,LAL,NBA,SF,55.0,1937.0,25.6,0.588,0.299,0.382,3.1,21.3,12.4,39.4,1.7,1.4,13.3,31.6,,4.7,2.6,7.2,0.179,,6.4,1.7,8.0,4.9
2020,35.0,LAL,NBA,PG,67.0,2316.0,25.5,0.577,0.326,0.292,3.2,21.5,12.4,49.1,1.6,1.4,15.1,31.5,,6.2,3.6,9.8,0.204,,6.6,1.8,8.4,6.1
2021,36.0,LAL,NBA,PG,13.0,415.0,24.2,0.58,0.346,0.308,2.7,23.0,13.4,37.3,1.1,1.0,14.4,32.6,,1.0,0.7,1.7,0.199,,5.1,0.0,5.1,0.7
