Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2010,22.0,TOT,NBA,PG,81.0,2.0,1269.0,6.2,14.9,0.418,0.9,2.9,0.31,5.4,12.0,0.444,2.1,2.9,0.722,0.9,4.4,5.2,10.8,1.6,0.4,3.4,4.7,15.5,,103.0,107.0
2010,22.0,UTA,NBA,PG,26.0,2.0,363.0,7.3,18.7,0.391,0.7,3.4,0.208,6.6,15.4,0.431,3.5,4.7,0.758,1.4,3.9,5.4,11.4,1.8,0.3,3.9,4.7,18.9,,99.0,108.0
2010,22.0,OKC,NBA,PG,55.0,0.0,906.0,5.8,13.4,0.434,1.0,2.7,0.362,4.8,10.7,0.452,1.5,2.2,0.692,0.6,4.6,5.2,10.5,1.5,0.5,3.2,4.7,14.1,,105.0,107.0
2011,23.0,OKC,NBA,PG,82.0,0.0,1200.0,5.8,14.4,0.402,1.6,4.1,0.385,4.2,10.2,0.409,1.9,2.5,0.729,1.1,4.1,5.2,10.3,1.5,0.3,3.3,4.1,15.0,,104.0,110.0
2012,24.0,OKC,NBA,PG,9.0,0.0,137.0,5.3,14.7,0.359,2.3,6.4,0.353,3.0,8.3,0.364,1.5,1.5,1.0,1.1,3.8,4.9,8.3,1.9,0.0,4.1,4.9,14.3,,96.0,107.0
2013,25.0,TOT,NBA,"PG,SG",64.0,0.0,963.0,5.7,15.2,0.377,1.8,5.2,0.354,3.9,10.0,0.389,2.4,3.4,0.726,0.5,2.0,2.5,9.8,1.2,0.1,4.3,3.0,15.7,,96.0,112.0
2013,25.0,OKC,NBA,PG,37.0,0.0,391.0,4.7,15.1,0.313,2.0,6.0,0.326,2.8,9.1,0.304,2.2,2.8,0.81,0.7,1.7,2.4,9.6,1.3,0.0,4.1,2.5,13.7,,92.0,109.0
2013,25.0,POR,NBA,SG,27.0,0.0,572.0,6.4,15.2,0.422,1.7,4.6,0.38,4.7,10.7,0.44,2.6,3.8,0.683,0.4,2.2,2.6,10.0,1.1,0.1,4.4,3.3,17.2,,100.0,114.0
2014,26.0,TOT,NBA,PG,31.0,0.0,327.0,4.9,15.6,0.317,1.8,5.7,0.324,3.1,9.9,0.313,0.9,1.7,0.545,1.4,4.6,6.0,8.0,1.4,0.5,4.5,2.6,12.6,,82.0,109.0
2014,26.0,WAS,NBA,PG,23.0,0.0,215.0,5.0,17.2,0.292,1.9,6.0,0.32,3.1,11.3,0.277,0.5,0.7,0.667,1.7,4.1,5.7,9.6,1.2,0.2,4.1,3.1,12.5,,83.0,108.0
2014,26.0,PHI,NBA,PG,8.0,0.0,112.0,4.8,12.5,0.379,1.7,5.2,0.333,3.0,7.3,0.412,1.7,3.5,0.5,0.9,5.6,6.5,5.2,1.7,0.9,5.2,1.7,13.0,,79.0,111.0
