Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1998,22.0,CLE,NBA,PG,80.0,2483.0,17.1,0.515,0.012,0.424,3.4,9.1,6.3,43.7,4.2,0.6,21.6,16.7,,3.5,4.9,8.4,0.163,,0.5,3.1,3.6,3.5
1999,23.0,CLE,NBA,PG,39.0,1186.0,16.6,0.495,0.016,0.448,1.7,12.3,7.0,47.6,3.3,0.5,21.8,19.8,,1.0,1.5,2.5,0.1,,0.3,1.1,1.4,1.0
2001,25.0,TOT,NBA,PG,53.0,1457.0,12.5,0.416,0.027,0.178,1.8,11.2,6.4,33.7,3.6,0.2,18.5,15.1,,0.0,1.6,1.6,0.054,,-3.0,1.6,-1.4,0.2
2001,25.0,CLE,NBA,PG,6.0,93.0,6.5,0.255,0.0,0.4,1.2,7.5,4.4,38.0,3.4,0.8,28.4,12.0,,-0.1,0.1,-0.1,-0.03,,-5.5,1.6,-3.9,0.0
2001,25.0,ATL,NBA,PG,47.0,1364.0,12.9,0.424,0.028,0.169,1.8,11.4,6.6,33.4,3.6,0.2,18.0,15.3,,0.1,1.6,1.7,0.06,,-2.9,1.6,-1.3,0.3
2002,26.0,MEM,NBA,PG,53.0,1151.0,14.9,0.482,0.024,0.344,1.1,9.5,5.3,43.9,3.6,0.4,22.4,19.6,,0.2,1.2,1.4,0.058,,-2.0,0.9,-1.0,0.3
2003,27.0,MEM,NBA,PG,55.0,928.0,11.2,0.442,0.035,0.162,1.8,7.9,4.9,38.0,3.9,0.1,27.8,16.4,,-0.5,0.7,0.2,0.008,,-3.5,0.5,-3.0,-0.2
2004,28.0,TOT,NBA,PG,56.0,1037.0,13.6,0.475,0.033,0.264,1.5,10.8,6.1,31.7,4.2,0.1,20.8,14.9,,0.5,1.2,1.7,0.078,,-2.5,2.2,-0.3,0.4
2004,28.0,PHO,NBA,PG,3.0,19.0,11.7,0.333,0.0,0.0,0.0,18.1,9.0,30.2,8.2,3.9,50.0,14.3,,-0.1,0.1,0.0,-0.051,,-3.8,10.7,7.0,0.0
2004,28.0,WAS,NBA,PG,32.0,598.0,12.2,0.454,0.036,0.196,2.0,9.6,5.7,28.5,4.5,0.0,22.7,14.3,,-0.1,0.7,0.6,0.048,,-3.3,2.1,-1.2,0.1
2004,28.0,MIL,NBA,PG,21.0,420.0,15.8,0.505,0.029,0.362,0.8,12.2,6.5,36.4,3.6,0.0,17.0,15.8,,0.6,0.5,1.1,0.127,,-1.3,2.0,0.7,0.3
2005,29.0,CHA,NBA,PG,66.0,1944.0,18.0,0.495,0.034,0.334,1.2,9.3,5.0,49.3,3.5,0.2,17.9,18.7,,2.6,1.9,4.5,0.11,,0.7,1.0,1.8,1.8
2006,30.0,CHA,NBA,PG,69.0,2351.0,17.3,0.478,0.017,0.407,1.6,9.9,5.5,42.3,3.4,0.1,15.3,20.3,,2.5,2.5,4.9,0.101,,0.4,1.0,1.4,2.0
2007,31.0,CHA,NBA,PG,45.0,1273.0,14.3,0.487,0.05,0.353,1.3,9.7,5.3,37.5,2.7,0.2,18.5,18.4,,0.7,1.1,1.8,0.07,,-1.2,0.1,-1.0,0.3
2008,32.0,LAC,NBA,PG,74.0,1674.0,11.4,0.453,0.018,0.208,1.0,8.8,4.9,31.1,3.1,0.5,16.0,12.2,,0.5,1.6,2.1,0.06,,-3.3,1.6,-1.7,0.1
2009,33.0,UTA,NBA,PG,74.0,938.0,9.5,0.414,0.032,0.339,1.7,9.5,5.6,28.1,3.7,0.3,23.3,13.5,,-0.6,1.3,0.7,0.035,,-4.0,2.1,-1.9,0.0
