Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998.0,21.0,3125,SEA,Seattle Supersonics,Aaron Williams,26.0,3.0,0.0,7.0,0.0,15.4,0.0,0.0,0.0,,0.0,15.4,0.0,10.3,10.3,1.0,5.1,0.0,5.1,0.0,0.0,5.1,5.1,0.0,10.3
1998.0,21.0,849,SEA,Seattle Supersonics,Dale Ellis,37.0,10.0,0.0,170.0,4.2,11.2,0.38,2.3,5.5,0.42,1.9,5.7,0.33,1.1,1.3,0.83,0.8,1.9,2.8,1.3,0.4,0.0,0.4,2.1,11.9
1998.0,21.0,3204,SEA,Seattle Supersonics,David Wingate,34.0,3.0,0.0,13.0,5.5,13.8,0.4,0.0,0.0,,5.5,13.8,0.4,11.1,16.6,0.67,5.5,5.5,11.1,5.5,2.8,0.0,2.8,2.8,22.2
1998.0,21.0,2575,SEA,Seattle Supersonics,Detlef Schrempf,35.0,10.0,10.0,375.0,6.1,12.0,0.51,0.2,1.3,0.14,6.0,10.7,0.56,3.0,3.6,0.82,1.7,5.7,7.4,3.7,0.7,0.1,2.1,2.0,15.5
1998.0,21.0,2270,SEA,Seattle Supersonics,Gary Payton,29.0,10.0,10.0,428.0,7.3,15.4,0.48,1.6,4.2,0.38,5.7,11.2,0.51,4.0,4.2,0.94,0.8,2.1,2.9,5.9,1.5,0.1,2.2,2.6,20.2
1998.0,21.0,95,SEA,Seattle Supersonics,Greg Anthony,30.0,9.0,0.0,118.0,3.7,12.2,0.3,1.5,5.8,0.26,2.1,6.4,0.33,0.9,2.4,0.38,0.9,2.1,3.1,3.1,1.5,0.3,3.4,5.2,9.8
1998.0,21.0,1228,SEA,Seattle Supersonics,Hersey Hawkins,31.0,10.0,10.0,337.0,4.4,9.4,0.47,1.8,4.6,0.4,2.6,4.8,0.53,3.7,4.3,0.88,1.8,4.3,6.1,3.8,1.9,0.1,1.0,2.6,14.3
1998.0,21.0,1599,SEA,Seattle Supersonics,Jerome Kersey,35.0,10.0,5.0,213.0,5.2,12.2,0.43,0.0,0.5,0.0,5.2,11.7,0.45,2.7,3.2,0.84,2.9,3.9,6.8,1.5,1.7,1.7,2.2,5.4,13.2
1998.0,21.0,1937,SEA,Seattle Supersonics,Jim McIlvaine,25.0,6.0,4.0,59.0,3.7,12.2,0.3,0.0,0.6,0.0,3.7,11.6,0.32,0.6,1.2,0.5,4.3,1.8,6.1,0.6,1.2,3.7,0.6,13.4,7.9
1998.0,21.0,1951,SEA,Seattle Supersonics,Nate McMillan,33.0,7.0,0.0,99.0,2.2,6.5,0.33,0.7,4.4,0.17,1.5,2.2,0.67,0.7,0.7,1.0,0.7,5.1,5.8,5.5,1.1,0.7,0.7,6.2,5.8
1998.0,21.0,2284,SEA,Seattle Supersonics,Sam Perkins,36.0,10.0,1.0,210.0,2.7,7.2,0.38,1.7,4.1,0.42,1.0,3.1,0.33,2.1,3.4,0.6,1.0,4.5,5.5,2.4,0.5,0.9,1.9,3.8,9.3
1998.0,21.0,148,SEA,Seattle Supersonics,Vin Baker,26.0,10.0,10.0,371.0,6.9,13.0,0.53,0.0,0.0,,6.9,13.0,0.53,1.6,3.7,0.42,4.0,5.1,9.1,1.7,1.7,1.5,2.1,3.7,15.3
