Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,24.0,SEA,NBA,C,82,4,1396,190,354,0.537,0,3,0.0,190,351,0.541,0.537,83,118,0.703,156,220,376,32,34,50,62,252,463
2005-06,25.0,SEA,NBA,PF,66,27,1448,207,394,0.525,0,3,0.0,207,391,0.529,0.525,79,113,0.699,143,225,368,74,21,35,77,213,493
2006-07,26.0,SEA,NBA,C,82,56,2378,318,636,0.5,0,2,0.0,318,634,0.502,0.5,154,199,0.774,229,437,666,82,48,66,123,289,790
2007-08,27.0,SEA,NBA,PF,78,35,2223,322,641,0.502,0,2,0.0,322,639,0.504,0.502,123,167,0.737,254,476,730,113,47,60,118,250,767
2008-09,28.0,OKC,NBA,C,71,40,1831,243,428,0.568,0,2,0.0,243,426,0.57,0.568,98,136,0.721,181,308,489,66,51,50,73,239,584
2009-10,29.0,OKC,NBA,C,75,5,1557,182,309,0.589,1,4,0.25,181,305,0.593,0.591,74,107,0.692,152,232,384,38,37,48,63,230,439
2010-11,30.0,OKC,NBA,C,71,2,1524,137,242,0.566,0,0,,137,242,0.566,0.566,55,73,0.753,119,197,316,69,42,31,55,210,329
2011-12,31.0,OKC,NBA,PF,63,0,1307,120,201,0.597,0,1,0.0,120,200,0.6,0.597,44,62,0.71,119,155,274,82,33,28,61,153,284
2012-13,32.0,OKC,NBA,C,81,2,1583,176,296,0.595,0,4,0.0,176,292,0.603,0.595,60,78,0.769,123,210,333,121,51,30,69,197,412
2013-14,33.0,OKC,NBA,PF,81,0,1353,134,241,0.556,4,17,0.235,130,224,0.58,0.564,66,93,0.71,116,177,293,104,30,28,71,187,338
2014-15,34.0,OKC,NBA,PF,66,2,1101,106,253,0.419,16,60,0.267,90,193,0.466,0.451,45,65,0.692,90,160,250,90,35,25,45,156,273
2015-16,35.0,OKC,NBA,PF,59,4,699,50,109,0.459,0,2,0.0,50,107,0.467,0.459,23,33,0.697,68,103,171,52,15,16,50,107,123
2016-17,36.0,OKC,NBA,PF,20,0,128,14,23,0.609,0,1,0.0,14,22,0.636,0.609,5,8,0.625,9,22,31,12,2,2,4,17,33
2017-18,37.0,OKC,NBA,PF,15,0,75,13,19,0.684,0,0,,13,19,0.684,0.684,5,13,0.385,7,13,20,4,0,0,7,7,31
