Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,32.0,LAL,NBA,C,82.0,,3143.0,9.6,15.8,0.604,0.0,0.0,0.0,9.6,15.8,0.604,4.2,5.5,0.765,2.2,8.0,10.1,4.2,0.9,3.2,3.4,2.5,23.3
1981,33.0,LAL,NBA,C,80.0,,2976.0,10.1,17.6,0.574,0.0,0.0,0.0,10.1,17.6,0.574,5.1,6.7,0.766,2.4,7.5,9.9,3.3,0.7,2.8,3.0,3.0,25.3
1982,34.0,LAL,NBA,C,76.0,76.0,2677.0,10.1,17.5,0.579,0.0,0.0,0.0,10.1,17.5,0.58,4.2,5.9,0.706,2.3,6.5,8.9,3.0,0.8,2.8,3.1,3.0,24.4
1983,35.0,LAL,NBA,C,79.0,79.0,2554.0,10.2,17.3,0.588,0.0,0.0,0.0,10.2,17.3,0.589,3.9,5.2,0.749,2.4,6.0,8.3,2.8,0.9,2.4,2.8,3.1,24.3
1984,36.0,LAL,NBA,C,80.0,80.0,2622.0,9.8,17.0,0.578,0.0,0.0,0.0,9.8,17.0,0.579,3.9,5.4,0.723,2.3,5.7,8.1,2.9,0.8,2.0,3.0,2.9,23.6
1985,37.0,LAL,NBA,C,79.0,79.0,2630.0,9.9,16.5,0.599,0.0,0.0,0.0,9.9,16.5,0.6,4.0,5.4,0.732,2.2,6.3,8.5,3.4,0.9,2.2,2.7,3.3,23.7
1986,38.0,LAL,NBA,C,79.0,79.0,2629.0,10.3,18.3,0.564,0.0,0.0,0.0,10.3,18.3,0.565,4.6,6.0,0.765,1.8,4.7,6.5,3.8,0.9,1.8,2.8,3.4,25.3
1987,39.0,LAL,NBA,C,78.0,78.0,2441.0,8.3,14.6,0.564,0.0,0.0,0.333,8.2,14.6,0.565,3.6,5.1,0.714,2.2,5.5,7.7,3.0,0.7,1.4,2.7,3.6,20.1
1988,40.0,LAL,NBA,C,80.0,80.0,2308.0,7.5,14.1,0.532,0.0,0.0,0.0,7.5,14.1,0.532,3.2,4.2,0.762,1.8,5.6,7.5,2.1,0.7,1.4,2.5,3.4,18.2
1989,41.0,LAL,NBA,C,74.0,74.0,1695.0,6.6,14.0,0.475,0.0,0.1,0.0,6.6,13.9,0.477,2.6,3.5,0.739,2.2,4.9,7.1,1.6,0.8,1.8,2.0,4.2,15.9
