Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2005,14,117,LAL,Los Angeles Lakers,Chucky Atkins,30,82,2903,13.4,0.56,0.5,0.22,1.2,6.4,3.8,20.6,1.3,0.1,13.1,17.9,4.7,-0.2,4.5,0.07,0.6,-1.7,-1.1,0.6
2005,14,436,LAL,Los Angeles Lakers,Caron Butler,24,77,2746,15.8,0.53,0.13,0.32,6.0,12.4,9.2,9.3,2.1,0.6,9.9,20.7,4.1,1.2,5.3,0.09,0.0,-0.7,-0.7,0.9
2005,14,408,LAL,Los Angeles Lakers,Kobe Bryant,26,66,2689,23.3,0.56,0.29,0.5,4.0,12.4,8.2,28.5,1.7,1.4,14.3,31.7,7.1,1.0,8.1,0.14,5.7,-0.8,5.0,4.7
2005,14,2185,LAL,Los Angeles Lakers,Lamar Odom,25,64,2320,17.3,0.54,0.15,0.38,6.6,25.0,15.9,17.9,1.0,2.1,15.1,20.8,3.0,1.8,4.7,0.1,1.0,0.4,1.4,2.0
2005,14,1980,LAL,Los Angeles Lakers,Chris Mihm,25,75,1870,15.7,0.55,0.0,0.47,12.0,18.3,15.1,4.6,0.4,4.2,14.2,18.8,2.5,1.0,3.6,0.09,-1.3,-1.1,-2.4,-0.2
2005,14,1549,LAL,Los Angeles Lakers,Jumaine Jones,25,76,1830,13.1,0.56,0.54,0.15,6.6,17.8,12.3,5.8,1.3,1.0,8.6,14.0,2.8,0.8,3.7,0.1,0.5,-0.9,-0.4,0.8
2005,14,1079,LAL,Los Angeles Lakers,Brian Grant,32,69,1136,10.0,0.54,0.0,0.38,10.1,15.4,12.8,4.7,1.1,1.5,15.0,11.4,1.2,0.4,1.6,0.07,-2.9,-0.9,-3.8,-0.5
2005,14,591,LAL,Los Angeles Lakers,Brian Cook,24,72,1087,14.1,0.52,0.47,0.09,6.6,15.8,11.2,5.7,1.1,1.8,6.2,19.4,1.5,0.5,2.0,0.09,0.7,-1.2,-0.5,0.4
2005,14,400,LAL,Los Angeles Lakers,Tierre Brown,25,76,1066,9.5,0.44,0.21,0.22,2.2,7.6,4.9,23.6,1.6,0.1,16.3,19.3,-0.5,0.0,-0.5,-0.02,-2.6,-2.0,-4.7,-0.7
2005,14,3019,LAL,Los Angeles Lakers,Luke Walton,24,61,768,11.4,0.49,0.34,0.27,8.1,12.7,10.4,19.1,1.8,1.0,22.4,15.3,0.2,0.3,0.5,0.03,-0.9,-0.6,-1.6,0.1
2005,14,1960,LAL,Los Angeles Lakers,Stanislav Medvedenko,25,43,423,11.9,0.49,0.01,0.18,8.3,12.7,10.5,5.4,1.1,0.3,7.2,19.4,0.4,0.1,0.5,0.05,-2.7,-2.4,-5.1,-0.3
2005,14,2986,LAL,Los Angeles Lakers,Sasha Vujacic,20,35,403,8.9,0.4,0.54,0.16,3.7,13.6,8.7,19.5,1.6,0.4,10.7,15.8,0.0,0.1,0.2,0.02,-3.0,-0.7,-3.7,-0.2
2005,14,1018,LAL,Los Angeles Lakers,Devean George,27,15,306,10.7,0.49,0.56,0.19,4.8,14.6,9.8,7.5,1.4,0.5,9.6,18.4,0.2,0.1,0.3,0.04,-1.6,-2.4,-3.9,-0.2
2005,14,753,LAL,Los Angeles Lakers,Vlade Divac,36,15,130,10.5,0.47,0.0,0.39,15.7,12.1,13.9,23.1,1.6,0.6,27.8,17.5,0.0,0.0,0.0,0.01,-4.1,-1.3,-5.4,-0.1
2005,14,2531,LAL,Los Angeles Lakers,Kareem Rush,24,14,91,1.3,0.29,0.5,0.1,3.7,8.6,6.2,4.8,1.2,0.8,12.6,11.9,-0.2,0.0,-0.2,-0.09,-5.0,-1.5,-6.5,-0.1
2005,14,274,LAL,Los Angeles Lakers,Tony Bobbitt,25,2,12,11.7,0.5,0.4,0.0,0.0,28.0,14.1,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.06,-2.1,-2.0,-4.1,0.0
