Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2009,24.0,CHA,NBA,SF,33.0,266.0,9.2,0.489,0.429,0.325,3.3,12.0,7.7,8.0,1.6,1.2,9.3,17.2,,0.1,0.3,0.4,0.07,,-3.2,0.3,-2.8,-0.1
2010,25.0,TOT,NBA,SF,18.0,390.0,9.0,0.473,0.36,0.221,7.1,12.6,9.8,6.2,1.4,0.2,11.3,18.8,,-0.1,0.2,0.1,0.011,,-2.9,-1.5,-4.4,-0.2
2010,25.0,GSW,NBA,SF,10.0,276.0,7.3,0.463,0.352,0.239,6.8,12.3,9.5,4.5,1.4,0.0,11.8,17.1,,-0.1,0.1,-0.1,-0.01,,-3.7,-1.5,-5.3,-0.2
2010,25.0,WAS,NBA,SF,8.0,114.0,13.2,0.491,0.375,0.188,8.0,13.3,10.6,10.2,1.4,0.7,10.4,23.0,,0.1,0.1,0.1,0.061,,-0.8,-1.5,-2.3,0.0
2011,26.0,WAS,NBA,SF,52.0,542.0,11.7,0.524,0.544,0.22,4.1,11.8,7.8,5.2,1.7,0.8,7.4,17.6,,0.5,0.3,0.8,0.071,,0.2,-0.8,-0.6,0.2
2012,27.0,WAS,NBA,SF,17.0,391.0,12.8,0.555,0.56,0.142,3.4,13.4,8.4,4.2,1.5,0.4,8.4,17.8,,0.5,0.2,0.7,0.09,,-0.1,-1.0,-1.1,0.1
2013,28.0,WAS,NBA,SF,41.0,694.0,9.7,0.511,0.579,0.111,1.7,14.3,8.0,4.8,1.4,0.7,10.8,19.5,,-0.2,0.9,0.7,0.047,,-1.6,-0.5,-2.1,0.0
2014,29.0,TOT,NBA,SF,59.0,870.0,11.0,0.562,0.572,0.246,1.7,12.8,7.3,5.9,1.6,0.6,10.4,17.1,,0.5,0.8,1.3,0.07,,-0.9,-0.3,-1.3,0.2
2014,29.0,ATL,NBA,SF,53.0,822.0,10.9,0.555,0.57,0.238,1.7,13.0,7.4,5.9,1.6,0.7,10.4,17.5,,0.4,0.7,1.1,0.064,,-1.0,-0.4,-1.4,0.1
2014,29.0,CHI,NBA,SF,6.0,48.0,13.3,0.768,0.625,0.5,2.4,9.3,5.9,6.8,1.1,0.0,9.3,10.3,,0.1,0.1,0.2,0.174,,0.6,0.4,1.1,0.0
2015,30.0,DET,NBA,SF,23.0,198.0,1.6,0.34,0.623,0.0,0.0,11.4,5.5,8.0,0.8,0.4,8.6,13.0,,-0.3,0.1,-0.2,-0.053,,-6.6,-0.6,-7.2,-0.3
