Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990,16.0,700,MIA,Miami Heat,22.0,NBA,PF,63,9,14.0,1.9,4.2,.466,0.0,0.0,.000,1.9,4.1,.467,.466,0.9,1.4,.621,1.5,2.2,3.6,0.4,0.4,0.4,1.1,2.7,4.7
1991,16.0,700,MIA,Miami Heat,23.0,NBA,PF,55,17,18.1,2.1,4.3,.487,0.0,0.0,.500,2.1,4.3,.487,.489,1.3,2.3,.556,1.9,2.9,4.8,0.7,0.3,0.5,0.7,2.3,5.5
1992,7.0,700,DAL,Dallas Mavericks,24.0,NBA,PF,68,67,31.6,3.8,7.8,.482,0.0,0.1,.000,3.8,7.7,.487,.482,2.7,4.2,.635,3.4,6.5,9.9,0.8,0.4,0.4,1.7,3.0,10.2
1993,7.0,700,DAL,Dallas Mavericks,25.0,NBA,PF,75,74,32.8,5.2,11.5,.455,0.0,0.1,.250,5.2,11.4,.457,.457,2.2,3.7,.594,3.5,5.9,9.3,0.9,0.5,0.4,2.1,2.7,12.7
1994,7.0,700,DAL,Dallas Mavericks,26.0,NBA,PF,15,5,19.1,1.6,3.9,.407,0.0,0.0,,1.6,3.9,.407,.407,0.5,0.8,.667,2.0,2.9,4.9,0.4,0.6,0.1,0.3,1.8,3.7
1995,7.0,700,DAL,Dallas Mavericks,27.0,NBA,PF,46,2,12.6,1.1,2.5,.434,0.0,0.0,.000,1.1,2.4,.441,.434,0.9,1.4,.636,1.4,2.0,3.4,0.2,0.1,0.1,0.7,1.7,3.0
1996,7.0,700,DAL,Dallas Mavericks,28.0,NBA,PF,28,0,17.9,2.0,3.9,.509,0.0,0.0,,2.0,3.9,.509,.509,1.0,1.7,.574,1.5,2.6,4.2,0.8,0.4,0.1,0.9,2.4,4.9
1998,30.0,700,WAS,Washington Wizards,30.0,NBA,PF,74,66,23.0,1.7,3.5,.496,0.0,0.0,.000,1.7,3.4,.498,.496,0.9,1.6,.580,2.8,3.7,6.5,0.4,0.6,0.3,0.8,2.6,4.4
1999,30.0,700,WAS,Washington Wizards,31.0,NBA,C,37,34,15.6,1.3,2.5,.533,0.0,0.0,,1.3,2.5,.533,.533,0.8,1.0,.737,1.4,2.4,3.8,0.3,0.3,0.1,0.4,2.1,3.4
2001,8.0,700,DEN,Denver Nuggets,33.0,NBA,PF,19,1,12.0,0.6,1.3,.480,0.0,0.0,,0.6,1.3,.480,.480,0.5,1.2,.409,1.3,1.5,2.8,0.4,0.1,0.1,0.3,1.8,1.7
