Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002,29.0,1629,UTA,Utah Jazz,Andrei Kirilenko,1981-02-18,20.0,NBA,SF,82,40,26.2,3.5,7.7,0.45,0.3,1.2,0.25,3.2,6.5,0.488,0.47,3.5,4.5,0.768,1.8,3.1,4.9,1.1,1.4,1.9,1.3,1.9,10.7
2003,29.0,1629,UTA,Utah Jazz,Andrei Kirilenko,1981-02-18,21.0,NBA,SF,80,11,27.7,3.9,8.0,0.491,0.5,1.4,0.325,3.5,6.6,0.527,0.519,3.7,4.6,0.8,1.8,3.4,5.3,1.7,1.5,2.2,1.7,2.3,12.0
2004,29.0,1629,UTA,Utah Jazz,Andrei Kirilenko,1981-02-18,22.0,NBA,PF,78,78,37.1,5.3,11.9,0.443,0.9,2.6,0.338,4.4,9.4,0.471,0.479,5.0,6.4,0.79,2.9,5.2,8.1,3.1,1.9,2.8,2.8,2.2,16.5
2005,29.0,1629,UTA,Utah Jazz,Andrei Kirilenko,1981-02-18,23.0,NBA,PF,41,37,32.9,5.0,10.2,0.493,0.6,1.9,0.299,4.5,8.4,0.536,0.52,5.0,6.3,0.784,2.2,4.0,6.2,3.2,1.6,3.3,2.2,2.5,15.6
2006,29.0,1629,UTA,Utah Jazz,Andrei Kirilenko,1981-02-18,24.0,NBA,SF,69,63,37.7,4.9,10.6,0.46,0.5,1.7,0.308,4.3,8.9,0.489,0.485,5.0,7.2,0.699,2.3,5.7,8.0,4.3,1.5,3.2,2.9,2.3,15.3
2007,29.0,1629,UTA,Utah Jazz,Andrei Kirilenko,1981-02-18,25.0,NBA,SF,70,70,29.3,2.8,6.0,0.471,0.2,1.1,0.213,2.6,4.9,0.528,0.49,2.5,3.4,0.728,1.3,3.4,4.7,2.9,1.1,2.1,1.9,2.5,8.3
2008,29.0,1629,UTA,Utah Jazz,Andrei Kirilenko,1981-02-18,26.0,NBA,SF,72,72,30.8,3.8,7.6,0.506,0.6,1.6,0.379,3.2,5.9,0.54,0.546,2.8,3.6,0.77,1.7,3.0,4.7,4.0,1.2,1.5,1.9,2.3,11.0
2009,29.0,1629,UTA,Utah Jazz,Andrei Kirilenko,1981-02-18,27.0,NBA,PF,67,10,27.3,3.8,8.5,0.449,0.3,1.1,0.274,3.5,7.4,0.475,0.467,3.6,4.6,0.785,1.3,3.5,4.8,2.6,1.2,1.1,1.8,1.9,11.6
2010,29.0,1629,UTA,Utah Jazz,Andrei Kirilenko,1981-02-18,28.0,NBA,SF,58,35,29.0,4.2,8.3,0.506,0.4,1.5,0.292,3.8,6.8,0.555,0.533,3.0,4.0,0.744,1.3,3.2,4.6,2.7,1.4,1.2,1.4,1.8,11.9
2011,29.0,1629,UTA,Utah Jazz,Andrei Kirilenko,1981-02-18,29.0,NBA,SF,64,62,31.2,4.0,8.5,0.467,0.6,1.5,0.367,3.4,6.9,0.489,0.5,3.3,4.2,0.77,1.6,3.5,5.1,3.0,1.3,1.2,1.8,1.8,11.7
2013,18.0,1629,MIN,Minnesota Timberwolves,Andrei Kirilenko,1981-02-18,31.0,NBA,SF,64,64,31.8,4.4,8.8,0.507,0.5,1.9,0.292,3.9,6.9,0.566,0.538,2.9,3.9,0.752,1.6,4.1,5.7,2.8,1.5,1.0,1.9,1.3,12.4
2014,3.0,1629,BRK,Brooklyn Nets,Andrei Kirilenko,1981-02-18,32.0,NBA,PF,45,4,19.0,1.8,3.6,0.513,0.0,0.1,0.2,1.8,3.4,0.523,0.516,1.4,2.6,0.513,1.2,2.0,3.2,1.6,0.9,0.4,1.2,1.4,5.0
2015,3.0,1629,BRK,Brooklyn Nets,Andrei Kirilenko,1981-02-18,33.0,NBA,SF,7,0,5.1,0.0,0.7,0.0,0.0,0.0,,0.0,0.7,0.0,0.0,0.4,0.6,0.75,0.3,0.9,1.1,0.1,0.1,0.0,0.1,0.1,0.4
