PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Avery Johnson,30.0,82,82.0,3084,438,887,0.494,6,31,0.19399999999999998,432,856,0.505,0.49700000000000005,189,262,0.721,37,169,206,789,119,21,195,179,1071
David Robinson,30.0,82,82.0,3019,711,1378,0.516,3,9,0.33299999999999996,708,1369,0.517,0.517,626,823,0.7609999999999999,319,681,1000,247,111,271,190,262,2051
Sean Elliott,27.0,77,77.0,2901,525,1127,0.466,161,392,0.41100000000000003,364,735,0.495,0.537,326,423,0.7709999999999999,69,327,396,211,69,33,198,178,1537
Vinny Del Negro,29.0,82,82.0,2766,478,962,0.49700000000000005,57,150,0.38,421,812,0.518,0.527,178,214,0.8320000000000001,36,236,272,315,85,6,100,166,1191
Chuck Person,31.0,80,16.0,2131,308,705,0.43700000000000006,190,463,0.41,118,242,0.488,0.5720000000000001,67,104,0.644,76,337,413,100,49,26,91,197,873
Will Perdue,30.0,80,22.0,1396,173,331,0.523,0,1,0.0,173,330,0.524,0.523,67,125,0.536,175,310,485,33,28,75,86,183,413
Doc Rivers,34.0,78,0.0,1235,108,290,0.37200000000000005,47,137,0.34299999999999997,61,153,0.39899999999999997,0.45299999999999996,48,64,0.75,30,108,138,123,73,21,57,175,311
Charles Smith,30.0,32,30.0,826,130,284,0.45799999999999996,0,0,,130,284,0.45799999999999996,0.45799999999999996,46,60,0.767,74,128,202,36,32,29,45,100,306
J.R. Reid,27.0,32,5.0,643,72,164,0.439,0,1,0.0,72,163,0.442,0.439,64,87,0.736,35,88,123,14,25,10,49,98,208
Cory Alexander,22.0,60,0.0,560,63,155,0.406,26,66,0.39399999999999996,37,89,0.41600000000000004,0.49,16,25,0.64,9,33,42,121,27,2,68,94,168
Carl Herrera,29.0,44,6.0,393,40,97,0.41200000000000003,0,1,0.0,40,96,0.41700000000000004,0.41200000000000003,5,17,0.294,30,51,81,16,9,8,29,61,85
Greg Anderson,31.0,46,7.0,344,24,47,0.511,0,1,0.0,24,46,0.522,0.511,6,25,0.24,29,71,100,10,9,24,22,66,54
Brad Lohaus,31.0,32,1.0,273,39,96,0.406,27,65,0.415,12,31,0.387,0.547,2,3,0.667,5,28,33,17,2,7,9,34,107
Monty Williams,24.0,17,0.0,122,20,46,0.435,0,1,0.0,20,45,0.444,0.435,9,12,0.75,11,12,23,4,4,2,13,17,49
Dell Demps,25.0,16,0.0,87,19,33,0.5760000000000001,1,2,0.5,18,31,0.581,0.591,14,17,0.8240000000000001,2,7,9,8,3,1,12,10,53
Team Totals,,82,,19780,3148,6602,0.47700000000000004,518,1320,0.392,2630,5282,0.498,0.516,1663,2261,0.736,937,2586,3523,2044,645,536,1195,1820,8477
