Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1997,11,1758,HOU,Houston Rockets,Randy Livingston,"April 2, 1975",21.0,NBA,PG,64.0,0.0,981.0,5.3,12.2,0.44,0.5,1.2,0.41,4.9,11.1,0.44,2.2,3.5,0.65,1.7,3.3,5.0,8.3,2.1,0.6,5.4,5.7,13.4,91.0,106.0
1998,1,1758,ATL,Atlanta Hawks,Randy Livingston,"April 2, 1975",22.0,NBA,PG,12.0,0.0,82.0,2.0,8.0,0.25,0.0,0.0,,2.0,8.0,0.25,2.7,3.3,0.8,0.7,3.3,4.0,3.3,4.7,1.3,4.0,4.0,6.7,67.0,101.0
1999,24,1758,PHO,Phoenix Suns,Randy Livingston,"April 2, 1975",23.0,NBA,PG,1.0,0.0,22.0,12.1,19.4,0.62,0.0,0.0,,12.1,19.4,0.62,4.8,4.8,1.0,0.0,4.8,4.8,7.3,4.8,0.0,2.4,2.4,29.1,129.0,99.0
2000,24,1758,PHO,Phoenix Suns,Randy Livingston,"April 2, 1975",24.0,NBA,PG,79.0,15.0,1081.0,7.3,17.6,0.42,0.9,2.6,0.34,6.4,15.0,0.43,2.5,2.9,0.84,1.2,5.0,6.1,8.0,2.3,0.6,4.3,6.1,18.0,94.0,100.0
2001,10,1758,GSW,Golden State Warriors,Randy Livingston,"April 2, 1975",25.0,NBA,PG,2.0,0.0,7.0,0.0,14.6,0.0,0.0,7.3,0.0,0.0,7.3,0.0,0.0,0.0,,0.0,7.3,7.3,7.3,0.0,0.0,0.0,0.0,0.0,28.0,112.0
2002,21,1758,SEA,Seattle Supersonics,Randy Livingston,"April 2, 1975",26.0,NBA,PG,13.0,0.0,176.0,4.6,16.5,0.28,0.3,2.5,0.12,4.3,14.1,0.3,3.1,3.4,0.91,2.8,4.9,7.7,8.0,2.8,0.6,0.6,3.4,12.6,100.0,105.0
2003,19,1758,NOH,New Orleans Hornets,Randy Livingston,"April 2, 1975",27.0,NBA,PG,2.0,0.0,12.0,9.0,17.9,0.5,0.0,0.0,,9.0,17.9,0.5,9.0,9.0,1.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,26.9,141.0,111.0
2004,13,1758,LAC,Los Angeles Clippers,Randy Livingston,"April 2, 1975",28.0,NBA,PG,4.0,0.0,48.0,2.2,11.0,0.2,0.0,3.3,0.0,2.2,7.7,0.29,4.4,6.6,0.67,2.2,5.5,7.7,4.4,2.2,0.0,4.4,7.7,8.8,69.0,109.0
2005,29,1758,UTA,Utah Jazz,Randy Livingston,"April 2, 1975",29.0,NBA,PG,17.0,4.0,227.0,5.3,12.4,0.42,1.2,1.9,0.62,4.1,10.5,0.39,3.6,4.1,0.88,0.7,2.2,2.9,10.8,2.9,0.5,3.4,6.7,15.3,111.0,110.0
2006,5,1758,CHI,Chicago Bulls,Randy Livingston,"April 2, 1975",30.0,NBA,PG,5.0,0.0,22.0,0.0,4.7,0.0,0.0,0.0,,0.0,4.7,0.0,0.0,0.0,,2.3,7.0,9.4,2.3,2.3,0.0,2.3,14.1,0.0,38.0,102.0
2007,21,1758,SEA,Seattle Supersonics,Randy Livingston,"April 2, 1975",31.0,NBA,PG,4.0,0.0,26.0,0.0,6.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,,2.0,0.0,2.0,8.0,0.0,0.0,2.0,4.0,0.0,61.0,119.0
