Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
1993,13,1408,LAC,Los Angeles Clippers,Mark Jackson,27,5,5,188,7.6,17.3,0.44,0.3,0.5,0.5,7.3,16.8,0.44,5.1,6.0,0.86,2.2,5.7,7.8,10.3,2.2,0.3,3.5,2.2,20.6,108,104
1993,13,1191,LAC,Los Angeles Clippers,Ron Harper,29,5,5,174,10.8,22.8,0.47,1.5,2.9,0.5,9.4,19.9,0.47,3.2,5.0,0.65,1.2,4.7,5.8,4.7,4.4,2.9,3.2,2.0,26.3,103,98
1993,13,1828,LAC,Los Angeles Clippers,Danny Manning,26,5,5,171,10.4,25.3,0.41,0.0,0.6,0.0,10.4,24.7,0.42,6.2,7.7,0.81,3.6,7.1,10.7,2.4,2.1,1.5,3.9,5.7,27.1,95,102
1993,13,2154,LAC,Los Angeles Clippers,Ken Norman,28,5,5,164,7.8,20.8,0.37,0.9,2.5,0.38,6.8,18.3,0.37,3.4,6.8,0.5,4.3,8.4,12.7,3.7,1.2,0.0,0.3,2.5,19.9,102,105
1993,13,2463,LAC,Los Angeles Clippers,Stanley Roberts,22,5,5,149,8.9,17.1,0.52,0.0,0.3,0.0,8.9,16.7,0.53,1.7,6.1,0.28,5.8,8.2,14.0,0.3,1.0,1.0,3.4,8.2,19.5,92,104
1993,13,1080,LAC,Los Angeles Clippers,Gary Grant,27,5,0,101,5.0,15.6,0.32,0.0,0.0,,5.0,15.6,0.32,0.5,1.0,0.5,0.5,0.5,1.0,11.6,1.5,0.0,3.5,6.5,10.6,80,109
1993,13,3149,LAC,Los Angeles Clippers,John Williams,26,5,0,98,2.1,9.3,0.22,1.0,1.6,0.67,1.0,7.8,0.13,0.5,1.0,0.5,2.6,4.7,7.3,3.6,2.6,0.0,3.1,8.8,5.7,67,104
1993,13,588,LAC,Los Angeles Clippers,Lester Conner,33,5,0,64,7.2,9.5,0.75,0.8,0.8,1.0,6.4,8.7,0.73,1.6,1.6,1.0,2.4,3.2,5.6,7.9,2.4,0.8,0.0,4.0,16.7,177,105
1993,13,2965,LAC,Los Angeles Clippers,Loy Vaught,24,3,0,50,6.1,15.3,0.4,0.0,0.0,,6.1,15.3,0.4,4.1,5.1,0.8,4.1,14.2,18.3,0.0,4.1,1.0,3.1,7.1,16.3,91,94
1993,13,1400,LAC,Los Angeles Clippers,Jaren Jackson,25,4,0,28,9.1,23.6,0.38,0.0,1.8,0.0,9.1,21.8,0.42,0.0,0.0,,7.3,1.8,9.1,3.6,3.6,0.0,5.5,10.9,18.2,79,104
1993,13,2954,LAC,Los Angeles Clippers,Kiki Vandeweghe,34,1,0,9,11.3,33.9,0.33,0.0,0.0,,11.3,33.9,0.33,0.0,0.0,,0.0,0.0,0.0,5.7,5.7,0.0,5.7,0.0,22.6,67,101
1993,13,2727,LAC,Los Angeles Clippers,Elmore Spencer,23,2,0,4,0.0,25.4,0.0,0.0,0.0,,0.0,25.4,0.0,0.0,0.0,,12.7,0.0,12.7,0.0,0.0,0.0,0.0,12.7,0.0,32,112
