Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1989,22.0,PHO,NBA,PG,12.0,12.0,494.0,8.4,16.9,0.495,0.3,0.9,0.3,8.1,16.0,0.506,9.5,10.2,0.927,1.1,3.6,4.7,13.7,1.8,0.5,5.1,2.6,26.5,,121.0,109.0
1990,23.0,PHO,NBA,PG,16.0,16.0,582.0,10.4,21.7,0.479,0.2,0.9,0.182,10.2,20.7,0.492,7.8,9.4,0.821,0.8,3.7,4.5,14.3,2.1,0.0,5.2,2.4,28.6,,112.0,109.0
1991,24.0,PHO,NBA,PG,4.0,4.0,146.0,5.5,18.1,0.302,0.3,2.4,0.143,5.1,15.7,0.326,6.1,10.2,0.6,0.7,3.8,4.4,13.3,0.7,0.3,4.1,3.1,17.4,,87.0,115.0
1992,25.0,PHO,NBA,PG,8.0,8.0,335.0,8.9,18.4,0.484,0.4,0.9,0.5,8.5,17.6,0.484,8.9,10.4,0.861,1.2,3.6,4.7,13.4,1.7,0.3,3.6,3.5,27.2,,125.0,116.0
1993,26.0,PHO,NBA,PG,23.0,23.0,914.0,8.1,16.9,0.48,0.0,0.2,0.0,8.1,16.7,0.485,7.0,8.8,0.795,0.6,2.9,3.5,10.3,2.0,0.7,4.8,3.2,23.2,,109.0,113.0
1994,27.0,PHO,NBA,PG,10.0,10.0,427.0,11.4,25.0,0.458,0.4,1.2,0.3,11.1,23.8,0.465,8.1,9.6,0.852,1.2,2.9,4.1,11.3,1.2,0.1,4.0,2.7,31.4,,114.0,116.0
1995,28.0,PHO,NBA,PG,10.0,10.0,371.0,12.0,20.9,0.573,0.7,1.4,0.5,11.3,19.5,0.579,9.9,11.7,0.845,1.0,4.7,5.7,13.0,1.3,0.6,4.7,3.5,34.6,,130.0,116.0
1996,29.0,PHO,NBA,PG,4.0,4.0,151.0,9.5,20.0,0.474,0.4,1.4,0.25,9.1,18.6,0.491,4.9,6.0,0.824,0.7,5.3,6.0,15.1,0.7,0.7,3.9,2.8,24.2,,114.0,123.0
1997,30.0,PHO,NBA,PG,5.0,5.0,208.0,6.3,21.4,0.295,0.7,5.3,0.136,5.6,16.0,0.348,7.0,8.0,0.879,1.9,3.4,5.3,7.3,3.2,0.0,4.4,3.6,20.4,,89.0,117.0
1998,31.0,PHO,NBA,PG,4.0,1.0,122.0,9.9,18.1,0.548,0.4,1.7,0.25,9.5,16.4,0.579,3.4,5.2,0.667,0.9,3.0,3.9,8.2,0.9,0.4,2.6,2.6,23.7,,116.0,115.0
