PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
LeBron James,20,80,80,3388,12.6,26.6,0.47200000000000003,1.7,4.9,0.35100000000000003,10.8,21.7,0.499,7.5,10.0,0.75,1.8,7.5,9.3,9.1,2.8,0.8,4.1,2.3,34.3,,114,103
Jeff McInnis,30,76,69,2651,7.6,18.5,0.41200000000000003,1.8,5.3,0.345,5.8,13.1,0.439,2.6,3.2,0.813,0.6,2.5,3.2,7.9,1.1,0.0,2.4,3.6,19.7,,108,111
Zydrunas Ilgauskas,29,78,78,2615,9.4,20.0,0.46799999999999997,0.0,0.1,0.28600000000000003,9.3,19.9,0.469,8.2,10.3,0.799,6.1,7.6,13.7,2.0,1.1,3.4,3.9,6.4,27.0,,110,104
Drew Gooden,23,82,80,2523,9.8,20.0,0.49200000000000005,0.1,0.6,0.179,9.7,19.4,0.502,5.3,6.6,0.81,4.4,11.6,16.0,2.8,1.6,1.6,2.8,4.9,25.1,,112,102
Eric Snow,31,81,15,1844,3.6,9.5,0.382,0.4,1.3,0.289,3.2,8.2,0.397,1.7,2.3,0.738,1.1,3.4,4.5,9.2,1.9,0.5,2.6,5.5,9.3,,101,108
Ira Newble,30,74,69,1832,5.3,12.4,0.429,0.6,1.5,0.358,4.8,10.8,0.439,1.6,2.0,0.797,2.3,4.1,6.4,2.7,1.5,0.5,1.8,4.2,12.8,,102,109
Robert Traylor,27,74,6,1327,7.1,16.1,0.444,0.0,0.3,0.0,7.1,15.8,0.45299999999999996,2.2,4.1,0.539,5.5,7.9,13.4,2.5,2.2,2.0,2.9,8.7,16.5,,97,103
Lucious Harris,34,73,4,1128,5.6,14.2,0.395,1.0,3.1,0.32299999999999995,4.6,11.1,0.415,2.7,3.3,0.812,1.8,3.9,5.7,2.3,1.3,0.3,1.4,3.2,14.8,,104,110
Anderson Varejão,22,54,0,863,6.1,12.0,0.513,0.0,0.1,0.0,6.1,11.8,0.518,4.2,7.9,0.535,6.8,9.2,15.9,1.7,2.5,2.4,1.6,7.6,16.5,,117,101
Sasha Pavlović,21,65,9,862,7.4,17.1,0.435,1.9,4.8,0.385,5.6,12.3,0.455,2.7,4.0,0.688,0.9,3.5,4.4,3.0,1.8,0.2,2.9,7.5,19.5,,100,109
DeSagana Diop,23,39,0,306,3.5,12.1,0.29,0.0,0.3,0.0,3.5,11.7,0.299,0.0,0.9,0.0,5.2,7.0,12.2,2.6,1.4,4.7,2.1,9.3,7.0,,77,103
Jérôme Moïso,25,16,0,192,3.3,14.2,0.235,0.6,3.1,0.182,2.8,11.1,0.25,5.6,7.8,0.7140000000000001,1.7,6.1,7.8,5.3,1.4,0.0,4.2,4.5,12.8,,79,108
Scott Williams,36,19,0,152,4.2,14.4,0.293,0.0,0.4,0.0,4.2,14.1,0.3,3.2,3.9,0.818,5.3,5.3,10.6,2.8,1.4,2.1,1.8,10.6,11.6,,92,106
Dajuan Wagner,21,11,0,102,9.4,28.8,0.327,2.6,13.6,0.192,6.8,15.2,0.44799999999999995,1.6,2.1,0.75,0.0,1.0,1.0,6.8,2.6,0.0,4.7,7.9,23.1,,81,109
Luke Jackson,23,10,0,43,12.4,33.6,0.37,5.0,7.5,0.667,7.5,26.1,0.28600000000000003,6.2,7.5,0.833,2.5,5.0,7.5,3.7,0.0,0.0,2.5,5.0,36.1,,105,112
Zydrunas Ilgauskas,26,4,0,27,5.9,9.9,0.6,0.0,0.0,,5.9,9.9,0.6,0.0,0.0,,2.0,11.9,13.9,2.0,2.0,4.0,0.0,7.9,11.9,,136,99
