Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2001,23.0,HOU,NBA,PF,74.0,21.0,1820.0,6.0,13.6,0.443,0.7,2.7,0.272,5.3,10.9,0.485,2.7,3.7,0.722,3.6,8.6,12.2,2.2,1.2,1.3,3.4,5.2,15.4,,97.0,104.0
2002,24.0,HOU,NBA,PF,72.0,71.0,2484.0,8.7,18.2,0.478,0.0,0.4,0.0,8.7,17.8,0.487,4.9,7.4,0.664,3.5,7.8,11.3,3.0,1.9,1.4,3.1,4.3,22.2,,104.0,107.0
2003,25.0,TOT,NBA,PF,66.0,42.0,1978.0,7.0,15.0,0.465,0.0,0.0,,7.0,15.0,0.465,3.9,5.3,0.746,5.0,9.2,14.2,3.0,1.7,0.7,3.1,4.5,17.9,,105.0,102.0
2003,25.0,HOU,NBA,PF,20.0,14.0,586.0,7.6,17.5,0.432,0.0,0.0,,7.6,17.5,0.432,3.0,4.2,0.733,4.2,8.5,12.6,3.6,1.5,0.6,3.7,4.5,18.2,,96.0,103.0
2003,25.0,PHI,NBA,PF,46.0,28.0,1392.0,6.7,13.9,0.482,0.0,0.0,,6.7,13.9,0.482,4.3,5.7,0.75,5.3,9.5,14.8,2.8,1.7,0.8,2.9,4.5,17.7,,109.0,101.0
2004,26.0,PHI,NBA,PF,74.0,72.0,2699.0,7.7,16.4,0.469,0.0,0.1,0.2,7.7,16.3,0.47,4.9,6.5,0.752,5.3,9.9,15.2,2.2,1.7,0.7,3.5,4.4,20.3,,103.0,100.0
2005,27.0,TOT,NBA,PF,73.0,58.0,2167.0,8.6,18.4,0.47,0.0,0.1,0.2,8.6,18.2,0.472,4.1,5.3,0.762,4.3,8.3,12.6,3.6,1.6,0.4,3.1,5.3,21.3,,105.0,106.0
2005,27.0,PHI,NBA,PF,47.0,43.0,1344.0,8.2,17.9,0.456,0.0,0.2,0.25,8.1,17.8,0.458,3.6,4.5,0.798,4.0,7.6,11.6,2.9,1.5,0.2,3.1,5.7,19.9,,100.0,105.0
2005,27.0,SAC,NBA,PF,26.0,15.0,823.0,9.4,19.1,0.492,0.0,0.1,0.0,9.4,19.1,0.493,4.9,6.8,0.722,4.9,9.3,14.2,4.7,1.7,0.7,3.0,4.8,23.7,,111.0,106.0
2006,28.0,SAC,NBA,PF,82.0,55.0,2293.0,6.9,13.8,0.505,0.0,0.0,0.0,6.9,13.7,0.506,3.1,4.6,0.676,4.5,9.5,14.1,3.8,1.6,0.9,3.1,4.5,17.0,,107.0,103.0
2007,29.0,SAC,NBA,PF,62.0,53.0,1412.0,5.2,10.9,0.482,0.0,0.0,0.0,5.2,10.8,0.483,1.4,2.7,0.513,4.8,8.7,13.5,2.7,1.5,0.6,3.2,5.1,11.9,,97.0,107.0
2008,30.0,SAC,NBA,PF,23.0,3.0,281.0,2.9,6.9,0.421,0.0,0.0,,2.9,6.9,0.421,0.0,0.9,0.0,3.2,7.8,11.0,2.3,1.1,0.2,3.8,6.9,5.8,,74.0,111.0
2009,31.0,SAC,NBA,PF,8.0,0.0,62.0,2.5,6.6,0.375,0.0,0.0,,2.5,6.6,0.375,0.0,0.0,,3.3,9.0,12.3,0.8,4.9,0.8,0.8,7.4,4.9,,94.0,105.0
2010,32.0,SAC,NBA,PF,26.0,2.0,313.0,2.8,5.7,0.486,0.0,0.0,,2.8,5.7,0.486,1.1,2.0,0.583,5.7,8.3,14.0,2.4,1.6,1.6,2.8,6.9,6.7,,102.0,108.0
