PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Mark Jackson,30,81,81,2643,6.0,12.7,0.473,1.3,3.0,0.43,4.7,9.7,0.486,3.1,3.9,0.785,1.3,4.9,6.2,12.9,2.0,0.1,4.1,3.1,16.4,,115,108
Reggie Miller,30,76,76,2621,10.3,21.9,0.473,3.4,8.4,0.41,6.9,13.5,0.512,8.8,10.2,0.863,0.8,3.6,4.4,5.2,1.6,0.3,3.9,3.6,32.9,,121,110
Dale Davis,26,78,77,2617,6.9,12.3,0.5579999999999999,0.0,0.0,,6.9,12.3,0.5579999999999999,2.8,5.9,0.467,5.2,9.4,14.6,1.6,1.2,2.3,2.4,4.9,16.5,,110,105
Derrick McKey,29,75,75,2440,7.6,15.7,0.486,0.4,1.5,0.25,7.2,14.2,0.511,3.7,4.9,0.769,2.7,5.2,8.0,5.8,1.8,1.0,3.1,5.4,19.4,,111,107
Antonio Davis,27,82,14,2092,6.1,12.4,0.49,0.0,0.1,0.5,6.0,12.3,0.49,6.3,8.9,0.713,4.8,8.0,12.9,1.1,0.8,1.7,2.2,6.4,18.5,,117,107
Rik Smits,29,63,63,1901,13.2,25.3,0.521,0.0,0.1,0.2,13.1,25.1,0.523,6.5,8.3,0.7879999999999999,3.4,8.9,12.2,3.1,0.6,1.3,4.5,6.4,32.9,,108,107
Ricky Pierce,36,76,2,1404,10.1,22.6,0.447,1.3,4.0,0.337,8.8,18.6,0.47100000000000003,6.7,7.8,0.8490000000000001,1.5,3.7,5.2,3.9,2.2,0.2,3.6,7.2,28.2,,108,108
Haywoode Workman,30,77,4,1164,4.7,12.0,0.39,1.1,3.3,0.324,3.6,8.7,0.415,2.5,3.4,0.74,1.2,4.5,5.7,9.8,3.0,0.2,4.3,7.0,12.9,,98,106
Eddie Johnson,36,62,1,1002,9.7,23.4,0.413,2.4,6.9,0.35200000000000004,7.2,16.5,0.43799999999999994,3.8,4.2,0.8859999999999999,2.4,5.8,8.2,3.7,1.1,0.2,3.0,5.6,25.5,,105,109
Duane Ferrell,30,54,6,591,7.3,15.1,0.48200000000000004,0.0,0.7,0.0,7.3,14.4,0.506,3.8,5.2,0.737,2.9,5.5,8.5,2.7,2.1,0.3,3.1,7.5,18.4,,104,107
Travis Best,23,59,1,571,6.5,15.3,0.423,0.8,2.4,0.32,5.7,13.0,0.442,7.1,8.5,0.833,1.0,3.1,4.1,9.1,1.9,0.3,5.9,7.5,20.8,,102,109
Adrian Caldwell,29,51,1,327,7.6,13.6,0.5539999999999999,0.0,0.0,,7.6,13.6,0.5539999999999999,3.0,5.9,0.5,6.9,11.2,18.1,1.0,1.5,0.8,5.8,12.0,18.1,,94,103
Dwayne Schintzius,27,33,8,297,8.9,19.9,0.445,0.0,0.0,,8.9,19.9,0.445,2.4,3.8,0.619,4.2,10.0,14.1,2.5,1.6,2.2,3.4,9.6,20.1,,95,103
Fred Hoiberg,23,15,1,85,5.1,12.0,0.42100000000000004,0.6,1.9,0.33299999999999996,4.4,10.1,0.43799999999999994,9.5,11.4,0.833,2.5,3.2,5.7,5.1,3.8,0.6,4.4,7.6,20.2,,112,105
