PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Bryant Stith,25,82,77,2810,7.0,16.9,0.41600000000000004,0.8,2.7,0.27699999999999997,6.3,14.1,0.44299999999999995,5.9,7.0,0.8440000000000001,2.3,5.1,7.4,4.5,2.1,0.3,2.9,3.5,20.7,,107,109
Dikembe Mutombo,29,74,74,2713,5.4,10.9,0.499,0.0,0.0,0.0,5.4,10.9,0.5,4.7,6.8,0.695,4.8,11.9,16.7,2.1,0.7,6.4,2.9,5.0,15.6,,110,101
Dale Ellis,35,81,52,2626,9.1,19.0,0.479,3.0,7.2,0.41200000000000003,6.1,11.8,0.519,2.7,3.5,0.76,1.7,4.5,6.2,2.8,1.1,0.1,1.9,3.8,23.9,,116,112
Antonio McDyess,21,76,75,2280,9.7,20.1,0.485,0.0,0.1,0.0,9.7,20.0,0.48700000000000004,3.8,5.5,0.6829999999999999,5.2,7.8,13.1,1.7,1.2,2.6,3.5,5.7,23.3,,102,107
Jalen Rose,23,80,37,2134,7.1,14.7,0.48,0.8,2.6,0.29600000000000004,6.3,12.1,0.52,4.7,6.8,0.69,1.1,5.2,6.3,12.1,1.3,1.0,5.7,5.6,19.6,,103,110
Mahmoud Abdul-Rauf,26,57,53,2029,10.6,24.5,0.434,3.1,7.9,0.392,7.5,16.6,0.45399999999999996,3.7,4.0,0.93,0.7,2.9,3.5,10.0,1.6,0.1,3.0,3.0,28.1,,114,112
LaPhonso Ellis,25,45,28,1269,7.8,17.7,0.43799999999999994,0.2,0.9,0.182,7.6,16.8,0.451,3.7,6.1,0.601,3.8,9.4,13.2,3.0,1.5,1.4,3.4,6.7,19.3,,96,106
Don MacLean,26,56,5,1107,11.0,25.7,0.426,0.7,2.3,0.28600000000000003,10.3,23.4,0.44,6.8,9.3,0.732,2.9,6.7,9.6,4.2,1.0,0.2,3.2,4.9,29.4,,103,110
Tom Hammonds,28,71,4,1045,6.3,13.4,0.474,0.0,0.0,,6.3,13.4,0.474,4.4,5.7,0.765,4.2,6.9,11.1,1.1,1.1,0.6,2.4,6.8,17.0,,108,109
Reggie Williams,31,52,5,817,6.0,16.2,0.37,1.3,5.7,0.225,4.7,10.5,0.44799999999999995,2.1,2.5,0.846,1.6,6.2,7.8,4.7,2.2,1.3,3.2,8.7,15.4,,91,107
Doug Overton,26,55,0,607,5.7,15.3,0.376,0.7,2.2,0.308,5.1,13.0,0.38799999999999996,3.4,4.7,0.727,0.7,4.7,5.4,9.1,1.1,0.4,3.4,4.2,15.6,,97,111
Matt Fish,26,16,0,117,6.7,11.6,0.5770000000000001,0.0,0.0,,6.7,11.6,0.5770000000000001,4.4,8.0,0.556,3.1,4.9,8.0,3.1,1.3,2.7,1.3,7.1,17.8,,123,108
Greg Grant,29,10,0,109,2.9,11.0,0.261,1.0,2.9,0.33299999999999996,1.9,8.1,0.235,0.0,0.0,,1.4,1.9,3.3,6.7,1.0,0.0,2.4,3.3,6.7,,80,114
Randy Woods,25,8,0,72,4.3,15.9,0.273,3.6,15.2,0.23800000000000002,0.7,0.7,1.0,1.4,1.4,1.0,2.2,2.2,4.3,8.7,4.3,0.7,3.6,9.4,13.7,,94,105
Rastko Cvetković,25,14,0,48,5.4,17.4,0.313,0.0,1.1,0.0,5.4,16.3,0.33299999999999996,0.0,4.3,0.0,4.3,7.6,11.9,3.3,2.2,1.1,3.3,11.9,10.8,,67,106
Reggie Slater,25,4,0,26,12.0,22.0,0.545,0.0,0.0,,12.0,22.0,0.545,4.0,10.0,0.4,6.0,8.0,14.0,4.0,2.0,2.0,6.0,8.0,28.0,,96,105
Elmore Spencer,26,6,0,21,0.0,2.5,0.0,0.0,0.0,,0.0,2.5,0.0,0.0,0.0,,2.5,7.4,9.9,0.0,0.0,0.0,7.4,19.8,0.0,,15,111
