Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989,22.0,SAS,NBA,SF,81.0,79.0,2738.0,8.4,16.9,0.498,0.1,0.3,0.19,8.4,16.6,0.503,2.9,3.8,0.775,2.0,3.5,5.5,4.9,2.0,0.8,3.4,3.9,19.8
1990,23.0,SAS,NBA,SG,82.0,81.0,2788.0,6.9,14.0,0.492,0.1,0.3,0.269,6.8,13.6,0.497,2.8,3.7,0.748,1.5,3.3,4.8,4.7,1.4,0.7,2.6,3.3,16.6
1991,24.0,SAS,NBA,SG,75.0,75.0,2592.0,6.3,13.8,0.457,0.1,0.5,0.2,6.2,13.3,0.467,2.4,3.0,0.798,0.9,3.9,4.9,5.0,1.1,0.6,2.3,3.1,15.0
1992,25.0,SAS,NBA,SG,57.0,55.0,1889.0,5.9,13.1,0.455,0.2,1.1,0.232,5.7,12.0,0.475,2.0,2.6,0.775,1.2,4.5,5.7,5.8,1.0,1.0,2.7,2.9,14.2
1993,26.0,SAS,NBA,SG,38.0,7.0,560.0,5.1,12.0,0.43,0.1,0.5,0.125,5.1,11.4,0.444,1.4,1.8,0.786,0.5,3.2,3.7,5.1,0.9,0.4,2.8,3.3,11.8
1994,27.0,SAS,NBA,SG,80.0,79.0,2488.0,5.7,12.1,0.471,0.3,1.0,0.324,5.4,11.1,0.484,2.1,2.5,0.848,1.0,2.5,3.5,5.0,1.0,0.7,2.2,2.7,13.8
1995,28.0,SAS,NBA,SG,38.0,11.0,556.0,4.9,10.5,0.469,0.2,1.2,0.158,4.7,9.3,0.51,1.9,2.7,0.732,1.0,2.6,3.6,3.4,1.7,0.6,2.5,4.6,12.0
1996,29.0,TOT,NBA,SG,76.0,44.0,2060.0,5.0,11.5,0.436,0.6,2.1,0.283,4.4,9.4,0.47,2.3,2.8,0.81,0.8,3.5,4.3,3.4,1.3,1.0,2.5,4.0,13.0
1996,29.0,TOR,NBA,SG,49.0,42.0,1564.0,5.3,12.1,0.44,0.7,2.2,0.305,4.7,9.9,0.47,2.6,3.0,0.856,0.8,3.5,4.3,3.4,1.3,1.2,2.7,3.9,13.9
1996,29.0,NYK,NBA,SG,27.0,2.0,496.0,4.1,9.7,0.421,0.4,1.8,0.2,3.7,7.8,0.472,1.4,2.3,0.613,0.9,3.4,4.4,3.5,1.2,0.6,1.7,4.3,9.9
1997,30.0,MIA,NBA,SG,28.0,1.0,303.0,3.4,7.6,0.453,1.0,2.3,0.421,2.5,5.3,0.467,2.0,2.4,0.85,1.8,3.2,5.0,4.0,1.7,0.5,2.3,4.3,9.9
