Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2009,22,1722,ORL,Orlando Magic,Courtney Lee,1985-10-03,23.0,NBA,SG,77.0,42.0,1939.0,6.5,14.5,0.45,2.2,5.4,0.4,4.3,9.0,0.48,2.1,2.5,0.83,0.5,4.3,4.8,2.4,2.0,0.4,1.8,4.2,17.3,107.0,104.0
2010,3,1722,NJN,New Jersey Nets,Courtney Lee,1985-10-03,24.0,NBA,SG,71.0,66.0,2375.0,7.5,17.1,0.44,1.7,5.0,0.34,5.8,12.2,0.48,2.9,3.4,0.87,1.3,4.2,5.6,2.7,2.1,0.4,1.7,2.9,19.6,106.0,111.0
2011,11,1722,HOU,Houston Rockets,Courtney Lee,1985-10-03,25.0,NBA,SG,81.0,1.0,1723.0,7.5,17.0,0.44,2.1,5.1,0.41,5.4,11.9,0.45,2.8,3.5,0.79,1.5,4.7,6.2,3.0,1.7,0.5,2.0,3.0,19.9,108.0,110.0
2012,11,1722,HOU,Houston Rockets,Courtney Lee,1985-10-03,26.0,NBA,SG,58.0,26.0,1757.0,7.5,17.3,0.43,2.6,6.5,0.4,4.9,10.8,0.45,2.1,2.6,0.83,0.8,4.0,4.7,2.6,2.0,0.7,1.9,3.2,19.7,106.0,107.0
2013,2,1722,BOS,Boston Celtics,Courtney Lee,1985-10-03,27.0,NBA,SG,78.0,39.0,1941.0,6.6,14.3,0.46,1.6,4.2,0.37,5.1,10.1,0.5,1.7,1.9,0.86,0.8,4.3,5.1,3.9,2.4,0.6,2.3,3.7,16.5,102.0,104.0
2014,31,1722,TOT,Total After Trade,Courtney Lee,1985-10-03,28.0,NBA,SG,79.0,47.0,1973.0,7.9,16.5,0.48,1.9,5.2,0.37,6.0,11.3,0.53,2.7,3.0,0.88,0.8,4.2,5.0,3.1,1.7,0.8,2.0,3.4,20.4,113.0,107.0
2014,2,1722,BOS,Boston Celtics,Courtney Lee,1985-10-03,28.0,NBA,SG,30.0,0.0,504.0,9.2,18.7,0.49,2.3,5.3,0.44,6.8,13.4,0.51,1.8,2.2,0.82,0.8,4.2,5.0,3.3,2.0,0.9,2.6,3.8,22.6,108.0,108.0
2014,15,1722,MEM,Memphis Grizzlies,Courtney Lee,1985-10-03,28.0,NBA,SG,49.0,47.0,1469.0,7.5,15.7,0.48,1.8,5.2,0.34,5.7,10.5,0.54,2.9,3.3,0.9,0.8,4.3,5.0,3.0,1.6,0.7,1.7,3.3,19.6,114.0,107.0
2015,15,1722,MEM,Memphis Grizzlies,Courtney Lee,1985-10-03,29.0,NBA,SG,77.0,74.0,2354.0,6.4,14.3,0.45,2.0,5.0,0.4,4.4,9.3,0.47,2.5,2.9,0.86,0.5,3.5,3.9,3.3,1.7,0.3,1.7,2.9,17.2,109.0,106.0
2016,31,1722,TOT,Total After Trade,Courtney Lee,1985-10-03,30.0,NBA,SG,79.0,65.0,2334.0,6.3,14.0,0.45,1.8,4.7,0.38,4.5,9.2,0.49,2.2,2.6,0.84,0.6,3.8,4.5,3.0,1.9,0.6,1.6,2.9,16.6,109.0,109.0
2016,15,1722,MEM,Memphis Grizzlies,Courtney Lee,1985-10-03,30.0,NBA,SG,51.0,37.0,1489.0,6.6,14.5,0.46,1.8,4.8,0.37,4.9,9.7,0.5,2.6,3.2,0.83,0.7,3.4,4.1,2.6,1.8,0.6,1.7,2.7,17.7,109.0,111.0
2016,4,1722,CHO,Charlotte Hornets,Courtney Lee,1985-10-03,30.0,NBA,SG,28.0,28.0,845.0,5.8,13.1,0.44,1.8,4.7,0.39,4.0,8.4,0.48,1.4,1.5,0.88,0.6,4.6,5.2,3.6,2.0,0.7,1.4,3.3,14.8,108.0,105.0
2017,20,1722,NYK,New York Knicks,Courtney Lee,1985-10-03,31.0,NBA,SG,77.0,74.0,2459.0,6.5,14.3,0.46,2.2,5.5,0.4,4.3,8.8,0.49,1.7,2.0,0.87,1.1,4.2,5.3,3.6,1.6,0.5,1.4,2.9,17.0,115.0,114.0
2018,20,1722,NYK,New York Knicks,Courtney Lee,1985-10-03,32.0,NBA,SG,76.0,69.0,2310.0,7.4,16.2,0.45,2.4,6.0,0.41,4.9,10.2,0.48,2.4,2.7,0.92,0.6,4.2,4.8,3.9,1.7,0.4,1.8,2.3,19.6,112.0,113.0
2019,31,1722,TOT,Total After Trade,Courtney Lee,1985-10-03,33.0,NBA,SG,34.0,6.0,428.0,6.0,14.6,0.41,1.8,6.2,0.29,4.2,8.4,0.5,1.6,2.4,0.67,1.0,5.1,6.1,4.2,2.4,0.3,1.6,3.6,15.4,103.0,112.0
2019,20,1722,NYK,New York Knicks,Courtney Lee,1985-10-03,33.0,NBA,SG,12.0,2.0,160.0,6.3,14.2,0.45,1.5,4.8,0.31,4.8,9.3,0.52,2.7,4.2,0.64,1.8,6.3,8.1,4.8,2.4,0.6,1.5,3.9,16.9,112.0,112.0
2019,7,1722,DAL,Dallas Mavericks,Courtney Lee,1985-10-03,33.0,NBA,SG,22.0,4.0,268.0,5.8,14.8,0.39,2.0,7.1,0.28,3.8,7.8,0.49,0.9,1.3,0.71,0.5,4.3,4.9,3.8,2.4,0.2,1.6,3.4,14.5,97.0,111.0
2020,7,1722,DAL,Dallas Mavericks,Courtney Lee,1985-10-03,34.0,NBA,SG,24.0,9.0,345.0,5.6,11.5,0.49,2.9,6.6,0.45,2.7,4.9,0.54,0.8,1.0,0.86,1.0,3.5,4.5,1.7,2.5,0.8,1.5,4.6,15.0,116.0,111.0
