PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Russell Westbrook,27,80,80,2750,11.8,26.1,0.45399999999999996,1.8,6.2,0.29600000000000004,10.0,19.9,0.503,8.4,10.3,0.812,2.6,8.7,11.3,15.1,2.9,0.4,6.2,3.6,33.9,,115,103
Kevin Durant,27,72,72,2578,13.4,26.6,0.505,3.6,9.3,0.387,9.9,17.3,0.569,8.6,9.6,0.898,0.9,10.5,11.3,7.0,1.3,1.6,4.8,2.6,39.1,,122,104
Serge Ibaka,26,78,78,2500,8.3,17.3,0.479,1.2,3.7,0.326,7.1,13.6,0.52,1.8,2.4,0.752,2.8,7.8,10.6,1.3,0.8,2.9,2.1,4.2,19.5,,108,105
Dion Waiters,24,78,15,2152,6.5,16.3,0.39899999999999997,2.0,5.5,0.358,4.5,10.7,0.42100000000000004,2.6,3.6,0.713,0.8,3.8,4.7,3.6,1.9,0.3,2.8,3.3,17.6,,99,108
Steven Adams,22,80,80,2014,6.4,10.5,0.613,0.0,0.0,,6.4,10.5,0.613,2.8,4.8,0.5820000000000001,5.4,7.7,13.1,1.5,1.0,2.2,2.1,5.5,15.7,,123,105
Enes Kanter,23,82,1,1721,11.9,20.7,0.5760000000000001,0.3,0.6,0.47600000000000003,11.7,20.1,0.579,5.8,7.2,0.797,7.2,12.0,19.2,1.0,0.7,1.0,3.3,4.8,29.9,,123,105
Andre Roberson,24,70,70,1553,4.3,8.8,0.496,1.0,3.3,0.311,3.3,5.5,0.608,1.1,1.7,0.611,2.5,5.5,8.0,1.5,1.7,1.3,1.1,4.3,10.8,,119,106
Kyle Singler,27,68,2,977,4.4,11.2,0.389,1.5,4.9,0.309,2.8,6.3,0.452,1.5,2.2,0.659,2.5,4.6,7.2,1.2,1.5,0.5,1.6,6.1,11.7,,102,108
Anthony Morrow,30,68,6,926,7.3,17.9,0.408,4.2,10.9,0.387,3.1,6.9,0.442,1.6,2.1,0.7440000000000001,0.5,2.8,3.3,1.3,1.2,0.3,0.9,3.4,20.4,,114,110
Nick Collison,35,59,4,699,3.6,7.7,0.45899999999999996,0.0,0.1,0.0,3.6,7.6,0.467,1.6,2.3,0.6970000000000001,4.8,7.3,12.1,3.7,1.1,1.1,3.6,7.6,8.7,,99,107
Cameron Payne,21,57,1,698,8.1,19.8,0.41,2.6,7.9,0.324,5.5,11.9,0.467,1.4,1.7,0.792,0.6,5.4,6.0,7.7,2.6,0.4,3.1,5.7,20.1,,104,105
Randy Foye,32,27,1,572,4.5,12.9,0.349,2.2,7.0,0.309,2.3,5.9,0.397,1.9,2.3,0.815,0.7,3.7,4.4,4.3,1.1,1.1,2.4,4.2,13.1,,99,109
D.J. Augustin,28,34,0,519,4.4,11.6,0.38,2.3,5.8,0.39299999999999996,2.1,5.7,0.36700000000000005,2.5,3.3,0.765,0.5,3.6,4.1,6.3,1.2,0.2,2.9,3.9,13.6,,106,110
Mitch McGary,23,20,0,72,7.6,15.9,0.478,0.0,2.8,0.0,7.6,13.1,0.579,2.8,6.9,0.4,2.8,9.7,12.4,2.1,0.7,1.4,4.8,6.9,17.9,,86,106
Josh Huestis,24,5,0,55,4.5,10.8,0.41700000000000004,3.6,5.4,0.667,0.9,5.4,0.16699999999999998,0.0,3.6,0.0,1.8,7.2,9.0,0.0,0.9,1.8,2.7,2.7,12.6,,87,107
Steve Novak,32,7,0,24,12.4,24.8,0.5,10.3,18.6,0.556,2.1,6.2,0.33299999999999996,0.0,0.0,,0.0,8.3,8.3,0.0,0.0,0.0,2.1,2.1,35.2,,126,110
Nazr Mohammed,38,5,0,19,7.8,13.1,0.6,0.0,0.0,,7.8,13.1,0.6,5.2,5.2,1.0,2.6,7.8,10.5,0.0,0.0,0.0,7.8,10.5,20.9,,91,110
