Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987,12,783,IND,Indiana Pacers,Greg Dreiling,1962-11-07,24.0,NBA,C,24.0,0.0,128.0,4.5,10.4,0.43,0.0,0.0,,4.5,10.4,0.43,2.8,3.4,0.83,3.4,8.7,12.1,2.0,0.6,0.6,2.0,11.8,11.8
1988,12,783,IND,Indiana Pacers,Greg Dreiling,1962-11-07,25.0,NBA,C,20.0,0.0,74.0,3.9,8.3,0.47,0.0,0.0,,3.9,8.3,0.47,8.8,12.6,0.69,1.5,6.8,8.3,2.4,1.0,1.9,5.4,9.2,16.5
1989,12,783,IND,Indiana Pacers,Greg Dreiling,1962-11-07,26.0,NBA,C,53.0,4.0,396.0,3.9,7.0,0.56,0.0,0.0,,3.9,7.0,0.56,3.9,5.8,0.67,3.5,4.8,8.4,1.6,0.5,1.0,3.5,9.1,11.7
1990,12,783,IND,Indiana Pacers,Greg Dreiling,1962-11-07,27.0,NBA,C,49.0,0.0,307.0,2.3,6.2,0.38,0.0,0.0,,2.3,6.2,0.38,2.9,4.0,0.74,2.5,7.7,10.2,0.9,0.5,1.6,2.2,8.1,7.6
1991,12,783,IND,Indiana Pacers,Greg Dreiling,1962-11-07,28.0,NBA,C,73.0,42.0,1031.0,3.4,6.8,0.5,0.0,0.1,0.0,3.4,6.7,0.51,2.2,3.7,0.6,2.3,6.6,8.9,1.8,0.8,1.0,2.0,6.2,9.0
1992,12,783,IND,Indiana Pacers,Greg Dreiling,1962-11-07,29.0,NBA,C,60.0,23.0,509.0,3.0,6.2,0.49,0.1,0.1,1.0,3.0,6.1,0.49,2.1,2.8,0.75,1.6,5.2,6.8,1.8,0.7,1.1,2.2,8.7,8.3
1993,12,783,IND,Indiana Pacers,Greg Dreiling,1962-11-07,30.0,NBA,C,43.0,0.0,239.0,2.9,8.7,0.33,0.0,0.6,0.0,2.9,8.1,0.35,1.2,2.3,0.53,3.9,6.0,9.9,1.2,0.8,1.2,1.4,9.0,6.9
1994,7,783,DAL,Dallas Mavericks,Greg Dreiling,1962-11-07,31.0,NBA,C,54.0,19.0,685.0,2.7,5.5,0.5,0.1,0.1,1.0,2.7,5.4,0.5,1.4,2.0,0.71,2.5,6.5,8.9,1.6,0.8,1.3,2.3,8.4,6.9
1995,6,783,CLE,Cleveland Cavaliers,Greg Dreiling,1962-11-07,32.0,NBA,C,58.0,3.0,483.0,3.1,7.6,0.41,0.0,0.0,,3.1,7.6,0.41,1.9,3.1,0.63,2.4,6.3,8.6,1.6,0.4,1.6,1.9,8.0,8.2
1997,7,783,DAL,Dallas Mavericks,Greg Dreiling,1962-11-07,34.0,NBA,C,40.0,3.0,389.0,3.1,6.8,0.46,0.1,0.1,1.0,3.1,6.8,0.45,1.0,2.5,0.41,1.8,5.3,7.0,1.0,0.7,0.6,0.8,6.0,7.4
