PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Brandon Roy,23,74,74,2792,6.8,15.1,0.45399999999999996,0.9,2.8,0.34,5.9,12.3,0.48,3.6,4.8,0.753,1.0,3.4,4.5,5.5,1.0,0.2,1.8,1.9,18.3
LaMarcus Aldridge,22,76,76,2649,7.6,15.8,0.484,0.0,0.1,0.14300000000000002,7.6,15.7,0.486,3.1,4.0,0.762,3.0,4.9,7.9,1.7,0.7,1.3,1.7,3.3,18.3
Steve Blake,27,81,78,2424,3.9,9.5,0.408,1.8,4.4,0.406,2.1,5.1,0.409,0.7,1.0,0.7659999999999999,0.5,2.4,2.9,6.1,0.8,0.1,1.7,2.0,10.3
Jarrett Jack,24,82,16,2229,4.3,10.0,0.431,1.0,3.1,0.342,3.3,6.9,0.47,3.5,4.0,0.867,0.5,3.3,3.8,5.1,1.0,0.0,2.9,2.1,13.1
Travis Outlaw,23,82,6,2186,6.9,15.9,0.433,0.7,1.7,0.396,6.2,14.2,0.43700000000000006,3.6,4.8,0.741,1.6,4.6,6.2,1.7,1.0,1.0,1.8,2.8,18.0
Martell Webster,21,75,70,2132,4.7,11.1,0.42200000000000004,2.1,5.4,0.38799999999999996,2.6,5.7,0.45399999999999996,2.1,2.8,0.735,0.9,4.1,5.0,1.5,0.7,0.5,1.4,2.7,13.5
Joel Przybilla,28,77,67,1819,2.8,4.9,0.5760000000000001,0.0,0.0,0.0,2.8,4.9,0.578,1.6,2.4,0.68,3.9,9.0,12.8,0.5,0.3,1.8,1.9,4.6,7.3
Channing Frye,24,78,20,1342,5.9,12.2,0.488,0.1,0.3,0.3,5.8,11.9,0.49200000000000005,2.3,2.9,0.78,2.9,6.6,9.5,1.5,0.8,0.7,1.5,5.6,14.2
James Jones,27,58,3,1276,4.0,9.2,0.43700000000000006,2.6,5.8,0.444,1.5,3.4,0.426,2.4,2.8,0.878,1.2,3.3,4.5,1.0,0.7,0.4,0.8,2.7,13.1
Sergio Rodríguez,21,72,0,628,4.0,11.2,0.35200000000000004,1.0,3.3,0.293,3.0,7.9,0.377,1.4,2.2,0.6579999999999999,0.7,2.6,3.3,7.1,1.4,0.0,3.0,3.3,10.3
Raef LaFrentz,31,39,0,291,3.3,7.5,0.44299999999999995,0.0,0.5,0.0,3.3,7.1,0.474,1.4,2.4,0.579,3.5,4.8,8.3,0.7,1.5,2.1,1.2,7.3,8.0
Von Wafer,22,8,0,64,3.9,12.9,0.304,1.7,6.2,0.273,2.3,6.8,0.33299999999999996,1.1,2.3,0.5,0.0,5.1,5.1,1.1,0.0,1.1,1.1,1.7,10.7
Taurean Green,21,8,0,44,3.3,13.1,0.25,0.8,6.5,0.125,2.5,6.5,0.375,6.5,6.5,1.0,0.0,3.3,3.3,6.5,0.8,0.0,5.7,2.5,13.9
Josh McRoberts,20,8,0,28,7.7,12.9,0.6,0.0,1.3,0.0,7.7,11.6,0.667,0.0,0.0,,2.6,10.3,12.9,2.6,1.3,0.0,2.6,1.3,15.4
