Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,10,1784,GSW,Golden State Warriors,John Lucas,"October 31, 1953",26.0,NBA,PG,80.0,,2763.0,5.1,10.8,0.47,0.2,0.5,0.29,4.9,10.3,0.48,2.9,3.8,0.77,0.8,2.1,2.9,7.8,1.8,0.0,2.4,2.6,13.2
1981,10,1784,GSW,Golden State Warriors,John Lucas,"October 31, 1953",27.0,NBA,PG,66.0,,1919.0,4.2,9.5,0.44,0.1,0.5,0.17,4.1,9.0,0.45,2.0,2.7,0.74,0.6,2.3,2.9,8.7,1.6,0.0,3.5,2.6,10.4
1982,30,1784,WSB,Washington Bullets,John Lucas,"October 31, 1953",28.0,NBA,PG,79.0,53.0,1940.0,4.9,11.5,0.43,0.0,0.4,0.09,4.8,11.1,0.44,2.6,3.3,0.78,0.7,2.3,3.1,10.2,1.8,0.1,2.9,1.9,12.4
1983,30,1784,WSB,Washington Bullets,John Lucas,"October 31, 1953",29.0,NBA,PG,35.0,0.0,386.0,5.8,12.2,0.47,0.0,0.5,0.0,5.8,11.8,0.49,2.0,3.9,0.5,0.7,2.0,2.7,9.5,2.3,0.1,4.4,1.7,13.5
1984,27,1784,SAS,San Antonio Spurs,John Lucas,"October 31, 1953",30.0,NBA,PG,63.0,39.0,1807.0,5.5,11.9,0.46,0.4,1.4,0.28,5.1,10.5,0.49,2.4,3.1,0.76,0.5,3.1,3.6,13.4,1.8,0.1,2.9,2.5,13.7
1985,11,1784,HOU,Houston Rockets,John Lucas,"October 31, 1953",31.0,NBA,PG,47.0,21.0,1158.0,6.4,13.9,0.46,0.7,2.1,0.32,5.8,11.8,0.49,3.2,4.0,0.8,0.7,2.0,2.6,9.9,1.9,0.1,3.2,2.4,16.7
1986,11,1784,HOU,Houston Rockets,John Lucas,"October 31, 1953",32.0,NBA,PG,65.0,65.0,2120.0,6.2,13.9,0.45,0.8,2.5,0.31,5.4,11.4,0.48,3.9,5.1,0.78,0.6,1.9,2.4,9.7,1.3,0.1,2.5,2.1,17.1
1987,17,1784,MIL,Milwaukee Bucks,John Lucas,"October 31, 1953",33.0,NBA,PG,43.0,40.0,1358.0,7.6,16.5,0.46,1.2,3.3,0.36,6.3,13.2,0.48,3.6,4.6,0.79,0.8,2.5,3.3,7.7,1.9,0.2,2.4,2.2,20.0
1988,17,1784,MIL,Milwaukee Bucks,John Lucas,"October 31, 1953",34.0,NBA,PG,81.0,22.0,1766.0,5.7,12.9,0.44,1.0,3.1,0.34,4.7,9.8,0.48,2.7,3.3,0.8,0.6,2.7,3.2,8.0,1.8,0.1,2.5,2.1,15.1
1989,21,1784,SEA,Seattle Supersonics,John Lucas,"October 31, 1953",35.0,NBA,PG,74.0,8.0,842.0,5.1,12.8,0.4,0.8,2.9,0.26,4.3,9.9,0.44,2.3,3.3,0.7,0.9,2.4,3.4,11.1,2.6,0.0,2.8,2.3,13.3
1990,11,1784,HOU,Houston Rockets,John Lucas,"October 31, 1953",36.0,NBA,PG,49.0,18.0,938.0,4.2,11.2,0.38,1.0,3.3,0.3,3.2,7.8,0.41,1.6,2.1,0.76,0.7,2.7,3.5,9.1,1.7,0.1,3.3,2.3,11.0
