Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009,30,1932,WAS,Washington Wizards,JaVale McGee,"January 19, 1988",21.0,NBA,C,75.0,14.0,1143.0,6.0,12.2,0.49,0.0,0.0,,6.0,12.2,0.49,3.4,5.1,0.66,3.8,5.5,9.3,0.7,1.0,2.4,1.9,4.9,15.4
2010,30,1932,WAS,Washington Wizards,JaVale McGee,"January 19, 1988",22.0,NBA,C,60.0,19.0,968.0,5.8,11.4,0.51,0.0,0.0,0.0,5.8,11.4,0.51,2.8,4.3,0.64,3.3,5.8,9.0,0.5,0.6,3.8,1.9,4.5,14.4
2011,30,1932,WAS,Washington Wizards,JaVale McGee,"January 19, 1988",23.0,NBA,C,79.0,75.0,2193.0,5.5,9.9,0.55,0.0,0.0,0.0,5.5,9.9,0.55,2.2,3.8,0.58,3.7,6.7,10.4,0.6,0.7,3.2,1.7,3.8,13.1
2012,31,1932,TOT,Total After Trade,JaVale McGee,"January 19, 1988",24.0,NBA,C,61.0,45.0,1535.0,7.2,12.9,0.56,0.0,0.0,,7.2,12.9,0.56,1.8,3.9,0.46,3.8,7.4,11.2,0.7,0.8,3.1,2.0,3.9,16.2
2012,30,1932,WAS,Washington Wizards,JaVale McGee,"January 19, 1988",24.0,NBA,C,41.0,40.0,1124.0,6.9,12.8,0.54,0.0,0.0,,6.9,12.8,0.54,1.9,3.7,0.5,4.1,7.5,11.6,0.8,0.8,3.2,2.2,3.8,15.6
2012,8,1932,DEN,Denver Nuggets,JaVale McGee,"January 19, 1988",24.0,NBA,C,20.0,5.0,411.0,8.1,13.3,0.61,0.0,0.0,,8.1,13.3,0.61,1.7,4.5,0.37,3.2,6.9,10.1,0.5,0.9,2.7,1.7,4.2,18.0
2013,8,1932,DEN,Denver Nuggets,JaVale McGee,"January 19, 1988",25.0,NBA,C,79.0,0.0,1433.0,7.6,13.2,0.57,0.0,0.0,1.0,7.6,13.2,0.57,2.8,4.7,0.59,4.0,5.6,9.6,0.6,0.8,3.9,2.3,4.6,18.0
2014,8,1932,DEN,Denver Nuggets,JaVale McGee,"January 19, 1988",26.0,NBA,C,5.0,5.0,79.0,7.7,17.3,0.45,0.0,0.0,,7.7,17.3,0.45,0.5,0.5,1.0,4.6,3.2,7.7,0.9,0.5,3.2,3.6,7.3,15.9
2015,31,1932,TOT,Total After Trade,JaVale McGee,"January 19, 1988",27.0,NBA,C,23.0,0.0,256.0,5.9,11.1,0.53,0.0,0.0,,5.9,11.1,0.53,3.1,4.6,0.67,2.5,6.0,8.6,0.4,0.3,2.8,2.5,4.2,14.9
2015,8,1932,DEN,Denver Nuggets,JaVale McGee,"January 19, 1988",27.0,NBA,C,17.0,0.0,195.0,6.3,11.3,0.56,0.0,0.0,,6.3,11.3,0.56,3.7,5.4,0.69,2.6,6.3,8.9,0.2,0.4,3.5,2.4,5.2,16.2
2015,23,1932,PHI,Philadelphia 76Ers,JaVale McGee,"January 19, 1988",27.0,NBA,C,6.0,0.0,61.0,4.7,10.6,0.44,0.0,0.0,,4.7,10.6,0.44,1.2,2.4,0.5,2.4,5.3,7.7,1.2,0.0,0.6,3.0,1.2,10.6
2016,7,1932,DAL,Dallas Mavericks,JaVale McGee,"January 19, 1988",28.0,NBA,C,34.0,2.0,370.0,7.5,13.0,0.57,0.0,0.1,0.0,7.5,12.9,0.58,1.8,3.5,0.5,5.2,7.8,12.9,0.3,0.5,2.5,2.0,4.8,16.7
2017,10,1932,GSW,Golden State Warriors,JaVale McGee,"January 19, 1988",29.0,NBA,C,77.0,10.0,739.0,10.1,15.5,0.65,0.0,0.1,0.0,10.1,15.4,0.66,2.7,5.4,0.5,4.9,7.0,11.9,0.8,0.9,3.3,1.9,5.3,23.0
2018,10,1932,GSW,Golden State Warriors,JaVale McGee,"January 19, 1988",30.0,NBA,C,65.0,17.0,615.0,8.0,12.8,0.62,0.0,0.4,0.0,8.0,12.5,0.64,2.2,3.0,0.73,3.5,6.4,9.9,1.9,1.2,3.3,1.6,5.3,18.1
2019,14,1932,LAL,Los Angeles Lakers,JaVale McGee,"January 19, 1988",31.0,NBA,C,75.0,62.0,1671.0,8.6,13.8,0.62,0.0,0.3,0.08,8.6,13.6,0.63,2.1,3.3,0.63,4.2,8.0,12.2,1.1,1.0,3.2,2.3,4.5,19.3
2020,14,1932,LAL,Los Angeles Lakers,JaVale McGee,"January 19, 1988",32.0,NBA,C,68.0,68.0,1130.0,6.2,9.7,0.64,0.1,0.2,0.5,6.1,9.6,0.64,1.7,2.6,0.65,4.0,8.4,12.4,1.2,1.1,3.0,1.8,5.1,14.2
2021,6,1932,CLE,Cleveland Cavaliers,JaVale McGee,"January 19, 1988",33.0,NBA,C,21.0,1.0,327.0,7.3,15.7,0.46,0.6,1.8,0.31,6.7,14.0,0.48,2.9,4.8,0.59,4.1,8.8,12.9,2.4,1.2,2.6,2.9,5.6,17.9
