Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1980,22.0,NYK,NBA,PG,71.0,,923.0,4.6,11.8,0.39,0.1,0.8,0.176,4.4,10.9,0.406,1.4,1.9,0.737,0.7,2.1,2.8,7.8,1.9,0.2,3.6,4.1,10.7,,89.0,111.0
1981,23.0,TOT,NBA,PG,81.0,,2434.0,9.2,18.7,0.489,0.0,0.1,0.2,9.2,18.6,0.491,3.0,4.2,0.708,0.9,1.8,2.7,7.8,1.2,0.1,3.6,2.9,21.3,,103.0,114.0
1981,23.0,DAL,NBA,PG,56.0,,1892.0,9.9,20.3,0.488,0.0,0.1,0.25,9.9,20.2,0.489,3.3,4.8,0.692,0.8,1.7,2.5,7.1,1.2,0.2,3.8,2.9,23.1,,101.0,114.0
1981,23.0,CLE,NBA,PG,25.0,,542.0,6.7,13.4,0.497,0.0,0.1,0.0,6.7,13.3,0.5,1.9,2.4,0.815,1.1,2.4,3.4,10.3,1.1,0.1,2.7,3.1,15.3,,112.0,113.0
1982,24.0,CLE,NBA,PG,78.0,43.0,2409.0,6.5,13.5,0.484,0.1,0.2,0.3,6.5,13.3,0.486,3.1,4.0,0.765,1.1,1.9,3.0,11.8,1.4,0.2,3.4,3.4,16.2,,109.0,115.0
1983,25.0,CLE,NBA,PG,80.0,79.0,2716.0,7.3,15.1,0.482,0.1,0.2,0.333,7.2,14.9,0.484,3.0,4.4,0.686,0.7,2.1,2.9,8.8,1.3,0.1,3.5,3.9,17.6,,104.0,110.0
1984,26.0,CLE,NBA,PG,77.0,56.0,2041.0,8.4,16.9,0.498,0.0,0.3,0.182,8.4,16.6,0.503,2.7,3.7,0.714,0.8,1.5,2.3,10.0,0.9,0.0,3.5,3.0,19.5,,107.0,114.0
1985,27.0,CLE,NBA,PG,8.0,0.0,93.0,6.1,12.7,0.48,0.0,0.0,,6.1,12.7,0.48,1.0,1.5,0.667,0.0,0.5,0.5,11.6,0.0,0.0,4.1,4.1,13.2,,99.0,116.0
1986,28.0,GSW,NBA,PG,82.0,0.0,1208.0,5.3,10.4,0.513,0.1,0.2,0.333,5.3,10.2,0.517,2.4,3.5,0.685,0.4,2.1,2.5,13.0,1.4,0.2,3.2,2.6,13.2,,114.0,115.0
1987,29.0,LAC,NBA,PG,19.0,8.0,428.0,6.0,13.2,0.455,0.1,0.2,0.5,5.9,13.0,0.454,2.0,3.7,0.529,0.7,1.2,1.9,11.0,1.5,0.0,4.9,3.1,14.1,,92.0,116.0
