Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997,22.0,PHO,NBA,PG,65.0,2.0,684.0,3.9,9.2,0.423,1.2,2.9,0.418,2.7,6.3,0.425,2.2,2.7,0.824,0.8,2.5,3.3,7.3,1.1,0.0,3.3,4.8,11.2
1998,23.0,PHO,NBA,PG,76.0,9.0,1664.0,5.8,12.6,0.459,1.8,4.2,0.415,4.0,8.4,0.481,1.6,1.9,0.86,0.7,2.8,3.5,5.7,1.4,0.1,2.1,3.1,14.9
1999,24.0,DAL,NBA,PG,40.0,40.0,1269.0,3.2,8.9,0.363,1.4,3.7,0.374,1.8,5.2,0.355,1.1,1.3,0.826,0.9,2.3,3.2,6.2,1.0,0.1,2.4,2.8,8.9
2001,26.0,DAL,NBA,PG,70.0,70.0,2387.0,5.8,11.9,0.487,1.3,3.3,0.406,4.5,8.6,0.518,3.5,3.9,0.895,0.7,2.7,3.4,7.7,1.1,0.1,3.1,2.4,16.5
2002,27.0,DAL,NBA,PG,82.0,82.0,2837.0,6.7,13.8,0.483,2.0,4.4,0.455,4.7,9.5,0.495,3.3,3.7,0.887,0.6,2.6,3.2,8.0,0.7,0.1,2.9,2.1,18.6
2003,28.0,DAL,NBA,PG,82.0,82.0,2711.0,6.9,14.8,0.465,1.5,3.6,0.413,5.4,11.2,0.482,4.1,4.5,0.909,0.8,2.3,3.1,7.9,1.1,0.1,2.5,1.8,19.3
2004,29.0,DAL,NBA,PG,78.0,78.0,2612.0,5.5,11.6,0.47,1.4,3.5,0.405,4.0,8.1,0.498,3.2,3.5,0.916,0.8,2.4,3.2,9.5,0.9,0.1,2.9,1.9,15.5
2005,30.0,PHO,NBA,PG,75.0,75.0,2573.0,6.0,12.0,0.502,1.3,3.1,0.431,4.7,8.9,0.526,3.0,3.3,0.887,0.8,2.7,3.5,12.0,1.0,0.1,3.4,1.9,16.3
2006,31.0,PHO,NBA,PG,79.0,79.0,2796.0,7.0,13.6,0.512,1.9,4.4,0.439,5.0,9.2,0.548,3.3,3.6,0.921,0.6,3.7,4.3,10.6,0.8,0.2,3.6,1.5,19.2
2007,32.0,PHO,NBA,PG,76.0,76.0,2682.0,6.9,13.0,0.532,2.1,4.6,0.455,4.8,8.4,0.575,3.0,3.3,0.899,0.4,3.2,3.6,11.9,0.8,0.1,3.9,1.6,19.0
2008,33.0,PHO,NBA,PG,81.0,81.0,2780.0,6.3,12.5,0.504,2.3,4.9,0.47,4.0,7.5,0.527,2.9,3.2,0.906,0.4,3.3,3.7,11.6,0.7,0.1,3.8,1.5,17.8
2009,34.0,PHO,NBA,PG,74.0,74.0,2484.0,6.2,12.3,0.503,1.6,3.6,0.439,4.6,8.8,0.529,2.8,3.0,0.933,0.3,3.0,3.2,10.4,0.8,0.1,3.6,1.6,16.8
2010,35.0,PHO,NBA,PG,81.0,81.0,2660.0,6.8,13.3,0.507,1.7,3.9,0.426,5.1,9.4,0.54,2.9,3.0,0.938,0.5,3.2,3.6,12.1,0.6,0.2,4.0,1.5,18.0
2011,36.0,PHO,NBA,PG,75.0,75.0,2497.0,5.8,11.7,0.492,1.2,3.0,0.395,4.6,8.7,0.525,3.3,3.6,0.912,0.6,3.2,3.7,12.3,0.7,0.1,3.8,1.3,15.9
2012,37.0,PHO,NBA,PG,62.0,62.0,1961.0,5.4,10.2,0.532,1.0,2.6,0.39,4.4,7.6,0.58,2.3,2.6,0.894,0.5,2.9,3.4,12.2,0.7,0.1,4.2,1.0,14.2
2013,38.0,LAL,NBA,PG,50.0,50.0,1627.0,5.2,10.5,0.497,1.3,2.9,0.438,4.0,7.6,0.519,2.4,2.6,0.922,0.6,2.6,3.1,7.4,0.7,0.1,2.8,1.5,14.1
2014,39.0,LAL,NBA,PG,15.0,10.0,313.0,4.1,10.8,0.383,0.9,2.8,0.333,3.2,8.1,0.4,2.5,2.8,0.917,0.5,2.9,3.3,9.9,0.8,0.2,3.6,2.1,11.7
