Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992,22.0,GSW,NBA,PF,80.0,77.0,2510.0,6.7,12.8,0.525,0.0,0.1,0.111,6.7,12.7,0.529,2.9,4.5,0.654,3.5,5.7,9.2,2.7,1.3,0.9,2.6,4.0,16.4
1993,23.0,GSW,NBA,PF,37.0,37.0,1201.0,7.4,14.8,0.501,0.0,0.3,0.091,7.4,14.4,0.51,3.5,5.5,0.639,3.2,4.7,7.9,4.3,1.0,0.8,3.2,3.1,18.3
1994,24.0,GSW,NBA,PF,79.0,72.0,2738.0,6.5,12.8,0.507,0.0,0.2,0.2,6.4,12.6,0.512,2.6,4.3,0.61,3.0,5.4,8.4,4.3,1.1,0.8,2.8,3.5,15.6
1995,25.0,MIA,NBA,SG,70.0,60.0,2296.0,6.3,12.9,0.491,0.0,0.3,0.091,6.3,12.5,0.503,3.0,4.9,0.62,3.2,4.7,7.9,3.9,1.3,0.5,3.2,3.2,15.7
1996,26.0,TOT,NBA,SF,62.0,51.0,1982.0,5.9,12.2,0.48,0.1,0.3,0.278,5.8,11.9,0.485,2.9,4.5,0.636,2.6,4.9,7.5,3.7,0.9,0.7,3.0,3.5,14.7
1996,26.0,MIA,NBA,SF,40.0,40.0,1388.0,6.2,12.3,0.505,0.0,0.2,0.0,6.2,12.1,0.512,2.9,4.6,0.633,2.4,5.0,7.4,3.5,0.8,0.6,2.9,3.4,15.3
1996,26.0,SAC,NBA,SF,22.0,11.0,594.0,5.1,12.1,0.42,0.3,0.7,0.417,4.8,11.4,0.42,2.7,4.2,0.643,3.0,4.6,7.6,4.2,1.2,1.0,3.1,3.6,13.2
1997,27.0,SAC,NBA,SF,66.0,56.0,1995.0,5.4,11.5,0.467,0.5,1.3,0.347,4.9,10.2,0.482,1.8,2.6,0.697,2.4,4.7,7.1,3.4,1.1,0.5,2.4,3.4,13.1
1998,28.0,SAC,NBA,SF,78.0,78.0,2348.0,5.2,11.2,0.464,0.4,1.1,0.371,4.8,10.1,0.474,1.8,3.0,0.589,2.6,6.3,8.9,3.4,1.4,0.6,2.3,3.5,12.5
1999,29.0,SEA,NBA,SF,21.0,19.0,451.0,5.2,13.2,0.394,0.4,0.9,0.455,4.8,12.3,0.39,2.2,2.8,0.8,2.8,3.6,6.4,3.0,1.0,0.3,2.6,3.0,13.0
2001,31.0,DET,NBA,PF,45.0,14.0,793.0,4.0,10.4,0.383,0.1,0.9,0.15,3.9,9.5,0.405,0.9,1.8,0.475,3.8,5.5,9.3,2.5,1.5,0.5,1.8,4.2,9.0
