PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kelly Tripucka,26,4,4,175,6.8,14.6,0.465,0.0,0.0,,6.8,14.6,0.465,4.3,4.7,0.9129999999999999,2.1,2.7,4.7,1.9,0.6,0.4,3.3,2.9,17.9
Bill Laimbeer,28,4,4,168,7.3,14.6,0.5,0.2,0.2,1.0,7.1,14.4,0.493,4.5,4.9,0.9129999999999999,4.3,7.7,12.0,0.2,0.4,0.6,1.7,4.1,19.3
Isiah Thomas,24,4,4,163,9.1,20.1,0.451,0.0,1.1,0.0,9.1,19.0,0.47700000000000004,5.3,8.0,0.667,1.8,3.1,4.9,10.6,2.0,0.7,3.8,3.8,23.4
Joe Dumars,22,4,4,147,6.1,10.0,0.61,0.0,0.0,,6.1,10.0,0.61,2.4,3.7,0.667,1.5,1.7,3.2,6.1,1.0,0.0,1.7,3.9,14.7
Earl Cureton,28,4,4,126,4.9,8.9,0.5479999999999999,0.0,0.3,0.0,4.9,8.6,0.5670000000000001,0.6,2.3,0.25,3.4,5.1,8.6,2.6,0.9,0.0,1.4,4.0,10.3
Vinnie Johnson,29,4,0,85,9.3,20.8,0.449,0.0,0.4,0.0,9.3,20.3,0.45799999999999996,3.0,5.5,0.5379999999999999,3.4,3.8,7.2,4.7,1.3,0.0,2.1,3.8,21.6
Rick Mahorn,27,4,0,61,3.0,7.7,0.385,0.0,0.0,,3.0,7.7,0.385,1.2,1.2,1.0,1.8,5.3,7.1,0.0,0.6,0.0,1.8,8.3,7.1
Kent Benson,31,4,0,55,2.6,6.5,0.4,0.0,0.0,,2.6,6.5,0.4,0.0,0.0,,2.0,6.5,8.5,0.0,0.0,1.3,0.7,7.2,5.2
Tony Campbell,23,2,0,16,9.0,22.5,0.4,0.0,0.0,,9.0,22.5,0.4,2.3,4.5,0.5,0.0,4.5,4.5,0.0,0.0,0.0,2.3,11.3,20.3
John Long,29,1,0,13,5.5,13.8,0.4,0.0,0.0,,5.5,13.8,0.4,8.3,8.3,1.0,0.0,2.8,2.8,0.0,2.8,0.0,5.5,2.8,19.4
Chuck Nevitt,26,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
