PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bill Cartwright,22,82,,3150,7.6,13.9,0.547,0.0,0.0,,7.6,13.9,0.547,5.2,6.5,0.797,2.2,6.1,8.3,1.9,0.5,1.2,2.5,3.2,20.4
Micheal Ray Richardson,24,82,,3060,5.9,12.5,0.47200000000000003,0.3,1.3,0.245,5.6,11.2,0.498,2.6,4.0,0.66,1.8,4.6,6.3,9.8,3.1,0.4,4.2,3.1,14.8
Toby Knight,24,81,,2945,8.2,15.5,0.529,0.0,0.0,0.0,8.2,15.4,0.53,2.6,3.2,0.8079999999999999,2.5,3.6,6.0,1.8,1.4,1.1,2.0,3.7,18.9
Ray Williams,25,82,,2582,9.6,19.3,0.496,0.1,0.5,0.18899999999999997,9.5,18.8,0.505,4.6,5.9,0.787,2.1,3.7,5.7,7.1,2.3,0.3,3.6,4.1,23.9
Larry Demic,22,82,,1872,4.4,10.2,0.436,0.0,0.0,,4.4,10.2,0.436,2.1,3.5,0.601,3.7,5.5,9.3,1.2,1.1,0.6,3.2,5.9,11.0
Joe Meriweather,26,65,,1565,5.8,11.0,0.528,0.0,0.0,0.0,5.8,10.9,0.529,1.8,2.8,0.645,2.8,5.2,8.1,1.5,0.9,2.8,2.6,5.5,13.4
Hollis Copeland,24,75,,1142,5.7,11.6,0.495,0.0,0.1,0.0,5.7,11.5,0.49700000000000005,2.0,2.7,0.733,2.2,2.7,4.9,2.5,1.9,0.8,2.6,4.9,13.5
Geoff Huston,22,71,,923,3.7,9.4,0.39,0.1,0.7,0.17600000000000002,3.5,8.7,0.406,1.1,1.5,0.737,0.5,1.7,2.3,6.2,1.5,0.2,2.8,3.2,8.5
Mike Glenn,24,75,,800,8.5,16.4,0.516,0.1,0.5,0.2,8.4,15.9,0.525,2.8,3.3,0.863,0.9,2.0,3.0,3.8,1.6,0.3,1.7,3.6,19.8
Earl Monroe,35,51,,633,9.2,20.0,0.457,0.0,0.0,,9.2,20.0,0.457,3.2,3.6,0.875,0.9,1.1,2.0,3.8,1.2,0.2,1.6,2.6,21.5
Sly Williams,22,57,,556,6.7,17.3,0.39,0.0,0.3,0.0,6.7,17.0,0.395,3.8,5.8,0.644,4.2,3.6,7.8,2.3,1.2,0.5,3.2,4.7,17.2
Marvin Webster,27,20,,298,4.6,9.5,0.48100000000000004,0.0,0.0,,4.6,9.5,0.48100000000000004,1.4,1.9,0.75,3.4,6.3,9.7,1.1,0.4,1.3,2.4,4.7,10.6
Jim Cleamons,30,22,,254,4.3,9.8,0.435,0.4,1.1,0.375,3.8,8.6,0.44299999999999995,1.7,2.1,0.8,1.4,1.3,2.7,5.7,1.8,0.3,2.4,1.8,10.6
