Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2006,23.0,HOU,NBA,SG,80.0,27.0,2310.0,6.0,14.9,0.403,2.7,7.4,0.361,3.3,7.5,0.445,2.0,2.9,0.699,0.8,5.5,6.3,5.1,2.1,0.2,2.8,4.0,16.7,,100.0,104.0
2007,24.0,HOU,NBA,SG,80.0,10.0,2211.0,7.3,16.8,0.437,4.2,9.6,0.441,3.1,7.2,0.431,2.0,2.5,0.79,0.7,5.3,6.0,4.6,1.8,0.1,3.3,3.2,20.9,,107.0,102.0
2008,25.0,HOU,NBA,SG,73.0,17.0,1379.0,7.9,18.4,0.432,3.0,8.7,0.351,4.9,9.7,0.504,2.5,3.1,0.815,0.7,4.5,5.2,5.3,1.7,0.3,2.7,2.9,21.5,,108.0,104.0
2009,26.0,TOT,NBA,"PG,SG",32.0,4.0,498.0,5.9,15.4,0.382,2.1,5.8,0.37,3.7,9.6,0.389,2.0,2.6,0.792,0.6,4.9,5.6,6.2,1.8,0.2,2.7,4.0,15.9,,100.0,107.0
2009,26.0,HOU,NBA,PG,22.0,4.0,322.0,6.4,16.7,0.386,2.3,6.3,0.368,4.1,10.4,0.397,2.3,2.6,0.875,0.5,4.0,4.5,5.8,1.0,0.2,2.6,2.5,17.5,,101.0,108.0
2009,26.0,MIA,NBA,SG,10.0,0.0,176.0,4.9,13.0,0.372,1.8,4.9,0.375,3.0,8.2,0.37,1.5,2.4,0.625,0.9,6.7,7.6,7.0,3.3,0.3,2.7,6.7,13.0,,97.0,105.0
2010,27.0,IND,NBA,SG,47.0,10.0,813.0,8.3,18.9,0.437,2.3,6.4,0.352,6.0,12.5,0.481,2.9,3.5,0.828,0.4,4.5,4.9,4.4,1.1,0.5,3.3,3.2,21.7,,98.0,110.0
2011,28.0,SAC,NBA,PG,36.0,14.0,586.0,5.9,14.1,0.415,2.2,5.5,0.391,3.7,8.6,0.43,3.4,4.3,0.78,1.4,3.8,5.2,6.0,0.9,0.8,2.8,3.7,17.2,,110.0,112.0
