Season,Team ID,Team ABV,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020,4,CHO,Charlotte Hornets,65,15750,2708,5690,0.48,803,2279,0.35,1905,3411,0.56,907,1197,0.76,711,2276,2987,1732,523,328,935,1337,7126
2020,5,CHI,Chicago Bulls,65,15675,2568,5364,0.48,726,2057,0.35,1842,3307,0.56,1283,1691,0.76,660,2299,2959,1653,530,384,1187,1246,7145
2020,9,DET,Detroit Pistons,66,15965,2768,5764,0.48,705,1952,0.36,2063,3812,0.54,1072,1379,0.78,668,2204,2872,1625,543,369,923,1308,7313
2020,20,NYK,New York Knicks,66,15965,2631,5678,0.46,877,2303,0.38,1754,3375,0.52,1270,1696,0.75,632,2284,2916,1605,474,333,907,1305,7409
2020,6,CLE,Cleveland Cavaliers,65,15725,2851,5811,0.49,804,2143,0.38,2047,3668,0.56,955,1245,0.77,633,2154,2787,1699,613,412,844,1277,7461
2020,10,GSW,Golden State Warriors,65,15725,2743,5760,0.48,879,2261,0.39,1864,3499,0.53,1113,1422,0.78,661,2359,3020,1698,536,321,1016,1308,7478
2020,18,MIN,Minnesota Timberwolves,64,15560,2760,5786,0.48,740,2040,0.36,2020,3746,0.54,1263,1613,0.78,647,2383,3030,1560,499,355,992,1383,7523
2020,14,LAL,Los Angeles Lakers,71,17090,2773,6187,0.45,827,2373,0.35,1946,3814,0.51,1270,1626,0.78,668,2333,3001,1662,585,263,1130,1544,7643
2020,28,TOR,Toronto Raptors,72,17380,2721,6359,0.43,943,2798,0.34,1778,3561,0.5,1284,1670,0.77,786,2530,3316,1841,520,395,1212,1466,7669
2020,2,BOS,Boston Celtics,72,17430,2764,6268,0.44,851,2504,0.34,1913,3764,0.51,1350,1761,0.77,743,2449,3192,1613,514,396,1097,1487,7729
2020,21,OKC,Oklahoma City Thunder,72,17430,2937,6454,0.46,814,2395,0.34,2123,4059,0.52,1119,1408,0.8,754,2472,3226,1656,505,290,1024,1641,7807
2020,29,UTA,Utah Jazz,72,17355,2930,6417,0.46,790,2235,0.35,2140,4182,0.51,1185,1545,0.77,688,2386,3074,1548,566,329,889,1501,7835
2020,12,IND,Indiana Pacers,73,17620,2883,6459,0.45,837,2455,0.34,2046,4004,0.51,1243,1577,0.79,757,2545,3302,1686,504,335,1071,1373,7846
2020,22,ORL,Orlando Magic,73,17570,2949,6343,0.46,893,2453,0.36,2056,3890,0.53,1114,1445,0.77,660,2616,3276,1804,511,338,1065,1420,7905
2020,23,PHI,Philadelphia 76Ers,73,17595,2905,6275,0.46,759,2148,0.35,2146,4127,0.52,1341,1786,0.75,628,2426,3054,1661,510,294,1009,1493,7910
2020,13,LAC,Los Angeles Clippers,72,17380,2846,6494,0.44,886,2566,0.34,1960,3928,0.5,1335,1766,0.76,771,2491,3262,1709,540,338,1013,1647,7913
2020,17,MIL,Milwaukee Bucks,73,17595,2843,6862,0.41,1020,2871,0.36,1823,3991,0.46,1221,1551,0.79,693,2651,3344,1764,538,326,1030,1586,7927
2020,16,MIA,Miami Heat,73,17745,2831,6326,0.45,956,2753,0.35,1875,3573,0.52,1346,1720,0.78,674,2431,3105,1794,545,302,1022,1584,7964
2020,8,DEN,Denver Nuggets,73,17745,2919,6311,0.46,885,2473,0.36,2034,3838,0.53,1247,1643,0.76,736,2377,3113,1852,525,324,1041,1494,7970
2020,1,ATL,Atlanta Hawks,67,16280,2903,6078,0.48,797,2194,0.36,2106,3884,0.54,1419,1839,0.77,748,2402,3150,1674,600,428,1006,1404,8022
2020,26,SAC,Sacramento Kings,72,17455,2898,6158,0.47,894,2506,0.36,2004,3652,0.55,1384,1752,0.79,654,2481,3135,1791,557,304,1094,1404,8074
2020,3,BRK,Brooklyn Nets,72,17480,2981,6688,0.45,877,2505,0.35,2104,4183,0.5,1250,1625,0.77,766,2541,3307,1630,554,379,919,1521,8089
2020,27,SAS,San Antonio Spurs,71,17215,3004,6402,0.47,931,2493,0.37,2073,3909,0.53,1238,1594,0.78,665,2551,3216,1825,486,308,937,1424,8177
2020,11,HOU,Houston Rockets,72,17380,3045,6589,0.46,880,2522,0.35,2165,4067,0.53,1299,1706,0.76,803,2645,3448,1819,578,354,1163,1515,8269
2020,24,PHO,Phoenix Suns,73,17595,3011,6378,0.47,848,2335,0.36,2163,4043,0.54,1408,1787,0.79,664,2497,3161,1723,576,401,1139,1653,8278
2020,15,MEM,Memphis Grizzlies,73,17570,2964,6592,0.45,942,2580,0.36,2022,4012,0.5,1430,1828,0.78,756,2519,3275,1814,585,386,1080,1474,8300
2020,7,DAL,Dallas Mavericks,75,18175,3143,6868,0.46,919,2615,0.35,2224,4253,0.52,1200,1578,0.76,782,2625,3407,1794,525,311,896,1601,8405
2020,19,NOP,New Orleans Pelicans,72,17430,3077,6611,0.46,880,2438,0.36,2197,4173,0.53,1400,1775,0.79,727,2501,3228,1763,615,348,1045,1519,8434
2020,30,WAS,Washington Wizards,72,17355,3104,6363,0.49,896,2386,0.38,2208,3977,0.56,1470,1890,0.78,753,2572,3325,1814,541,363,1163,1601,8574
2020,25,POR,Portland Trail Blazers,74,17835,3090,6781,0.46,1003,2619,0.38,2087,4162,0.5,1410,1828,0.77,852,2617,3469,1840,502,364,953,1488,8593
