Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008,22.0,CHA,NBA,PF,73.0,14.0,19.0,2.2,4.8,0.468,0.1,0.6,0.22,2.1,4.2,0.502,0.481,1.2,1.6,0.737,1.7,2.3,3.9,1.1,0.8,0.1,0.7,1.8,5.8
2009,23.0,TOT,NBA,SF,68.0,7.0,17.0,2.0,4.2,0.477,0.4,1.1,0.392,1.6,3.1,0.507,0.528,1.0,1.5,0.676,1.2,1.8,3.0,0.8,0.8,0.1,0.6,1.5,5.5
2009,23.0,CHA,NBA,SF,20.0,7.0,21.4,2.3,4.8,0.469,0.2,0.4,0.375,2.1,4.4,0.477,0.484,0.8,1.2,0.625,1.3,1.7,3.0,1.0,0.9,0.1,0.5,2.0,5.4
2009,23.0,PHO,NBA,SF,48.0,0.0,15.2,1.9,3.9,0.481,0.5,1.4,0.394,1.4,2.6,0.528,0.55,1.2,1.7,0.691,1.2,1.9,3.0,0.8,0.8,0.1,0.7,1.4,5.5
2010,24.0,PHO,NBA,SF,82.0,1.0,24.3,2.7,6.0,0.459,1.5,3.2,0.458,1.3,2.8,0.461,0.582,1.3,1.7,0.754,1.2,2.2,3.4,1.4,1.0,0.2,0.8,2.0,8.2
2011,25.0,PHO,NBA,SF,82.0,15.0,26.1,3.7,7.7,0.477,1.3,3.1,0.415,2.4,4.6,0.519,0.56,2.0,2.7,0.743,1.4,2.5,3.9,1.3,1.1,0.2,0.9,1.7,10.6
2012,26.0,PHO,NBA,SG,65.0,60.0,31.1,4.8,9.9,0.485,1.2,3.2,0.383,3.6,6.7,0.535,0.547,1.8,2.5,0.726,1.5,3.2,4.6,1.7,0.8,0.3,1.1,1.6,12.7
2013,27.0,PHO,NBA,SF,79.0,50.0,27.5,4.0,8.5,0.468,1.3,3.4,0.391,2.6,5.0,0.52,0.547,1.6,2.1,0.796,1.0,2.1,3.1,2.6,0.9,0.1,1.3,1.6,10.9
2014,28.0,LAC,NBA,SF,74.0,43.0,23.4,2.6,6.0,0.438,1.1,3.0,0.36,1.6,3.0,0.518,0.529,0.5,0.8,0.655,0.5,1.7,2.2,1.4,0.6,0.1,0.8,2.0,6.9
2015,29.0,MIL,NBA,SG,72.0,22.0,23.8,2.8,5.9,0.468,1.0,2.7,0.385,1.7,3.2,0.537,0.556,0.7,0.9,0.716,0.6,2.4,3.1,1.8,1.0,0.2,0.9,1.6,7.2
2016,30.0,WAS,NBA,PF,81.0,41.0,25.9,2.9,6.0,0.478,1.2,2.9,0.42,1.6,3.1,0.534,0.581,0.9,1.2,0.735,0.7,2.9,3.5,2.1,0.9,0.2,1.0,2.3,7.9
2017,31.0,PHO,NBA,PF,64.0,7.0,21.3,2.5,5.4,0.454,1.2,3.2,0.379,1.3,2.2,0.559,0.565,0.7,1.0,0.662,0.5,3.0,3.5,1.9,0.7,0.3,1.1,2.4,6.8
2018,32.0,PHO,NBA,PF,48.0,0.0,14.3,1.0,2.5,0.393,0.6,1.7,0.363,0.4,0.9,0.452,0.512,0.6,0.7,0.771,0.2,1.8,2.0,1.6,0.5,0.2,0.6,1.8,3.2
2019,33.0,BRK,NBA,PF,59.0,25.0,20.7,1.7,4.1,0.423,0.9,2.6,0.351,0.8,1.5,0.545,0.533,0.5,0.8,0.696,0.6,2.1,2.6,1.4,0.6,0.3,0.7,2.2,4.9
2020,34.0,LAL,NBA,PF,45.0,1.0,8.1,0.5,1.3,0.4,0.4,0.9,0.429,0.1,0.4,0.333,0.55,0.0,0.0,1.0,0.1,1.0,1.2,0.6,0.3,0.1,0.2,0.9,1.5
2021,35.0,LAL,NBA,PF,6.0,0.0,3.7,0.2,0.2,1.0,0.2,0.2,1.0,0.0,0.0,,1.5,0.0,0.0,,0.2,0.8,1.0,0.2,0.0,0.0,0.0,0.0,0.5
