Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2007,20.0,MEM,NBA,PG,10.0,175.0,18.3,0.556,0.211,0.737,8.2,13.0,10.6,27.3,4.1,0.4,19.3,16.1,,0.4,0.2,0.5,0.148,,1.1,3.5,4.7,0.3
2008,21.0,MEM,NBA,PG,82.0,2089.0,14.3,0.531,0.236,0.588,2.2,11.3,6.7,21.8,2.2,0.8,14.6,18.6,,2.1,1.3,3.4,0.078,,-1.2,0.3,-0.9,0.6
2009,22.0,TOT,NBA,PG,77.0,1679.0,14.4,0.547,0.226,0.521,1.9,11.6,6.8,26.4,2.2,0.8,18.0,18.1,,1.8,1.8,3.6,0.103,,-0.7,0.8,0.2,0.9
2009,22.0,MEM,NBA,PG,49.0,1071.0,14.1,0.54,0.254,0.592,1.5,11.4,6.4,26.9,2.4,0.6,18.7,18.4,,0.9,0.9,1.8,0.081,,-0.9,0.2,-0.7,0.3
2009,22.0,HOU,NBA,PG,28.0,608.0,15.0,0.561,0.179,0.401,2.6,12.0,7.5,25.7,1.8,1.1,16.6,17.5,,0.9,0.9,1.8,0.143,,-0.3,2.1,1.7,0.6
2010,23.0,HOU,NBA,PG,68.0,1651.0,15.5,0.536,0.293,0.56,6.1,11.2,8.6,27.7,1.9,0.4,16.7,18.6,,2.9,1.4,4.3,0.126,,0.4,0.4,0.8,1.2
2011,24.0,HOU,NBA,PG,75.0,2563.0,16.5,0.55,0.424,0.31,3.9,9.7,6.8,29.4,2.0,0.6,14.7,18.6,,5.1,1.8,7.0,0.13,,2.0,0.0,2.0,2.6
2012,25.0,HOU,NBA,PG,47.0,1510.0,18.8,0.558,0.411,0.386,2.8,13.7,8.2,32.3,2.5,0.7,17.8,22.0,,3.3,1.6,4.9,0.156,,2.8,1.2,4.1,2.3
2013,26.0,TOR,NBA,PG,68.0,2020.0,17.5,0.543,0.448,0.384,3.2,15.9,9.5,34.6,2.5,1.0,17.7,20.3,,3.5,2.1,5.6,0.133,,2.0,0.9,2.9,2.5
2014,27.0,TOR,NBA,PG,79.0,2862.0,20.1,0.567,0.463,0.356,3.6,11.5,7.5,34.7,2.2,0.4,13.4,22.9,,8.4,3.3,11.7,0.197,,4.1,0.6,4.7,4.8
2015,28.0,TOR,NBA,PG,70.0,2414.0,19.3,0.527,0.375,0.299,2.6,13.1,7.8,32.4,2.3,0.4,12.8,25.4,,5.1,2.0,7.1,0.141,,3.2,-0.1,3.0,3.1
2016,29.0,TOR,NBA,PG,77.0,2851.0,22.2,0.578,0.457,0.41,2.2,12.3,7.3,29.9,2.9,1.0,13.7,26.1,,8.0,3.7,11.6,0.196,,4.7,1.1,5.8,5.7
2017,30.0,TOR,NBA,PG,60.0,2244.0,22.9,0.623,0.51,0.398,2.4,12.0,7.2,29.9,2.0,0.7,13.8,24.9,,7.8,2.3,10.1,0.216,,5.8,0.4,6.1,4.6
2018,31.0,TOR,NBA,PG,78.0,2510.0,19.5,0.598,0.631,0.276,3.0,16.1,9.7,30.9,1.7,0.6,14.7,21.7,,7.0,3.1,10.2,0.194,,4.7,0.5,5.2,4.5
2019,32.0,TOR,NBA,PG,65.0,2213.0,16.5,0.562,0.613,0.263,2.1,12.9,7.6,34.8,2.0,1.2,18.1,19.6,,3.6,3.0,6.6,0.144,,1.7,0.6,2.3,2.4
2020,33.0,TOR,NBA,PG,58.0,2098.0,17.7,0.59,0.58,0.427,1.6,12.8,7.3,30.6,1.9,1.2,15.7,23.1,,4.2,3.3,7.5,0.171,,2.2,1.0,3.2,2.8
2021,34.0,TOR,NBA,PG,9.0,328.0,15.4,0.571,0.585,0.346,2.5,15.4,8.8,27.8,1.4,0.0,15.7,23.0,,0.5,0.2,0.7,0.107,,0.6,-1.3,-0.7,0.1
