PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Charles Barkley,25,3,3,135,10.8,16.8,0.644,0.4,1.9,0.2,10.5,14.9,0.7,8.2,11.6,0.71,3.0,10.1,13.1,6.0,1.9,0.7,4.1,3.4,30.2,,123,106
Maurice Cheeks,32,3,3,128,8.3,16.1,0.512,0.0,0.4,0.0,8.3,15.8,0.525,4.3,5.1,0.846,1.2,3.2,4.3,15.4,2.8,0.4,1.2,1.6,20.9,,130,110
Mike Gminski,29,3,3,118,8.1,20.5,0.396,0.0,0.0,,8.1,20.5,0.396,4.7,6.8,0.688,2.6,7.3,9.8,0.9,0.0,3.4,0.9,3.4,20.9,,96,110
Ron Anderson,30,3,0,109,13.4,23.6,0.569,0.0,0.5,0.0,13.4,23.1,0.58,1.8,2.3,0.8,3.2,4.2,7.4,6.0,0.5,0.9,0.9,4.6,28.7,,122,113
Hersey Hawkins,22,3,3,72,2.1,16.8,0.125,0.0,3.5,0.0,2.1,13.3,0.158,1.4,1.4,1.0,0.7,2.8,3.5,2.8,2.1,0.7,2.1,4.2,5.6,,42,111
Gerald Henderson,33,3,0,69,7.3,18.3,0.4,1.5,5.1,0.28600000000000003,5.8,13.1,0.444,1.5,4.4,0.33299999999999996,2.2,2.9,5.1,3.7,1.5,0.0,3.7,7.3,17.5,,83,113
Derek Smith,27,3,3,48,9.5,14.7,0.643,0.0,0.0,,9.5,14.7,0.643,1.1,2.1,0.5,2.1,5.3,7.4,3.2,1.1,0.0,6.3,9.5,20.0,,90,112
Ben Coleman,27,3,0,23,13.1,17.5,0.75,0.0,0.0,,13.1,17.5,0.75,4.4,4.4,1.0,4.4,6.6,11.0,0.0,2.2,0.0,2.2,17.5,30.7,,139,108
Chris Welp,25,3,0,22,2.3,6.9,0.33299999999999996,0.0,0.0,,2.3,6.9,0.33299999999999996,0.0,4.6,0.0,0.0,16.0,16.0,0.0,0.0,0.0,2.3,16.0,4.6,,40,105
Scott Brooks,23,3,0,21,2.4,14.4,0.16699999999999998,2.4,4.8,0.5,0.0,9.6,0.0,4.8,4.8,1.0,0.0,9.6,9.6,12.0,0.0,0.0,2.4,9.6,12.0,,91,111
