PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
LeBron James,29,20,20,763,14.0,24.8,0.565,2.6,6.3,0.40700000000000003,11.5,18.5,0.618,9.4,11.7,0.8059999999999999,1.0,9.3,10.3,6.9,2.6,0.8,4.5,3.4,40.0,,124,107
Dwyane Wade,32,20,20,693,11.2,22.3,0.5,0.7,1.9,0.375,10.4,20.4,0.512,5.5,7.2,0.767,1.3,4.9,6.2,6.2,2.4,0.4,4.3,4.4,28.6,,106,111
Chris Bosh,29,20,20,686,9.4,18.6,0.507,2.4,6.0,0.405,7.0,12.6,0.555,2.9,3.9,0.75,1.9,7.1,9.1,1.7,1.4,1.6,1.1,4.1,24.2,,119,110
Mario Chalmers,27,20,19,535,4.9,11.6,0.423,1.6,4.5,0.349,3.3,7.1,0.47100000000000003,2.0,2.6,0.76,0.2,4.6,4.8,7.5,2.0,0.6,3.1,5.0,13.3,,103,112
Ray Allen,38,20,1,527,6.2,15.1,0.413,3.5,9.0,0.38799999999999996,2.7,6.1,0.44799999999999995,3.6,3.9,0.919,1.4,5.7,7.1,3.4,1.5,0.4,2.5,4.3,19.5,,110,112
Norris Cole,25,20,0,404,4.4,10.7,0.41,2.1,5.5,0.375,2.3,5.2,0.447,1.8,2.1,0.867,0.1,2.9,3.0,5.0,1.2,0.1,2.6,4.7,12.7,,102,115
Rashard Lewis,34,18,8,319,6.1,14.8,0.41200000000000003,3.8,10.3,0.373,2.3,4.5,0.5,0.5,0.7,0.75,0.7,5.8,6.5,0.9,1.2,1.0,0.9,5.1,16.6,,106,112
Chris Andersen,35,18,0,317,5.8,10.0,0.579,0.0,0.2,0.0,5.8,9.8,0.589,4.6,6.7,0.684,4.6,14.2,18.8,0.9,0.9,3.2,1.6,6.0,16.2,,127,105
Shane Battier,35,16,6,202,3.3,7.2,0.462,2.5,5.5,0.45,0.8,1.7,0.5,1.1,1.4,0.8,0.3,2.5,2.8,1.4,1.4,0.3,1.4,6.3,10.2,,114,115
Udonis Haslem,33,16,6,169,5.6,12.2,0.45899999999999996,0.0,0.0,,5.6,12.2,0.45899999999999996,2.0,3.3,0.6,4.0,9.6,13.5,1.3,0.3,1.0,0.3,9.2,13.2,,113,112
James Jones,33,15,0,126,8.0,17.7,0.45,6.6,14.1,0.469,1.3,3.5,0.375,0.9,1.3,0.667,1.3,3.5,4.9,2.2,1.3,0.9,0.0,7.5,23.4,,132,113
Toney Douglas,27,10,0,29,5.8,17.3,0.33299999999999996,5.8,11.5,0.5,0.0,5.8,0.0,1.9,3.8,0.5,1.9,5.8,7.7,9.6,0.0,0.0,1.9,5.8,19.2,,115,116
Michael Beasley,25,4,0,23,12.1,24.2,0.5,0.0,0.0,,12.1,24.2,0.5,2.4,7.3,0.33299999999999996,4.8,4.8,9.7,4.8,0.0,0.0,2.4,7.3,26.6,,103,116
Greg Oden,26,3,0,7,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,8.0,8.0,8.0,8.0,0.0,0.0,15.9,0.0,,226,96
