NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
19,Leandro Barbosa,SG,6-3,194,1982-11-28,BR,13,
35,Dragan Bender,PF,7-0,225,1997-11-17,BA,R,
2,Eric Bledsoe,PG,6-1,214,1989-12-09,US,6,Kentucky
1,Devin Booker,SG,6-5,206,1996-10-30,US,1,Kentucky
4,Tyson Chandler,C,7-0,235,1982-10-02,US,15,
0,Marquese Chriss,PF,6-9,240,1997-07-02,US,R,Washington
3,Jared Dudley,PF,6-6,237,1985-07-10,US,9,Boston College
31,Jarell Eddie,SF,6-7,218,1991-10-30,US,1,Virginia Tech
23,John Jenkins,SG,6-4,215,1991-03-06,US,4,Vanderbilt
10,Derrick Jones,SF,6-6,210,1997-02-15,US,R,UNLV
11,Brandon Knight,SG,6-2,182,1991-12-02,US,5,Kentucky
21,Alex Len,C,7-0,250,1993-06-16,UA,3,Maryland
22,Elijah Millsap,SG,6-6,225,1987-08-12,US,2,"Louisiana, UAB"
14,Ronnie Price,PG,6-2,190,1983-06-21,US,11,"Nicholls State, Utah Valley"
17,P.J. Tucker,SF,6-5,245,1985-05-05,US,5,Texas
8,Tyler Ulis,PG,5-10,160,1996-01-05,US,R,Kentucky
12,T.J. Warren,SF,6-8,220,1993-09-05,US,2,NC State
15,Alan Williams,C,6-8,265,1993-01-28,US,1,UC Santa Barbara
