PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Stephon Marbury,23.0,67,67.0,2557,563,1277,0.441,110,335,0.32799999999999996,453,942,0.48100000000000004,0.484,362,458,0.79,53,152,205,506,79,5,197,150,1598
Aaron Williams,29.0,82,25.0,2336,297,650,0.457,0,2,0.0,297,648,0.45799999999999996,0.457,244,310,0.787,211,379,590,88,59,113,132,319,838
Kenyon Martin,23.0,68,68.0,2272,346,777,0.445,1,11,0.091,345,766,0.45,0.446,121,192,0.63,137,365,502,131,78,113,138,281,814
Lucious Harris,30.0,73,50.0,2071,265,624,0.425,46,132,0.348,219,492,0.445,0.462,107,139,0.77,71,217,288,135,74,16,64,127,683
Johnny Newman,37.0,82,17.0,2049,291,695,0.419,59,176,0.335,232,519,0.447,0.461,254,297,0.855,34,142,176,115,63,10,106,229,895
Keith Van Horn,25.0,49,47.0,1733,308,708,0.435,65,170,0.382,243,538,0.452,0.48100000000000004,150,186,0.8059999999999999,78,269,347,82,40,20,103,150,831
Stephen Jackson,22.0,77,40.0,1660,243,572,0.425,52,155,0.335,191,417,0.45799999999999996,0.47,97,135,0.7190000000000001,41,167,208,140,86,14,130,166,635
Evan Eschmeyer,25.0,74,51.0,1331,92,200,0.46,0,0,,92,200,0.46,0.46,67,102,0.657,135,231,366,40,41,58,53,220,251
Sherman Douglas,34.0,59,7.0,1094,122,303,0.40299999999999997,8,40,0.2,114,263,0.433,0.41600000000000004,86,115,0.748,21,53,74,144,36,4,79,93,338
Kendall Gill,32.0,31,26.0,892,107,323,0.331,4,14,0.28600000000000003,103,309,0.33299999999999996,0.337,65,90,0.722,32,99,131,87,47,7,48,64,283
Doug Overton,31.0,12,9.0,316,35,93,0.376,10,32,0.313,25,61,0.41,0.43,3,5,0.6,1,23,24,53,3,0,15,20,83
Vladimir Stepania,24.0,29,0.0,280,28,88,0.318,1,4,0.25,27,84,0.321,0.324,25,34,0.735,35,74,109,16,10,11,19,47,82
Soumaila Samake,22.0,34,0.0,226,18,48,0.375,0,0,,18,48,0.375,0.375,10,24,0.41700000000000004,22,31,53,1,2,14,4,23,46
Mark Strickland,30.0,9,0.0,202,21,54,0.389,1,1,1.0,20,53,0.377,0.39799999999999996,8,11,0.727,11,30,41,7,4,3,10,14,51
Jim McIlvaine,28.0,18,3.0,193,10,28,0.35700000000000004,0,0,,10,28,0.35700000000000004,0.35700000000000004,8,12,0.667,8,27,35,4,7,15,9,35,28
Kevin Ollie,28.0,19,0.0,161,5,27,0.185,0,0,,5,27,0.185,0.185,12,19,0.632,3,20,23,25,5,0,9,14,22
Eddie Gill,22.0,8,0.0,152,16,41,0.39,3,9,0.33299999999999996,13,32,0.406,0.42700000000000005,4,5,0.8,0,9,9,24,4,1,10,9,39
Jamie Feick,26.0,6,0.0,149,8,23,0.348,0,0,,8,23,0.348,0.348,6,12,0.5,12,44,56,5,8,3,7,15,22
Jamel Thomas,27.0,5,0.0,56,6,19,0.316,1,3,0.33299999999999996,5,16,0.313,0.342,0,0,,4,5,9,0,3,0,6,6,13
Team Totals,,82,,19730,2781,6550,0.425,361,1084,0.33299999999999996,2420,5466,0.44299999999999995,0.452,1629,2146,0.759,909,2337,3246,1603,649,407,1208,1982,7552
