Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2012,27,1737,SAS,San Antonio Spurs,Kawhi Leonard,1991-06-29,20.0,NBA,SF,64.0,39.0,1534.0,199.0,404.0,0.49,41.0,109.0,0.38,158.0,295.0,0.54,0.54,68.0,88.0,0.77,104.0,223.0,327.0,70.0,85.0,24.0,44.0,88.0,507.0,0.0
2013,27,1737,SAS,San Antonio Spurs,Kawhi Leonard,1991-06-29,21.0,NBA,SF,58.0,57.0,1810.0,260.0,526.0,0.49,65.0,174.0,0.37,195.0,352.0,0.55,0.56,104.0,126.0,0.82,63.0,283.0,346.0,93.0,97.0,32.0,62.0,99.0,689.0,0.0
2014,27,1737,SAS,San Antonio Spurs,Kawhi Leonard,1991-06-29,22.0,NBA,SF,66.0,65.0,1923.0,337.0,645.0,0.52,69.0,182.0,0.38,268.0,463.0,0.58,0.58,101.0,126.0,0.8,76.0,336.0,412.0,133.0,114.0,50.0,80.0,127.0,844.0,0.0
2015,27,1737,SAS,San Antonio Spurs,Kawhi Leonard,1991-06-29,23.0,NBA,SF,64.0,64.0,2033.0,394.0,822.0,0.48,67.0,192.0,0.35,327.0,630.0,0.52,0.52,202.0,252.0,0.8,85.0,376.0,461.0,161.0,148.0,48.0,97.0,128.0,1057.0,0.0
2016,27,1737,SAS,San Antonio Spurs,Kawhi Leonard,1991-06-29,24.0,NBA,SF,72.0,72.0,2380.0,551.0,1090.0,0.51,129.0,291.0,0.44,422.0,799.0,0.53,0.56,292.0,334.0,0.87,95.0,398.0,493.0,186.0,128.0,71.0,105.0,133.0,1523.0,0.0
2017,27,1737,SAS,San Antonio Spurs,Kawhi Leonard,1991-06-29,25.0,NBA,SF,74.0,74.0,2474.0,636.0,1312.0,0.48,147.0,387.0,0.38,489.0,925.0,0.53,0.54,469.0,533.0,0.88,80.0,350.0,430.0,260.0,133.0,55.0,154.0,122.0,1888.0,0.0
2018,27,1737,SAS,San Antonio Spurs,Kawhi Leonard,1991-06-29,26.0,NBA,SF,9.0,9.0,210.0,52.0,111.0,0.47,11.0,35.0,0.31,41.0,76.0,0.54,0.52,31.0,38.0,0.82,6.0,36.0,42.0,21.0,18.0,9.0,16.0,9.0,146.0,0.0
2019,28,1737,TOR,Toronto Raptors,Kawhi Leonard,1991-06-29,27.0,NBA,SF,60.0,60.0,2040.0,560.0,1129.0,0.5,112.0,302.0,0.37,448.0,827.0,0.54,0.55,364.0,426.0,0.85,78.0,361.0,439.0,199.0,106.0,24.0,121.0,87.0,1596.0,0.0
2020,13,1737,LAC,Los Angeles Clippers,Kawhi Leonard,1991-06-29,28.0,NBA,SF,57.0,57.0,1848.0,532.0,1133.0,0.47,123.0,325.0,0.38,409.0,808.0,0.51,0.52,356.0,402.0,0.89,54.0,348.0,402.0,280.0,103.0,33.0,149.0,113.0,1543.0,1.0
2021,13,1737,LAC,Los Angeles Clippers,Kawhi Leonard,1991-06-29,29.0,NBA,SF,36.0,36.0,1241.0,338.0,660.0,0.51,72.0,183.0,0.39,266.0,477.0,0.56,0.57,186.0,213.0,0.87,34.0,193.0,227.0,175.0,61.0,18.0,68.0,59.0,934.0,0.0
