Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2019,7,757,DAL,Dallas Mavericks,Luka Doncic,"February 28, 1999",19.0,NBA,SG,72,72,2318,506,1186,0.43,168,514,0.33,338,672,0.5,0.5,346,485,0.71,86,477,563,429,77,25,247,137,1526,8
2020,7,757,DAL,Dallas Mavericks,Luka Doncic,"February 28, 1999",20.0,NBA,PG,61,61,2047,581,1255,0.46,171,541,0.32,410,714,0.57,0.53,426,562,0.76,78,495,573,538,62,14,260,153,1759,17
2021,7,757,DAL,Dallas Mavericks,Luka Doncic,"February 28, 1999",21.0,NBA,PG,24,24,841,231,503,0.46,53,171,0.31,178,332,0.54,0.51,152,193,0.79,22,186,208,223,25,15,101,47,667,6
