PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Moses Malone,24,7,,275,9.7,18.1,0.536,0.0,0.1,0.0,9.7,17.9,0.54,4.3,5.6,0.767,5.5,7.2,12.7,0.9,0.5,2.1,2.9,2.4,23.7
Robert Reid,24,7,,266,7.0,13.8,0.51,0.0,0.1,0.0,7.0,13.7,0.515,3.0,3.5,0.846,1.9,5.5,7.4,3.5,0.8,0.9,2.6,3.8,17.1
Calvin Murphy,31,7,,265,7.9,14.7,0.537,0.3,0.5,0.5,7.6,14.1,0.5379999999999999,1.8,1.8,1.0,0.5,0.8,1.4,3.5,1.5,0.0,2.2,3.9,17.8
Tom Henderson,28,7,,203,3.9,8.2,0.478,0.0,0.2,0.0,3.9,8.0,0.489,2.1,2.7,0.8,0.9,2.0,2.8,7.4,1.2,0.7,2.0,3.4,9.9
Rudy Tomjanovich,31,7,,185,4.7,12.5,0.375,0.2,1.4,0.14300000000000002,4.5,11.1,0.40399999999999997,1.8,2.5,0.6920000000000001,2.3,5.4,7.8,1.9,0.4,0.0,2.7,4.1,11.3
Allen Leavell,22,7,,149,2.4,9.2,0.263,0.0,1.0,0.0,2.4,8.2,0.294,4.6,5.1,0.905,0.5,2.4,2.9,5.8,1.4,0.0,1.4,2.9,9.4
Billy Paultz,31,7,,128,3.7,11.3,0.325,0.0,0.0,,3.7,11.3,0.325,1.1,2.0,0.5710000000000001,3.4,5.9,9.3,2.3,0.3,0.8,3.1,3.7,8.4
Rick Barry,35,6,,79,5.5,15.0,0.364,1.4,5.5,0.25,4.1,9.6,0.429,2.7,2.7,1.0,0.0,2.7,2.7,6.8,0.5,0.5,4.6,5.0,15.0
Major Jones,26,6,,70,5.7,9.3,0.611,0.0,0.0,,5.7,9.3,0.611,3.1,4.6,0.667,4.1,7.2,11.3,2.1,0.0,1.0,2.1,4.1,14.4
Mike Dunleavy,25,6,,45,4.8,9.6,0.5,0.0,1.6,0.0,4.8,8.0,0.6,4.0,4.8,0.833,1.6,2.4,4.0,10.4,4.0,0.0,4.8,8.8,13.6
Alonzo Bradley,26,4,,15,14.4,21.6,0.667,2.4,2.4,1.0,12.0,19.2,0.625,7.2,12.0,0.6,2.4,4.8,7.2,2.4,2.4,0.0,0.0,4.8,38.4
