PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
George Gervin,27,3,,122,10.9,21.8,0.5,0.0,0.6,0.0,10.9,21.2,0.514,7.7,8.9,0.867,2.7,3.2,5.9,3.5,1.5,0.9,2.7,2.4,29.5
Mark Olberding,23,3,,97,4.8,8.5,0.565,0.0,0.0,,4.8,8.5,0.565,1.1,1.5,0.75,1.9,6.3,8.2,4.1,0.7,0.4,1.1,5.2,10.8
James Silas,30,3,,90,6.4,14.4,0.444,0.0,0.0,,6.4,14.4,0.444,4.4,4.4,1.0,0.4,2.4,2.8,3.6,2.4,0.4,2.0,3.2,17.2
Larry Kenon,27,3,,81,4.4,15.1,0.294,0.0,0.0,,4.4,15.1,0.294,2.7,4.9,0.545,2.7,3.1,5.8,1.8,0.0,0.0,2.2,2.7,11.6
John Shumate,27,3,,78,4.2,9.2,0.45,0.0,0.0,,4.2,9.2,0.45,1.4,1.4,1.0,3.2,2.8,6.0,2.3,1.8,1.8,2.3,4.2,9.7
Kevin Restani,28,3,,74,8.3,13.6,0.607,0.0,0.5,0.0,8.3,13.1,0.63,1.9,4.4,0.444,3.9,3.9,7.8,1.5,0.0,0.5,1.0,3.9,18.5
Mike Gale,29,3,,69,4.2,10.4,0.4,0.5,2.1,0.25,3.7,8.3,0.43799999999999994,2.1,3.7,0.5710000000000001,0.5,2.6,3.1,8.3,2.6,0.0,1.6,3.1,11.0
Paul Griffin,26,3,,69,3.7,7.3,0.5,0.0,0.0,,3.7,7.3,0.5,3.1,3.1,1.0,1.6,6.3,7.8,3.1,0.0,0.5,3.7,4.7,10.4
Tim Bassett,28,3,,19,1.9,3.8,0.5,0.0,0.0,,1.9,3.8,0.5,0.0,0.0,,1.9,0.0,1.9,0.0,0.0,0.0,1.9,13.3,3.8
Mike Evans,24,2,,12,9.0,24.0,0.375,6.0,12.0,0.5,3.0,12.0,0.25,9.0,12.0,0.75,0.0,6.0,6.0,6.0,0.0,0.0,0.0,6.0,33.0
Wiley Peck,22,2,,9,0.0,12.0,0.0,0.0,0.0,,0.0,12.0,0.0,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,4.0,0.0,4.0,0.0
