PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul Westphal,29,8,,253,9.8,20.2,0.486,0.1,1.7,0.083,9.7,18.5,0.523,4.0,4.6,0.875,0.3,1.1,1.4,4.4,1.6,0.4,1.8,2.8,23.8
Alvan Adams,25,8,,251,8.0,14.2,0.5660000000000001,0.0,0.0,,8.0,14.2,0.5660000000000001,2.4,2.7,0.895,2.6,8.5,11.0,6.6,1.0,1.4,3.4,3.4,18.5
Walter Davis,25,8,,245,10.1,20.1,0.504,0.0,0.4,0.0,10.1,19.7,0.515,4.1,5.6,0.737,1.3,2.1,3.4,5.1,0.6,0.1,2.9,2.9,24.4
Don Buse,29,8,,236,4.3,9.8,0.43799999999999994,0.8,2.0,0.385,3.5,7.8,0.451,1.1,1.7,0.636,1.2,2.0,3.2,6.7,0.9,0.0,2.0,2.3,10.4
Gar Heard,31,8,,223,3.6,9.0,0.39299999999999996,0.0,0.0,,3.6,9.0,0.39299999999999996,1.8,2.4,0.733,3.1,5.2,8.2,1.9,1.5,1.8,1.3,3.7,8.9
Mike Bratz,24,8,,169,9.2,17.9,0.512,1.9,4.9,0.391,7.2,13.0,0.557,1.9,2.1,0.9,1.3,3.0,4.3,3.4,1.9,0.0,2.8,4.3,22.2
Rich Kelley,26,8,,146,4.7,10.8,0.43200000000000005,0.0,0.2,0.0,4.7,10.6,0.442,2.2,2.5,0.9,3.5,5.4,8.9,5.4,2.2,1.7,2.5,4.2,11.6
Alvin Scott,24,8,,140,4.4,8.5,0.515,0.0,0.5,0.0,4.4,8.0,0.5479999999999999,1.0,2.1,0.5,2.1,3.6,5.7,2.6,1.0,1.3,1.8,2.1,9.8
Johnny High,22,8,,120,3.6,9.3,0.387,0.0,0.6,0.0,3.6,8.7,0.414,2.4,4.8,0.5,3.0,4.5,7.5,6.0,1.8,0.6,2.1,6.0,9.6
Jeff Cook,23,7,,98,5.9,8.8,0.667,0.0,0.0,,5.9,8.8,0.667,8.1,9.6,0.846,1.8,5.9,7.7,2.6,1.5,0.7,1.8,3.7,19.8
Truck Robinson,28,3,,64,3.4,9.0,0.375,0.0,0.0,,3.4,9.0,0.375,2.8,3.9,0.7140000000000001,2.8,8.4,11.3,2.3,1.7,1.1,4.5,3.4,9.6
