Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,23.0,ATL,NBA,PG,62.0,5.0,13.0,1.4,3.2,0.429,0.0,0.1,0.333,1.3,3.0,0.434,0.437,0.8,1.1,0.701,0.3,1.0,1.4,1.7,0.6,0.1,0.9,2.3,3.5
2005-06,24.0,ATL,NBA,PG,73.0,66.0,13.4,1.6,3.6,0.439,0.1,0.1,0.4,1.5,3.5,0.441,0.447,0.3,0.5,0.727,0.4,0.9,1.3,1.0,0.3,0.1,0.3,2.0,3.6
2006-07,25.0,ATL,NBA,PG,53.0,18.0,10.2,1.2,2.7,0.448,0.1,0.3,0.313,1.1,2.4,0.465,0.465,0.5,0.7,0.686,0.3,0.7,1.0,0.8,0.5,0.1,0.6,1.2,3.0
2007-08,26.0,MIL,NBA,PG,75.0,20.0,19.2,2.0,5.0,0.394,0.5,1.4,0.327,1.5,3.6,0.421,0.44,1.1,1.6,0.726,0.5,1.1,1.6,2.1,0.6,0.1,1.0,2.2,5.6
2008-09,27.0,PHI,NBA,SG,71.0,0.0,12.1,1.0,2.9,0.332,0.5,1.6,0.342,0.4,1.3,0.319,0.425,0.5,0.6,0.791,0.3,0.8,1.1,0.6,0.5,0.1,0.3,1.1,3.0
2009-10,28.0,TOT,NBA,SG,44.0,0.0,7.4,0.8,1.9,0.422,0.3,0.8,0.4,0.5,1.1,0.438,0.506,0.2,0.3,0.75,0.1,0.6,0.8,0.6,0.4,0.0,0.3,0.9,2.1
2009-10,28.0,PHI,NBA,SG,26.0,0.0,9.1,1.0,2.1,0.473,0.5,0.9,0.5,0.5,1.2,0.452,0.582,0.2,0.3,0.857,0.2,0.8,1.0,0.7,0.4,0.1,0.2,1.0,2.7
2009-10,28.0,MIL,NBA,SG,18.0,0.0,5.0,0.5,1.6,0.321,0.1,0.6,0.182,0.4,0.9,0.412,0.357,0.2,0.3,0.6,0.1,0.4,0.4,0.6,0.5,0.0,0.3,0.8,1.3
2010-11,29.0,OKC,NBA,SG,25.0,0.0,6.2,0.6,1.5,0.421,0.3,0.6,0.438,0.4,0.9,0.409,0.513,0.1,0.1,1.0,0.1,0.6,0.6,0.3,0.2,0.0,0.2,0.7,1.6
2011-12,30.0,OKC,NBA,SG,34.0,0.0,10.4,0.8,2.1,0.356,0.5,1.6,0.34,0.2,0.6,0.4,0.479,0.0,0.2,0.125,0.0,0.7,0.7,0.3,0.4,0.0,0.3,1.1,2.1
2012-13,31.0,PHI,NBA,SG,53.0,5.0,13.2,1.2,2.7,0.431,0.7,1.7,0.42,0.5,1.1,0.446,0.559,0.2,0.3,0.563,0.3,0.8,1.1,0.6,0.4,0.1,0.4,1.4,3.2
2013-14,32.0,OKC,NBA,SG,2.0,0.0,2.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0
