PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Jerry Stackhouse,25,3,120,15.3,0.509,0.11900000000000001,0.525,1.0,12.0,6.3,21.7,0.9,0.0,16.2,35.3,,-0.1,0.1,0.0,0.003,,2.7,-2.0,0.7,0.1
Lindsey Hunter,29,3,93,5.6,0.361,0.281,0.188,0.0,9.9,4.8,11.3,2.9,0.9,12.6,20.8,,-0.3,0.2,-0.2,-0.08,,-3.2,0.3,-2.9,0.0
Michael Curry,31,3,79,11.4,0.546,0.0,0.261,0.0,5.0,2.4,8.8,0.7,1.0,7.2,17.1,,0.1,0.1,0.1,0.087,,0.5,0.4,0.9,0.1
Terry Mills,32,3,77,11.5,0.787,0.6,0.133,0.0,10.2,4.9,2.8,1.4,0.0,11.2,11.3,,0.2,0.1,0.3,0.165,,1.6,1.5,3.1,0.1
Christian Laettner,30,3,75,8.6,0.48700000000000004,0.0,0.47100000000000003,3.3,22.7,12.7,16.3,0.0,1.1,12.8,15.3,,0.0,0.1,0.1,0.077,,-2.7,0.7,-2.1,0.0
Jerome Williams,26,3,73,9.8,0.428,0.0,0.5710000000000001,11.8,25.1,18.2,5.6,2.2,0.0,14.6,13.7,,-0.1,0.1,0.1,0.055999999999999994,,-1.0,-0.6,-1.6,0.0
Grant Hill,27,2,55,9.5,0.539,0.125,0.625,0.0,26.2,12.7,34.5,1.0,0.0,32.9,27.0,,-0.1,0.1,0.0,-0.038,,-2.8,-0.6,-3.4,0.0
John Crotty,30,3,51,-0.6,0.276,0.3,0.2,0.0,10.3,5.0,14.4,1.0,1.6,26.9,14.3,,-0.2,0.1,-0.1,-0.126,,-6.5,-1.7,-8.2,-0.1
Mikki Moore,24,3,42,17.7,0.58,0.0,0.667,20.5,15.6,18.1,15.4,1.3,0.0,20.5,22.7,,0.1,0.1,0.2,0.18100000000000002,,0.9,-0.4,0.5,0.0
Jud Buechler,31,3,34,4.8,0.429,0.7140000000000001,0.0,0.0,15.4,7.5,5.6,0.0,2.3,0.0,10.1,,0.0,0.0,0.0,0.05,,-1.5,0.6,-0.9,0.0
Loy Vaught,31,2,16,2.0,0.0,0.0,0.0,7.7,40.9,23.8,0.0,6.7,0.0,25.0,12.2,,-0.1,0.1,0.0,-0.134,,-5.6,1.3,-4.3,0.0
Eric Montross,28,2,5,-1.0,,,,0.0,52.4,25.4,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.107,,-9.0,1.8,-7.2,0.0
