Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1998,16,MIA,Miami Heat,55,27,.671,—,95.0,90.0,5.09
1998,20,NYK,New York Knicks,43,39,.524,12.0,91.6,89.1,2.74
1998,3,NJN,New Jersey Nets,43,39,.524,12.0,99.6,98.1,1.88
1998,30,WAS,Washington Wizards,42,40,.512,13.0,97.2,96.6,1.11
1998,22,ORL,Orlando Magic,41,41,.500,14.0,90.1,91.2,-0.53
1998,2,BOS,Boston Celtics,36,46,.439,19.0,95.9,98.5,-1.96
1998,23,PHI,Philadelphia 76Ers,31,51,.378,24.0,93.3,95.7,-1.89
1998,5,CHI,Chicago Bulls,62,20,.756,—,96.7,89.6,7.24
1998,12,IND,Indiana Pacers,58,24,.707,4.0,96.0,89.9,6.25
1998,4,CHO,Charlotte Hornets,51,31,.622,11.0,96.6,94.6,2.45
1998,1,ATL,Atlanta Hawks,50,32,.610,12.0,95.9,92.3,3.85
1998,6,CLE,Cleveland Cavaliers,47,35,.573,15.0,92.5,89.8,3.06
1998,9,DET,Detroit Pistons,37,45,.451,25.0,94.2,92.6,1.95
1998,17,MIL,Milwaukee Bucks,36,46,.439,26.0,94.5,96.4,-1.33
1998,28,TOR,Toronto Raptors,16,66,.195,46.0,94.9,104.2,-8.33
