Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999,31.0,316,TOT,Total After Trade,22.0,NBA,PG,22,0,10.0,1.4,3.6,.380,0.1,0.8,.167,1.2,2.8,.443,.399,0.1,0.1,.667,0.3,0.5,0.8,1.5,0.3,0.0,0.9,0.9,3.0
1999,3.0,316,NJN,New Jersey Nets,22.0,NBA,PG,5,0,10.2,2.0,4.2,.476,0.2,1.0,.200,1.8,3.2,.563,.500,0.0,0.0,,0.2,0.6,0.8,1.2,0.2,0.0,1.4,0.6,4.2
1999,6.0,316,CLE,Cleveland Cavaliers,22.0,NBA,PG,17,0,10.0,1.2,3.4,.345,0.1,0.8,.154,1.1,2.6,.400,.362,0.1,0.2,.667,0.4,0.4,0.8,1.6,0.3,0.0,0.8,1.0,2.6
2001,13.0,316,LAC,Los Angeles Clippers,24.0,NBA,PG,10,0,14.9,2.5,6.3,.397,0.1,0.8,.125,2.4,5.5,.436,.405,1.4,1.7,.824,0.4,0.7,1.1,3.2,0.5,0.0,0.9,0.9,6.5
2002,13.0,316,LAC,Los Angeles Clippers,25.0,NBA,PG,68,2,11.2,1.6,4.0,.400,0.2,0.6,.310,1.4,3.4,.416,.424,0.7,0.9,.770,0.4,0.4,0.8,2.1,0.3,0.0,0.6,0.6,4.1
2003,10.0,316,GSW,Golden State Warriors,26.0,NBA,PG,68,0,19.4,2.9,6.8,.429,0.4,1.1,.377,2.5,5.7,.439,.460,2.5,2.9,.865,0.5,0.8,1.3,3.3,0.6,0.1,1.1,1.1,8.8
2004,8.0,316,DEN,Denver Nuggets,27.0,NBA,SG,82,3,22.5,3.9,9.3,.419,0.7,2.1,.322,3.2,7.3,.447,.455,1.7,2.0,.877,0.5,1.2,1.7,3.6,0.6,0.0,1.2,1.0,10.2
2005,8.0,316,DEN,Denver Nuggets,28.0,NBA,PG,82,5,26.4,4.1,10.0,.413,0.7,2.0,.337,3.5,8.0,.432,.447,3.4,3.7,.921,0.5,1.3,1.7,4.5,1.0,0.1,1.5,1.5,12.4
2006,8.0,316,DEN,Denver Nuggets,29.0,NBA,PG,60,0,25.7,4.5,11.0,.410,1.0,3.0,.346,3.5,8.0,.434,.457,2.5,2.9,.874,0.4,1.0,1.4,3.8,0.8,0.1,1.4,1.2,12.6
2007,31.0,316,TOT,Total After Trade,30.0,NBA,PG,66,23,30.8,4.9,11.7,.420,1.4,3.6,.397,3.5,8.0,.430,.482,3.3,3.7,.898,0.7,1.4,2.1,4.4,0.8,0.0,1.8,1.4,14.6
2007,8.0,316,DEN,Denver Nuggets,30.0,NBA,PG,31,4,28.3,5.0,12.2,.413,1.3,3.5,.373,3.7,8.6,.429,.467,3.8,4.2,.908,0.7,1.3,2.0,4.3,0.8,0.1,1.7,1.0,15.2
2007,17.0,316,MIL,Milwaukee Bucks,30.0,NBA,PG,35,19,33.0,4.8,11.2,.427,1.5,3.7,.419,3.2,7.5,.431,.496,2.9,3.3,.886,0.7,1.4,2.2,4.5,0.9,0.0,1.9,1.7,14.0
2008,4.0,316,CHA,Charlotte Bobcats,31.0,NBA,PG,36,0,16.0,1.7,4.8,.355,0.4,1.2,.318,1.3,3.6,.367,.395,1.4,1.6,.831,0.3,0.7,0.9,2.7,0.4,0.0,1.1,0.6,5.1
2010,30.0,316,WAS,Washington Wizards,33.0,NBA,PG,67,1,16.7,2.6,6.0,.427,0.3,0.9,.317,2.3,5.1,.446,.450,1.1,1.3,.865,0.3,0.9,1.1,2.6,0.4,0.0,1.0,0.7,6.6
2011,17.0,316,MIL,Milwaukee Bucks,34.0,NBA,PG,57,0,15.1,2.7,6.2,.443,0.5,1.2,.380,2.3,4.9,.459,.482,1.2,1.4,.841,0.3,0.7,1.0,2.5,0.7,0.1,0.9,0.8,7.2
2012,11.0,316,HOU,Houston Rockets,35.0,NBA,PG,8,0,13.9,1.5,4.5,.333,0.3,1.1,.222,1.3,3.4,.370,.361,1.6,1.9,.867,0.0,1.4,1.4,2.1,0.1,0.0,0.9,0.6,4.9
