Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009,3,1774,NJN,New Jersey Nets,Brook Lopez,"April 1, 1988",20.0,NBA,C,82.0,75.0,2501.0,448.0,844.0,0.53,0.0,2.0,0.0,448.0,842.0,0.53,0.53,172.0,217.0,0.79,225.0,440.0,665.0,86.0,44.0,151.0,147.0,257.0,1068.0
2010,3,1774,NJN,New Jersey Nets,Brook Lopez,"April 1, 1988",21.0,NBA,C,82.0,82.0,3027.0,563.0,1129.0,0.5,0.0,2.0,0.0,563.0,1127.0,0.5,0.5,416.0,509.0,0.82,270.0,439.0,709.0,187.0,55.0,139.0,204.0,251.0,1542.0
2011,3,1774,NJN,New Jersey Nets,Brook Lopez,"April 1, 1988",22.0,NBA,C,82.0,82.0,2889.0,644.0,1309.0,0.49,0.0,1.0,0.0,644.0,1308.0,0.49,0.49,385.0,489.0,0.79,197.0,291.0,488.0,129.0,47.0,120.0,176.0,240.0,1673.0
2012,3,1774,NJN,New Jersey Nets,Brook Lopez,"April 1, 1988",23.0,NBA,C,5.0,5.0,136.0,38.0,77.0,0.49,0.0,0.0,,38.0,77.0,0.49,0.49,20.0,32.0,0.62,8.0,10.0,18.0,6.0,1.0,4.0,6.0,8.0,96.0
2013,3,1774,BRK,Brooklyn Nets,Brook Lopez,"April 1, 1988",24.0,NBA,C,74.0,74.0,2253.0,570.0,1094.0,0.52,0.0,1.0,0.0,570.0,1093.0,0.52,0.52,297.0,392.0,0.76,208.0,304.0,512.0,70.0,33.0,154.0,131.0,152.0,1437.0
2014,3,1774,BRK,Brooklyn Nets,Brook Lopez,"April 1, 1988",25.0,NBA,C,17.0,17.0,533.0,129.0,229.0,0.56,0.0,1.0,0.0,129.0,228.0,0.57,0.56,94.0,115.0,0.82,39.0,63.0,102.0,16.0,9.0,30.0,28.0,52.0,352.0
2015,3,1774,BRK,Brooklyn Nets,Brook Lopez,"April 1, 1988",26.0,NBA,C,72.0,44.0,2100.0,506.0,987.0,0.51,1.0,10.0,0.1,505.0,977.0,0.52,0.51,223.0,274.0,0.81,214.0,321.0,535.0,50.0,43.0,126.0,104.0,206.0,1236.0
2016,3,1774,BRK,Brooklyn Nets,Brook Lopez,"April 1, 1988",27.0,NBA,C,73.0,73.0,2457.0,591.0,1157.0,0.51,2.0,14.0,0.14,589.0,1143.0,0.52,0.51,317.0,403.0,0.79,204.0,369.0,573.0,147.0,58.0,124.0,175.0,215.0,1501.0
2017,3,1774,BRK,Brooklyn Nets,Brook Lopez,"April 1, 1988",28.0,NBA,C,75.0,75.0,2222.0,555.0,1172.0,0.47,134.0,387.0,0.35,421.0,785.0,0.54,0.53,295.0,364.0,0.81,121.0,282.0,403.0,176.0,38.0,124.0,184.0,192.0,1539.0
2018,14,1774,LAL,Los Angeles Lakers,Brook Lopez,"April 1, 1988",29.0,NBA,C,74.0,72.0,1735.0,369.0,793.0,0.46,112.0,325.0,0.34,257.0,468.0,0.55,0.54,111.0,158.0,0.7,74.0,220.0,294.0,126.0,30.0,98.0,98.0,195.0,961.0
2019,17,1774,MIL,Milwaukee Bucks,Brook Lopez,"April 1, 1988",30.0,NBA,C,81.0,81.0,2322.0,355.0,786.0,0.45,187.0,512.0,0.36,168.0,274.0,0.61,0.57,112.0,133.0,0.84,33.0,363.0,396.0,98.0,51.0,179.0,82.0,189.0,1009.0
2020,17,1774,MIL,Milwaukee Bucks,Brook Lopez,"April 1, 1988",31.0,NBA,C,68.0,67.0,1817.0,292.0,671.0,0.44,102.0,325.0,0.31,190.0,346.0,0.55,0.51,127.0,152.0,0.84,58.0,254.0,312.0,99.0,46.0,163.0,70.0,163.0,813.0
2021,17,1774,MIL,Milwaukee Bucks,Brook Lopez,"April 1, 1988",32.0,NBA,C,23.0,23.0,626.0,90.0,194.0,0.46,38.0,108.0,0.35,52.0,86.0,0.6,0.56,26.0,31.0,0.84,31.0,85.0,116.0,14.0,13.0,34.0,18.0,41.0,244.0
