Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1977-78,23.0,TOT,NBA,PG,73.0,,16.6,2.9,7.4,0.4,,,,2.9,7.4,0.4,0.4,1.8,2.3,0.784,0.5,1.2,1.6,2.4,1.7,0.3,1.5,1.3,7.7
1977-78,23.0,CLE,NBA,PG,22.0,,7.8,0.9,2.5,0.339,,,,0.9,2.5,0.339,0.339,0.5,0.7,0.75,0.1,0.4,0.5,1.5,0.5,0.0,0.6,0.5,2.3
1977-78,23.0,NJN,NBA,PG,51.0,,20.4,3.8,9.5,0.407,,,,3.8,9.5,0.407,0.407,2.3,3.0,0.788,0.6,1.5,2.1,2.8,2.2,0.4,1.8,1.6,10.0
1978-79,24.0,NJN,NBA,PG,82.0,,27.6,4.9,11.7,0.418,,,,4.9,11.7,0.418,0.418,2.6,3.3,0.777,0.9,1.7,2.6,4.5,2.5,0.5,3.0,2.5,12.4
1979-80,25.0,NJN,NBA,PG,82.0,,32.4,5.3,12.4,0.43,0.1,0.6,0.25,5.2,11.8,0.439,0.436,2.5,3.1,0.779,0.8,2.5,3.3,6.8,2.7,0.3,3.1,2.9,13.3
1980-81,26.0,TOT,NBA,PG,74.0,,16.6,2.0,4.8,0.426,0.1,0.3,0.273,1.9,4.5,0.436,0.435,1.2,1.7,0.685,0.4,0.9,1.3,3.3,1.3,0.1,1.9,2.2,5.3
1980-81,26.0,NJN,NBA,PG,14.0,,17.1,2.1,5.2,0.411,0.2,0.7,0.3,1.9,4.5,0.429,0.432,1.7,2.3,0.75,0.4,0.9,1.3,3.3,1.7,0.1,1.6,2.1,6.2
1980-81,26.0,LAL,NBA,PG,60.0,,16.5,2.0,4.7,0.43,0.1,0.2,0.25,2.0,4.5,0.438,0.435,1.1,1.6,0.663,0.4,0.9,1.3,3.3,1.2,0.1,2.0,2.3,5.1
1981-82,27.0,LAL,NBA,PG,58.0,0.0,10.5,1.5,3.6,0.428,0.0,0.2,0.111,1.5,3.4,0.442,0.43,0.7,0.9,0.796,0.1,0.7,0.7,2.3,1.1,0.0,1.1,1.7,3.8
1982-83,28.0,LAL,NBA,PG,35.0,0.0,9.5,1.1,3.8,0.303,0.1,0.5,0.188,1.1,3.3,0.319,0.314,0.3,0.5,0.647,0.2,0.5,0.7,2.3,0.9,0.0,1.5,1.5,2.7
1983-84,29.0,TOT,NBA,PG,16.0,0.0,13.1,1.1,3.1,0.347,0.0,0.2,0.0,1.1,2.9,0.37,0.347,0.5,0.8,0.667,0.2,0.9,1.1,2.8,1.6,0.0,1.6,2.3,2.6
1983-84,29.0,POR,NBA,PG,13.0,0.0,14.1,1.0,3.2,0.317,0.0,0.2,0.0,1.0,2.9,0.342,0.317,0.5,0.8,0.7,0.2,0.8,1.0,3.0,1.6,0.0,1.4,2.5,2.5
1983-84,29.0,LAL,NBA,PG,3.0,0.0,9.0,1.3,2.7,0.5,0.0,0.0,,1.3,2.7,0.5,0.5,0.3,0.7,0.5,0.0,1.3,1.3,1.7,1.3,0.0,2.7,1.7,3.0
