Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2009,8,DEN,Denver Nuggets,54,28,0.66,—,104.3,100.9,3.13
2009,25,POR,Portland Trail Blazers,54,28,0.66,—,99.4,94.1,5.0
2009,29,UTA,Utah Jazz,48,34,0.58,6.0,103.6,100.9,2.31
2009,18,MIN,Minnesota Timberwolves,24,58,0.29,30.0,97.8,102.7,-4.74
2009,21,OKC,Oklahoma City Thunder,23,59,0.28,31.0,97.0,103.1,-6.04
2009,14,LAL,Los Angeles Lakers,65,17,0.79,—,106.9,99.3,7.11
2009,24,PHO,Phoenix Suns,46,36,0.56,19.0,109.4,107.5,1.62
2009,10,GSW,Golden State Warriors,29,53,0.35,36.0,108.6,112.3,-3.8
2009,13,LAC,Los Angeles Clippers,19,63,0.23,46.0,95.1,103.9,-8.47
2009,26,SAC,Sacramento Kings,17,65,0.21,48.0,100.6,109.3,-8.6
2009,27,SAS,San Antonio Spurs,54,28,0.66,—,97.0,93.3,3.36
2009,11,HOU,Houston Rockets,53,29,0.65,1.0,98.4,94.4,3.73
2009,7,DAL,Dallas Mavericks,50,32,0.61,4.0,101.7,99.8,1.68
2009,19,NOH,New Orleans Hornets,49,33,0.6,5.0,95.8,94.3,1.41
2009,15,MEM,Memphis Grizzlies,24,58,0.29,30.0,93.9,99.3,-5.23
