Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2000,29,UTA,Utah Jazz,55,27,0.67,—,96.5,92.0,4.52
2000,27,SAS,San Antonio Spurs,53,29,0.65,2.0,96.2,90.2,5.92
2000,18,MIN,Minnesota Timberwolves,50,32,0.61,5.0,98.5,96.0,2.67
2000,7,DAL,Dallas Mavericks,40,42,0.49,15.0,101.4,102.0,-0.29
2000,8,DEN,Denver Nuggets,35,47,0.43,20.0,99.0,101.1,-1.76
2000,11,HOU,Houston Rockets,34,48,0.42,21.0,99.5,100.3,-0.57
2000,15,VAN,Vancouver Grizzlies,22,60,0.27,33.0,93.9,99.5,-5.1
2000,14,LAL,Los Angeles Lakers,67,15,0.82,—,100.8,92.3,8.41
2000,25,POR,Portland Trail Blazers,59,23,0.72,8.0,97.5,91.0,6.36
2000,24,PHO,Phoenix Suns,53,29,0.65,14.0,98.9,93.7,5.24
2000,21,SEA,Seattle Supersonics,45,37,0.55,22.0,99.1,98.1,1.17
2000,26,SAC,Sacramento Kings,44,38,0.54,23.0,105.0,102.0,3.04
2000,10,GSW,Golden State Warriors,19,63,0.23,48.0,95.5,103.8,-7.63
2000,13,LAC,Los Angeles Clippers,15,67,0.18,52.0,92.0,103.5,-10.73
