Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1982,27,SAS,San Antonio Spurs,48,34,0.58,—,113.1,110.8,1.79
1982,8,DEN,Denver Nuggets,46,36,0.56,2.0,126.5,126.0,0.13
1982,11,HOU,Houston Rockets,46,36,0.56,2.0,105.9,105.9,-0.39
1982,26,KCK,Kansas City Kings,30,52,0.37,18.0,107.1,110.2,-3.25
1982,7,DAL,Dallas Mavericks,28,54,0.34,20.0,104.6,109.0,-4.48
1982,29,UTA,Utah Jazz,25,57,0.3,23.0,110.9,116.6,-5.63
1982,14,LAL,Los Angeles Lakers,57,25,0.7,—,114.6,109.8,4.37
1982,21,SEA,Seattle Supersonics,52,30,0.63,5.0,107.3,103.1,3.69
1982,24,PHO,Phoenix Suns,46,36,0.56,11.0,106.2,102.7,3.05
1982,10,GSW,Golden State Warriors,45,37,0.55,12.0,110.9,109.8,0.8
1982,25,POR,Portland Trail Blazers,42,40,0.51,15.0,109.8,109.2,0.39
1982,13,SDC,San Diego Clippers,17,65,0.21,40.0,108.5,115.9,-7.05
